H9,C,H9,3835,,,,,,,,,,3834.0155,,,,,,,,,
,,,,,,,,,,,,,3856.5315,,,,,,,,,
,,,,,,,,,,,,MK,3870,,,,,,,,,
H8,C,H8,3888.6,,,,,,,,,,3886.6031,,,,,,,,,
,,,,,,,,,,,,MK,3905.5,,,,,,,,,
,,,,,,,,,,,,MK,3920.5,,,,,,,,,
Ca II 3934,B,Ca II,3934,Ca II K,,,,,,,,,3932.9948,,,,,,,,,
,,,,,,,,,,,,MSK,3940,,,,,,,,,
Hepsilon/Ca II 3968-70,B,Hepsilon/Ca II,3968-70,Ca II H,,,,,,,,,3968.3746,,,,,,,,,
,,,,,,,,,,,,MS,3989.5,,,,,,,,,
,,,,,,,,,,,,M,3995.5,,,,,,,,,
Fe I 4005,B,,,,,,,Fe I,4005,Fe I,4005.3,,4005.4855,,,,,,,,,
,,,,,,,,,,Ti I/Ti II,4025,,4023.557,,,,,,,,,
Mn I 4031-36,A,,,Mn I,4032,,,Mn I,4031-36,Mn I,4030-36,,4032.3519,,,,,,,,,
Fe I 4046,A,,,Fe I,4046,,,Fe I,4045.82,Fe I,4045.81,,4045.1368,,,,,,,,,
Fe I/Sc I/Co I 4055-60,C,,,,,,,,,Fe I/Sc I/Co I,4055-60,MK,4057,,,,,,,,,
Fe I 4064,B,,,,,,,Fe I,4063.6,Fe I,4063.6,,4063.2897,,,,,,,,,
Fe I 4072 ,B,,,,,,,Fe I,4071.7,Fe I,4072,MK,4071.5,,,,,,,,,
Fe I/Sr II 4077,B,,,Sr II,4077,,,Fe I/Sr II,4075-78,Fe I/Sr II,4075-78,,4076.5224,,,,,,,,,
Mn I 4084,B,,,,,,,Mn I,4084,Fe I/Mn I,4084,,4083.9031,,,,,,,,,
Hdelta,A,Hdelta,4101.74,Hdelta,,,,Hdelta,4101.74,Hdelta,4101.74,,4100.7525,,,,,,,,,
V I 4110-12,B,,,,,,,V I,4110-12,V I,4112,M,4111,,,,,,,,,
Co I 4119-21,B,,,,,,,Co I,4119-21,V I/Co I,4119,,4120.0879,,,,,,,,,
Fe I 4132,C,,,,,,,Fe I,4132.06,,,,4131.6992,,,,,,,,,
Fe I 4144,B,,,,,,,Fe I,4143.92,Fe I,4144-48,TP,4143.7485,,,,,,,,,
Fe I 4154-57,C,,,,,,,,,Fe I,4154-57,TP,4152.042,,,,,,,,,
TI I/Mg I/Fe I 4164-68,C,,,,,,,,,Ti I/Mg I/Fe I,4164-68,MK,4166,,,,,,,,,
Fe I 4171-76,B,,,,,,,Fe I,4171-76,Fe I,4171-76,AW,4174.2554,,,,,,,,,
CN/Fe I 4178-82,C,,,,,,,CN/Fe I,4178-82,,,AW,4178.959,,,,,,,,,
,,,,,,,,,,Fe I,4185-88,M,4189,,,,,,,,,
Fe I 4198-03,B,,,,,,,Fe I,4198-02,Fe I,4198-03,,4199.918,,,,,,,,,
,,,,,,,,,,,,,4213.7682,,,,,,,,,
Ca I 4226,A,,,Ca I,4226,,,Ca I,4226.73,Ca I,4226.73,,4226.3263,,,,,,,,,
Fe I 4236,B,,,,,,,Fe I,4235.94,Fe I/Co I,4234-36,,4236.0547,,,,,,,,,
Fe I/Cr I 4250-54,B,,,Fe I/Cr I,4250-54,,,Fe I/Cr I,4250-54,Fe I,4251,TP,4252.689,,,,,,,,,
Fe I 4260,A,,,Fe I,4260,,,Fe I,4260,Fe I,4260.5,TP,4259.8188,,,,,,,,,
Fe I/Cr I 4272-75,B,,,Fe I,4271,,,Fe I/Cr I,4272-75,Fe I/Cr I,4272-75,,4272.5873,,,,,,,,,
Ca I 4283,C,,,,,,,Ca I,4283,,,MK,4283,,,,,,,,,
Cr I 4290,C,,,Cr I,4290,,,Cr I,4289.72,Ti I/Fe I,4290-96,,4290.4641,,,,,,,,,
CH 4299-4313,A,,,G-band,,,,CH,,CH,4299-4313,PK,4302.8501,,,,,,,,,
Fe I 4308,C,,,G-band,,,,Fe I,4307.91,CH,4299-4313,PK,4307.9849,,,,,,,,,
Fe I 4326,A,,,Fe I,4326,,,Fe I,4325.8,Fe I,4326,,4325.2471,,,,,,,,,
Hgamma,A,Hgamma,4340.47,Hgamma,,,,,,Hgamma,4340.47,,4340.0717,,,,,,,,,
Cr I/V I 4352-53,C,,,,,,,Cr I/Fe II/Fe I/V I,4352-53,Cr I/V I,4352-53,,4352.6013,,,,,,,,,
Cr I 4360,B,,,,,,,Cr I,4359.6,Cr I,4359.6,MK,4359.5,,,,,,,,,
,,,,Y II,4376,,,,,Fe I,4376,,4374.5423,,,,,,,,,
