,,,,,,H16,3703.86,,,TSP,3703.4619,,,,,,,Walker,Spectral Atlas for Amateur Astronomers
Ca II/Fe I 3706-09,C,,,,,Ca II/Fe I,3706-09,,,TSP,3707.4858,,,,,,,Moore,The solar spectrum 2935-8770
H-14/Fe I 3720,C,,,,,H14/Fe I,3719.9,,,,3720.5459,,,,,,,Roach,The spectrum of gamma cygni
H-13/Fe I 3734,C,,,,,H13/Fe I,3734,,,,3732.5244,,,,,,,,
Fe I 3746,C,,,,,Fe I,3746,,,,3747.0338,,,,,,,,
Fe I 3758,C,,,,,Fe I,3758,,,,3758.195,,,,,,,,
Fe I 3767,C,,,,,Fe I,3767,,,PK,3767.6021,,,,,,,,
H-11,C,,,,,H11,3770.63,,,PK,3771.5381,,,,,,,,
Fe I 3788,C,,,,,Fe I,3787.9,,,ATP,3787.2974,,,,,,,,
Fe I 3798,C,H10,3797.5,,,Fe I,3797.9,,,ATP,3795.3999,,,,,,,,
,,,,,,,,,,,3805.3348,,,,,,,,
Fe I 3816,C,,,,,Fe I,3815.8,,,,3813.7632,,,,,,,,
Fe I 3826,C,,,,,Fe I,3825.9,,,M,3826.5,,,,,,,,
H-9/Mg I 3832-35,C,H9,3835,H9,,H9/Mg I,3832-35,,,,3833.646,,,,,,,,
Fe I 3850,C,,,,,Fe I,3849.9,,,,3848.048,,,,,,,,
Fe I 3856-60,C,,,,,Fe I,3856-60,,,M,3857.5,,,,,,,,
,,,,,,,,,,M,3863.5,,,,,,,,
Fe I 3873,C,,,,,Fe I,3872.5,,,,3872.1852,,,,,,,,
H-8,B,H8,3888.6,H8,,H8,3889.05,,,PK,3887.2078,,,,,,,,
Fe I 3896,C,,,,,Fe I,3896,,,PK,3896.2107,,,,,,,,
Fe I/Cr I/Si I 3903-06,C,,,,,Fe I/Cr I/Si I,3903-06,,,,3904.8692,,,,,,,,
,,,,,,,,,,MK,3918,,,,,,,,
Ca II 3934,A,Ca II,3933.6,Ca II K,,Ca II,3933.7,Ca II,3933.66,,3932.7153,,,,,,,,
,,,,,,,,,,M,3949.5,,,,,,,,
Ca II 3970,A,Ca II,3968.47,Ca II H/Hepsilon,,Ca II,3968.5,Ca II,3968.47,,3967.7874,,,,,,,,
,,,,,,,,,,M,3981,,,,,,,,
,,,,,,,,,,M,3989.5,,,,,,,,
Fe I/Ti I 3996-98,C,,,,,,,Fe I/Ti I,3996-98,,3996.6573,,,,,,,,
Fe I 4005,B,,,,,Fe I,4005.2,Fe I,4005-06,,4004.5269,,,,,,,,
,,,,,,,,,,,4013.4057,,,,,,,,
,,,,,,,,,,,4022.884,,,,,,,,
Mn I 4030,A,,,Mn I,4030,Mn I,4030.7,Fe I/Mn I,4030-36,,4031.5192,,,,,,,,
Fe I 4046,B,,,Fe I,4046,Fe I,4045.8,Fe I ,4046,,4044.0457,,,,,,,,
,,,,,,,,,,,4053.3503,,,,,,,,
Fe I 4064,B,,,,,Fe I,4063.6,Fe I,4064,,4063.8739,,,,,,,,
Sr II 4077,B,,,Sr II,4077,Sr II,4077.7,Fe I/Sr II,4072-78,,4076.6595,,,,,,,,
Fe I/Mn I 4084,C,,,,,,,Fe I/Mn I,4084,,4085.0633,,,,,,,,
H-delta,A,Hdelta,4101.74,Hdelta,,Hdelta,4101.7,Hdelta,4101.74,TP,4101.1709,,,,,,,,
Fe I 4108-10,C,,,,,,,Fe I,4108-10,TP,4109.6133,,,,,,,,
Fe I/Co I 4119,C,,,,,,,Fe I/Co I,4119,TP,4120.9067,,,,,,,,
Fe I/V I 4128,C,,,,,,,Fe I/V I,4128,TP,4129.7246,,,,,,,,
