H-16,A,3703
H-15,A,3712
H-14,A,3722
H-13,A,3734
H-12,A,3750
H-11,A,3771
H-10,A,3798
He I 3819,A,3819
H-9,A,3835
Si II 3854-56,A,3855
Si II 3863,A,3863
He I 3872,A,3872
H-8,A,3889
Ti II 3913,A,3913
He I 3927,A,3927
Ca II 3934,A,3934
H-epsilon,A,3970
He I 4009,A,4009
He I 4026,A,4026
Fe II 4033,A,4033
Fe I 4046,A,4046
Fe I/Ni II 4063-67,A,4065
Sr II 4078,A,4078
H-delta,A,4102
He I 4120,A,4120
Si II 4128-31,A,4129
He I 4144,A,4144
Ti II/Fe II 4171-79,A,4175
Fe II 4233,A,4233
Cr II 4242,A,4242
Fe II 4273,A,4273
Ti II 4290-94,A,4292
Fe II 4303,A,4303
Ti II 4315,A,4315
Sc II 4325,A,4325
H-gamma,A,4340
Fe II 4351,A,4351
He I 4388,A,4388
Ti II 4395,A,4395
He I 4438,A,4438
He I 4471,A,4471
Mg II 4481,A,4481
Fe II 4489-91,A,4490
Fe II 4508,A,4508
Fe II 4515,A,4515
Fe II 4520-23,A,4521
Fe II 4556,A,4556
Fe II 4584,A,4584
Cr II 4588-92,A,4590
Cr II 4618,A,4618
Fe II 4629,A,4629
He I 4713,A,4713
Cr II 4824,A,4824
H-beta,A,4861
He I 4922,A,4922
He I 5016,A,5016
He I 5048,A,5048
Fe II 5169,A,5169
Fe II/S II 5198-5202,A,5200
Fe II/S II 5213-17,A,5215
Fe II 5235,A,5235
Fe II 5276,A,5276
Fe II 5317,A,5317
Fe II 5363,A,5363
S II 5429-33,A,5431
S II 5454,A,5454
Fe II/S II 5506-10,A,5508
S II 5565,A,5565
S II 5606,A,5606
S II 5640,A,5640
S II 5647,A,5647
S II/N II 5665-67,A,5666
N II 5680,A,5680
N II 5711,A,5711
He I 5876,A,5876
Na Doublet (is),A,5893
N II 5932,A,5932
N II 5942,A,5942
Si II 5958,A,5958
Si II 5979,A,5979
Fe II 5991,A,5991
Ne I 6143,A,6143
O I 6157-58,A,6157
Ne I 6334,A,6334
Si II 6347,A,6347
Si II 6371,A,6371
Ne I 6402,A,6402
H-alpha,A,6563
He I 6678,A,6678
