H-16,C,H16,3703.5,,,,,,,,,,,,,,3704.0703,,,,,,,,STRU1,Struve O. Swings P. Investigations of Typical Stellar Spectra With High Dispersion I
H-15,C,H15,3711.6,,,,,,,,,,,,,,3711.9911,,,,,,,,STRU2,Struve O. Swings P. The spectrum of Alfa 2 CVn
H-14,B,H14,3721.6,,,,,,,,,H14,3721.9,,,,3722.0641,,,,,,,,Buscombe,Spectrophotometry of early A-type stars
H-13,B,H13,3734,,,,,,,,,H13,3734.4,,,,3734.5516,,,,,,,,,
H-12,B,H12,3749.8,,,,,,,,,H12,3750.2,,,,3750.1596,,,,,,,,,
H-11,B,H11,3770.2,,,,,,,,,H11,3770.6,,,,3770.8598,,,,,,,,,
H-10,B,H10,3797.5,,,,,,,,,H10,3797.9,,,,3797.8962,,,,,,,,,
Fe II/Fe I 3814-16,C,,,,,,,,,,,Fe II/Fe I,3814-16,,,M,3814.65,,,,,,,,,
H-9,B,H9,3835,H9,,,,,,,,H9,3835.4,,,,3835.3349,,,,,,,,,
Si II 3854-56,B,,,,,Si II,3854-56,,,,,Si II,3854-56,,,M,3854.65,,,,,,,,,
,,,,,,Fe I,3865.5,,,,,Cr II,3866-68,,,,3866.3355,,,,,,,,,
H-8,A,H8,3888.6,H8,,,,,,H8,3889.05,H8,3889,,,,3889.067,,,,,,,,,
Fe I 3918-20,B,,,,,Fe I,3918-20,Fe I,3920.26,,,Mn II/Fe I,3818-20,,,M,3919.4,,,,,,,,,
Ca II 3934,A,Ca II,3934,Ca II K,,,,Ca II,3933.68,Ca II,3933.67,Ca II,3933.7,Ca II,3933.66,,3933.8734,,,,,,,,,
H$\epsilon$,A,Hepsilon,3970.07,Hepsilon,,,,,,Hepsilon/Ca II,3968-70,Hepsilon/Ca II,3969-70,Hepsilon,3970.07,,3970.0362,,,,,,,,,
Fe I/Fe II 4002-05,C,,,,,,,Fe I/Fe II/V II,4002-06,Fe II/V II,4002-06,Fe II/Fe I/Cr II,4002-05,Fe I/Fe II,4002-05,,4003.5115,,,,,,,,,
Ti II 4012,C,,,,,Ti II,4012.38,,,Ti II/Fe II/Cr II,4012.5,Cr II,4012.5,Cr II/Ti II,4012,,4012.6261,,,,,,,,,
Fe II 4024,B,,,,,,,Fe II/Ti II,4025,Fe II,4024.55,Fe II,4024.6,Fe II/V II,4023-24,TP,4024.7473,,,,,,,,,
Mn I 4030,B,,,Mn I,4030,,,Mn I,4030.77,Fe II,4031-33,Fe I,4030.5,Mn I,4031-36,TP,4031.2708,,,,,,,,,
Fe I 4046,A,,,Fe I,4046,,,Fe I,4045.81,Fe I,4045.81,Fe I,4045.8,Fe I,4045.82,TP,4046.1392,,,,,,,,,
Ti II 4054,C,,,,,Ti II,4053.82,,,Cr II/Ti II,4052-54,,,Ti II,4054,TP,4053.5593,,,,,,,,,
Fe I 4064,A,,,,,,,Fe I,4063.6,Fe I,4063.6,Fe I,4063.6,Fe I,4063.6,M,4064.13,,,,,,,,,
Fe I 4072,C,,,,,,,Fe I,4071.74,Fe I/Fe II/Cr II,4070-73,Fe I/Fe II/Cr II,4070-73,Fe I,4071.74,MSK,4071.27,,,,,,,,,
Sr II 4078,B,,,,,Sr II,4077.71,Sr II,4077.71,,,Si II/Cr II/Sr II,4075-78,Sr II,4077.71,MK,4076.51,,,,,,,,,
H$\delta$,A,Hdelta,4101.74,Hdelta,,,,,,Hdelta,4101.74,Hdelta,4101.8,Hdelta,4101.74,,4101.754,,,,,,,,,
Si II 4128-31,B,,,,,,,Si II/Fe II,4128-31,Si II,4128-31,Si II,4128-31,Si II,4128-31,,4128.2164,,,,,,,,,
Fe I/Cr II 4144-46,C,,,,,Fe I/Cr II,4144-46,Fe I,4143-44,,,Cr II,4145.8,Fe I,4143-44,,4145.3918,,,,,,,,,
