H-14,B,H14,3721.6,,,,,,,H14,3721.9,,,,,,,,,,3721.9209,,,,,,,Walborn - Atlas of yellow red OB spectra
H-13,B,H13,3734,,,,,,,H13,3734.4,H13,3734.4,,,,,,,,3734.3843,,,,,,,Hack 1 - Lo spettro di Zeta Tauri I
H-12,B,H12,3749.8,,,,,,,H12,3750.1,H12,3750.2,,,,,,,,3750.2486,,,,,,,Righini Mannino - Studio di phi persei
H-11,B,H11,3770.2,,,,,,,H11,3770.6,H11,3770.6,,,,,,,,3770.7179,,,,,,,Underhill - The spectrum of gamma pegasi
H-10,B,H10,3797.5,,,,,,,H10,3797.9,H10,3797.9,,,,,,,,3797.921,,,,,,,Marshall - The visual region of the spectra of early-type stars
He I 3820,B,,,,,He I,3819.6,,,He I,3819.6,He I,3819.6,,,,,,,,3820.0443,,,,,,,
H-9,A,H9,3835,H9,,,,,,H9,3835.4,H9,3835.4,,,,,H9,3835.38,,3835.4577,,,,,,,
Si II 3856,C,,,,,Si II,3854-56,,,Si II,3856,,,,,,,,,MW,3854.65,,,,,,,
He I 3868-72,B,,,,,He I,3868-72,,,Ne III/He I,3869-72,He I,3868-72,,,,,,,MK,3868.93,,,,,,,
H-8,A,H8,3888.6,H8,,,,,,H8,3889,H8,3889,,,,,H8,3889.05,,3889.1596,,,,,,,
He I 3927,B,,,,,,,,,He I,3926.5,He I,3926.5,,,,,He I,3926.53,,3926.3079,,,,,,,
Ca II 3934,C,,,,,Ca II,3933.66,,,Ca II,3933.7,,,,,,,,,MK,3932.73,,,,,,,
H$\epsilon$,A,Hepsilon,3970.07,Hepsilon,,,,Hepsilon,3970.07,Hepsilon,3970.1,Hepsilon,3970.1,,,,,Hepsilon,3970.07,,3970.2167,,,,,,,
He I 4009,A,,,He I,4009,,,He I,4009.27,He I,4009.3,He I,4009.3,,,,,He I,4009.27,,4009.4474,,,,,,,
He I 4026,A,,,He I,4026,,,He I,4026.2,He I,4026.2,He I,4026.3,,,,,He I,4025.5,,4026.4683,,,,,,,
,,,,,,C II,4075-77,O II,4075.87,O II/Si II,4076,C II/O II,4075-76,,,,,C III/O II,4068-76,MK,4076.51,,,,,,,
H$\delta$,A,Hdelta,4101.74,,,,,Hdelta,4101.74,Hdelta,4101.7,Hdelta,4101.7,,,,,Hdelta,4101.74,,4102.0878,,,,,,,
He I 4121,A,,,He I,4121,,,He I,4120.86,He I,4120.8,He I,4120.9,,,,,He I,4120.81,M,4120.31,,,,,,,
Si II 4128-31,B,,,Si II,4128-30,Si II,4128-31,Si II,4128-31,Si II/Fe II,4128-31,,,,,,,,,,4130.0169,,,,,,,
He I 4144,A,,,He I,4144,,,He I,4143.76,He I,4143.8,He I,4144,,,,,He I,4143.76,,4144.4068,,,,,,,
He I 4169,A,,,,,,,He I,4168.97,He I,4168.97,He I,4169,,,,,He I,4168.97,,4169.7133,,,,,,,
C II 4267,B,,,C II,4267,C II,4267,C II,4267.18,,,,,,,,,C II,4267.27,,4268.1183,,,,,,,
H$\gamma$,A,Hgamma,4340.47,Hgamma,,,,Hgamma,4340.47,Hgamma,4340.5,Hgamma,4340.5,,,,,Hgamma,4340.47,,4340.8652,,,,,,,
He I 4387,A,,,He I,4387,,,He I,4387.93,He I,4387.9,,,,,,,He I,4387.9,,4388.586,,,,,,,
He I 4438,B,,,,,,,He I,4437.62,He I,4438,,,,,,,He I,4437.55,,4437.9877,,,,,,,
