H-16,C,,,,,,,,,,,,,,,,3705.2778,,,,
H-15,B,H-15,3711.6,,,,,,,,,,,,,,3713.1443,,,,
H-14,B,H-14,3721.6,,,,,,,,,,,,,,3723.1031,,,,
H-13,B,H-13,3734,,,,,,,,,,,,,,3735.3961,,,,
H-12,B,H-12,3749.8,,,,,,,,,,,,,,3751.1393,,,,
H-11,B,H-11,3770.2,,,,,,,,,,,,,,3771.5607,,,,
H-10,B,H-10,3797.5,,,,,,,,,,,,,,3798.6265,,,,
,,,,,,,,,,,,,,,,MWK,3821.02,,,,
H-9,A,H-9,3835,H-9,,,,,,,,,,,,,3835.9812,,,,
,,,,,,,,,,,,,,,,MWK,3855.25,,,,
H-8,A,H-8,3888.6,H-8,,,,H-8,3889.05,,,,,,,,3889.595,,,,
,,,,,,,,,,,,,,,,MS,3919.9,,,,
Ca II 3934,A,Ca II,3934,Ca II K,,,,Ca II,3933.67,,,,,Ca II,3933.66,,3934.1084,,,,
H$\epsilon$,A,H-epsilon,3970.07,H-epsilon,,,,H-epsilon,3970.08,,,,,H-epsilon,3970.07,,3970.445,,,,
He I 4009,A,,,He I ,4009,,,He I,4009.27,,,,,He I,4009.27,,4010.3047,,,,
He I 4026,A,,,He I ,4026,,,He I,4026.19,,,,,He I,4026,,4026.6972,,,,
Fe I 4046,B,,,,,,,Fe I,4045.81,,,,,Fe I,4046,MW,4046.36,,,,
,,,,,,,,,,,,,,,,MSK,4076.79,,,,
H$\delta$,A,H-delta,4101.74,H-delta,,,,H-delta,4101.74,,,,,H-delta,4101.74,,4102.1386,,,,
Si II 4128-31,A,,,Si II,4128-30,,,Si II,4128-31,,,,,Si I,4128-31,,4129.5945,,,,
He I 4144,A,,,He I,4144,,,He I,4143.76,,,,,He I,4143.76,,4144.5476,,,,
Fe II 4173,B,,,,,,,Fe II,4173.45,,,,,Fe II,4172.45,TSP,4174.1338,,,,
Fe II 4179,B,,,,,,,Fe II,4178.85,,,,,Fe II,4179,TSP,4179.4561,,,,
Fe II 4233,C,,,,,,,Fe II,4233.17,,,,,Fe II,4233-34,,4234.2164,,,,
Fe II 4303,B,,,,,,,Fe II,4303.17,,,,,Fe II,4303.17,MW,4303.09,,,,
H$\gamma$,A,H-gamma,4340.47,H-gamma,,,,H-gamma,4340.46,,,,,H-gamma,4340.47,,4340.9334,,,,
He I 4387,B,,,He I,4387,,,,,,,,,He I,4387.93,,4388.555,,,,
He I 4471,A,,,He I,4471,,,He I,4471.5,,,,,He I,4471.48,TP,4472.2192,,,,
Mg II 4481,A,,,Mg II,4481,,,Mg II,4481.33,,,,,Mg II,4481.33,TP,4481.6855,,,,
Fe II 4491,C,,,,,,,Fe II,4491.4,,,,,,,MW,4491.35,,,,
Fe II 4508,C,,,,,,,Fe II,4508.28,,,,,,,,4508.017,,,,
Fe II 4520-23,C,,,,,,,Fe II,4520-23,,,,,Fe II,4522.63,,4522.4889,,,,
Fe II 4549,C,,,,,,,Fe II/Ti II,4549.5,,,,,Fe II,4549,AW,4550.4873,,,,
Fe II 4556,C,,,,,,,Fe II,4555.89,,,,,,,AW,4556.1968,,,,
Fe II 4576,C,,,,,,,Fe II,4576.33,,,,,,,AW,4576.2075,,,,
Fe II 4584,B,,,,,,,Fe II,4583.89,,,,,Fe II,4583.99,AW,4584.3716,,,,
,,,,,,,,,,,,,,,,MW,4620.66,,,,
,,,,,,,,,,,,,,,,,4632.3229,,,,
Fe II 4667,C,,,,,,,Fe II,4666.75,,,,,,,,4667.3464,,,,
He I 4713,C,,,,,,,,,,,,,He I,4713.15,,4714.7744,,,,
H$\beta$,A,H-beta,4861.33,,,,,H-beta,4861.33,,,H-beta,4861.33,H-beta,4861.33,,4862.0653,,,,
Fe II 4924,B,,,,,Fe II/He I,4922-24,Fe II,4923.92,,,Fe II,4923.92,Fe II,4923.92,,4923.6081,,,,
,,,,,,,,,,,,,,,,M,4971.52,,,,
Fe II/Ti II 5002-05,C,,,,,Fe II/Ti II,5002-05,,,,,,,,,,5004.0025,,,,
Fe II 5018,B,,,,,He I/Fe II,5016-18,Fe II,5018.43,,,Fe II,5018.44,,,,5018.4154,,,,
S II/Ni I 5032-36,C,,,,,,,,,,,S II/Ni I,5032-36,,,TSP,5036.8242,,,,
Si II 5041,A,,,,,Si II,5041,Si II,5041.13,,,Si II,5041.06,,,TSP,5042.6113,,,,
Si II 5056,A,,,,,Si II,5055.9,Si II,5056.17,,,Si II,5056,,,,5057.5796,,,,
Fe II 5169,B,,,,,Fe II,5169,Fe II,5169.03,,,Fe II/Fe I/Mg I,5167-72,,,,5170.1852,,,,
Fe II 5198,A,,,,,Fe II,5197.5,Fe II,5197.57,,,Fe II,5197.56,,,,5198.9945,,,,
Fe I 5215-16,C,,,,,,,,,,,Fe I,5215-16,,,,5217.2963,,,,
Fe II 5227,C,,,,,Fe II,5227.3,,,,,,,,,,5228.4535,,,,
Fe II 5235,C,,,,,Fe II,5235,,,,,Fe II,5234.62,,,,5236.5538,,,,
,,,,,,,,,,,,,,,,,5264.5536,,,,
Fe II 5276,B,,,,,Fe II,5275.99,Fe II,5275.99,,,Fe II/Al II,5276-79,,,,5277.4623,,,,
Fe II 5317,A,,,,,Fe II,5317,Fe II,5316.7,,,Fe II ,5317,,,,5318.1955,,,,
Fe II 5363,B,,,,,,,Fe II,5362.82,,,Fe II,5362.87,,,,5364.0273,,,,
S II 5433,C,,,,,S II,5429-33,Fe II/S II,5432.9,,,S II/Fe I,5433,,,,5434.2715,,,,
Fe II 5467,C,,,,,,,Fe II,5466.95,,,,,,,,5467.9606,,,,
Fe II 5506,C,,,,,Fe II/S II,5506-10,Fe II,5506.27,,,,,,,,5507.8221,,,,
Si II 5689,C,,,,,,,,,,,Si II,5688.86,,,TSP,5689.5552,,,,
,,,,,,,,,,,,,,,,TSP,5700.1265,,,,
He I 5876,A,,,,,,,He I,5875.62,,,He I,5875.62,He I,5876,MK,5879.09,,,,
Na I 5890 (is),A,Na I,5890,,,,,,,Na I,5890,Na I,5890,Na I,5889,TP,5890.6714,,,,
Na I 5896 (is),A,Na I,5896,,,,,,,Na I,5896,Na I,5896,Na I,5896,TP,5899.9775,,,,
,,,,,,,,,,,,,,,,telluric?,5911.42,,,,
,,,,,,,,,,,,,,,,telluric?,5920.9225,,,,
,,,,,,,,,,,,,,,,telluric?,5933.76,,,,
,,,,,,,,,,,,,,,,telluric?,5945.5256,,,,
Telluric $H_2O$/Si II 5958,C,,,,,,,telluric/SI II,5957.61,,,Si II,5957.61,,,telluric?,5958.9743,,,,
,,,,,,,,,,,,,,,,telluric?,5969.0642,,,,
Telluric $H_2O$/Si II 5979,C,,,,,,,telluric/Si II,5978.97,,,Si II,5978.97,,,telluric?,5978.3321,,,,
Telluric $H_2O$/Fe II 5991,C,,,,,,,telluric/Fe II,5991.38,,,,,,,telluric?,5990.8349,,,,
Fe II 6149,C,,,,,,,Fe II,6149.24,,,,,,,KP,6150.4668,,,,
,,,,,,,,O I,6158.2,,,Fe I,6157.73,,,KP,6159.5469,,,,
Telluric $O_2$,A,,,,,,,,,telluric O2,,,,,,telluric?,6279.8151,,,,
,,,,,,,,,,,,,,,,telluric?,6294.3099,,,,
,,,,,,,,,,,,,,,,,6318.8807,,,,
Si II 6347,A,,,,,,,Si II,6347.1,Mg II/Si II,6347,Si II,6347.09,,,,6348.9948,,,,
Si II 6371,B,,,,,,,Si II,6371.36,Si II,6371,Si II,6371.36,,,,6373.0896,,,,
,,,,,,,,,,,,,,,,telluric?,6460.99,,,,
,,,,,,,,,,,,,,,,telluric?,6476.21,,,,
,,,,,,,,,,,,,,,,telluric?,6484.77,,,,
,,,,,,,,,,,,,,,,telluric?,6494.27,,,,
Fe II 6516,C,,,,,,,Fe II,6516.05,,,,,,,telluric?,6517.5384,,,,
,,,,,,,,,,,,,,,,telluric?,6534.6762,,,,
H$\alpha$,A,H-alfa,6562.82,,,,,H-alfa,6562.82,H-alfa,6563,H-alfa,6562.82,H-alfa,6562.82,,6564.57,,,,
He I 6678,B,,,,,,,,,,,He I,6678.15,,,,6680.4336,,,,
