H-16,B,H-16,3703.5,,,,,,,,,,,,3703.7255,s,,,
H-15,B,H-15,3711.6,,,,,,,,,,,,3711.872,s,,,
H-14,B,H-14,3721.6,,,,,,,,,,,,3722.0744,s,,,
H-13,B,H-13,3734,,,,,,,,,,,,3734.432,s,,,
H-12,B,H-12,3749.8,,,,,,,,,,,,3749.9582,s,,,
H-11,B,H-11,3770.2,,,,,,,,,,,,3770.4748,s,,,
H-10,B,H-10,3797.5,,,,,,,,,,,,3797.6661,s,,,
H-9,A,H-9,3835,H-9,,,,,,,,,,,3835.0775,s,,,
,,,,,,,,,,,,,,,3855.0415,s,,,
Si II 3863,C,,,,,Si II,3862.59,,,,,,,,3863.6751,s,,,
H-8,A,H-8,3888.6,H-8,,H-8,3889.05,,,,,,,,3888.8051,s,,,
Ti II 3913,C,,,,,Ti II,3913.46,,,,,,,,3914.2008,s,,,
Ca II 3934,A,Ca II ,3934,,,Ca II,3933.67,,,,,Ca II,3933.6,,3933.4537,s,,,
,,,,,,,,,,,,,,M,3947.18,,,,
H$\epsilon$,A,H-epsilon,3970.07,H-epsilon,,H-epsilon,3970.08,,,,,H-epsilon,3970.07,,3969.8653,s,,,
Fe II 4002,C,,,,,Fe II,4002,,,,,,,MS,4002.56,s,,,
Fe II/Ti II/Cr II 4013,C,,,,,Fe II/Ti II/Cr II,4012.5,,,,,,,MS,4013.54,s,,,
He I 4026,A,,,He I,4026,He I,4026.19,,,,,He I,4026,,4026.2958,s,,,
Fe I 4046,B,,,,,Fe I,4045.81,,,,,Fe I,4046,,4045.5543,s,,,
H$\delta$,A,H-delta,4101.74,H-delta,,H-delta,4101.74,,,,,H-delta,4101.74,,4101.6503,s,,,
Si II 4128-31,A,,,Si II,4128-30,Si II,4128-31,,,,,Si I,4128-31,,4129.2041,s,,,
He I 4144,A,,,He I,4144,He I,4143.76,,,,,He I,4143.76,,4144.6741,s,,,
Ti II 4164,C,,,,,Ti II,4163.65,,,,,,,,4163.4497,s,,,
Fe II 4172,C,,,,,Fe II/Ti II,4172-73,,,,,Fe II,4172.45,TP,4172.8936,s,,,
Fe II 4179,B,,,,,Fe II,4179,,,,,Fe II,4179,TP,4178.4463,,,,
,,,,,,,,,,,,,,MS,4188.27,,,,
,,,,,,,,,,,,,,wide,4201.9795,s,,,
Sr II 4216,C,,,,,Sr II,4215.52,,,,,,,,4216.0241,s,,,
Fe II 4233,B,,,,,Fe II,4233.17,,,,,Fe II,4233-34,,4233.4989,s,,,
Cr II 4242,C,,,,,Cr II,4242.38,,,,,,,M,4242.69,s,,,
,,,,,,,,,,,,,,,4259.8096,s,,,
Fe II 4273,C,,,,,Fe II,4273.32,,,,,,,,4273.0207,s,,,
Ti II/Fe II 4300-03,C,,,,,Ti II/Fe II,4300-03,,,,,,,M,4301.89,s,,,
,,,,,,,,,,,,,,,4314.1719,s,,,
H$\gamma$,A,H-gamma,4340.47,H-gamma,,H-gamma,4340.46,,,,,H-gamma,4340.47,,4340.4556,s,,,
,,,,,,,,,,,,,,M,4366.82,,,,
He I 4388,C,,,He I,4387,Fe II/Mg II,4384-85,,,,,He I,4387.93,PK,4385.2144,s,,,
,,,,,,,,,,,,,,PK,4392.2358,,,,
Fe II 4403,C,,,,,Fe II,4402.87,,,,,,,MK,4402.62,,,,
Fe II/Ti II 4417,C,,,,,Fe II/Ti II,4417,,,,,,,,4416.3752,s,,,
Ti II 4444,C,,,,,Ti II,4443.8,,,,,,,MS,4444.63,s,,,
He I 4471,A,,,He I,4471,,,,,,,He I,4471.48,,4470.9013,s,,,
Mg II 4481,A,,,Mg II,4481,Mg II,4481.33,,,,,Mg II,4481.33,,4481.2858,s,,,
Fe II/Ti II 4488-91,C,,,,,Fe II/Ti II,4488-91,,,,,,,,4489.8332,s,,,
Ti II 4501,C,,,,,Ti II,4501.27,,,,,,,,4501.9526,,,,
Fe II 4508,C,,,,,Fe II,4508.28,,,,,,,,4508.0347,s,,,
Fe II 4515,C,,,,,Fe II,4515.34,,,,,,,KP,4516.7109,,,,
Fe II 4520-23,B,,,,,Fe II,4520-23,,,,,Fe II,4522.63,KP,4521.8931,s,,,
Ti II/Fe II/Mg II 4534,C,,,,,Ti II/Fe II/Mg II,4534,,,,,,,,4533.9575,s,,,
Fe II 4549,C,,,,,Fe II/TI II,4550,,,,,Fe II,4549,TP,4550.106,s,,,
Cr II/Fe II 4555-59,C,,,,,Cr II/Fe II,4555-59,,,,,,,TP,4556.4414,,,,
