H-16/He I 3705,B,H-16,3703.5,,,H-16/He I,3703-05,,,H-16/He I,3705,,,,,,,,,,3705,,,,,,,Walborn - Atlas of yellow red OB spectra
H-15,B,H-15,3711.6,,,H-15,,,,H-15,3711.97,,,,,,,,,,3712.6892,,,,,,,Hack 1 - Lo spettro di Zeta Tauri I
H-14,B,H-14,3721.6,,,H-14,,,,H-14,3721.94,,,,,,,,,,3721.6189,,,,,,,Righini Mannino - Studio di phi persei
H-13,A,H-13,3734,,,H-13,,,,H-13,3734.37,H-13,3734.4,,,,,,,,3734.8101,,,,,,,Underhill - The spectrum of gamma pegasi
H-12,A,H-12,3749.8,,,H-12,,,,H-12,3750.15,H-12,3750.2,,,,,,,,3750.5663,,,,,,,Marshall - The visual region of the spectra of early-type stars
H-11,A,H-11,3770.2,,,H-11,,,,H-11,3770.6,H-11,3770.6,,,,,,,,3770.7046,,,,,,,
H-10,A,H-10,3797.5,,,H-10,,,,H-10,3797.9,H-10,3797.9,,,,,,,,3798.1171,,,,,,,
He I 3820,A,,,,,He I,3819.6,,,He I,3820,He I,3819.6,,,,,,,,3819.7251,,,,,,,
H-9,A,H-9,3835,,,H-9,,,,H-9,3835.39,H-9,3835.4,,,,,H-9,3835.38,,3835.3381,,,,,,,
He I 3868,A,,,,,He I,3867.6,,,He I,3867.5,He I,3867.5,,,,,,,MWK,3867.71,,,,,,,
H-8,A,H-8,3888.6,,,H-8,,,,H-8,3889.05,H-8,3888.6,,,,,H-8,3889.05,,3888.8278,,,,,,,
O II 3912,C,,,,,,,,,O II,3911.96,,,,,,,,,M,3911.35,,,,,,,
C II 3919-20,C,,,,,C II,3919-20,,,,,,,,,,,,,MK,3919.9,,,,,,,
He I 3927,B,,,,,Si III/He I,3924-27,,,He I,3926.53,He I,3926.5,,,,,He I,3926.53,,3925.9292,,,,,,,
Ca II 3934,B,Ca II,3934,,,Ca II,3933.66,,,Ca II,3933.66,He I,3936,,,,,,,MK,3934.64,,,,,,,
O II 3945,C,,,,,,,,,,,O II,3945,,,,,,,,3944.7878,,,,,,,
H$\epsilon$,A,H-epsilon,3970.07,,,H-epsilon,,H-epsilon,3970.07,H-epsilon,3970.07,H-epsilon,3970,,,,,H-epsilon,3970.07,,3969.4995,,,,,,,
N II 3995,B,,,N II,3995,N II/S II,3994-95,N II,3994.98,N II,3995,N II,3995,,,,,,,,3994.7983,,,,,,,
He I 4009,A,,,He I,4009,He I,4009.25,He I,4009.27,He I,4009.27,He I,4009.3,,,,,He I,4009.27,,4008.9307,,,,,,,
He I 4026,A,,,He I,4026,He I,4026.19,He I,4026.2,He I,4026,He I,4026.3,,,,,He I,4025.5,,4025.648,,,,,,,
,,,,,,O II,4041.3,,,,,N II,4043.5,,,,,,,,4042.5122,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4060.2761,,,,,,,
O II 4070-72,B,,,,,O II,4070-72,O II,4070-72,O II,4072.16,O II/C III,4070-72,,,,,C III/O II,4068-76,AW,4071.0286,,,,,,,
C II/O II 4075-76,C,,,,,C II,4075-76,C II/O II,4075-76,O II/Si II,4076,O II/O III/C II/N II,4073-76,,,,,C III/O II,4068-76,AW,4074.9268,,,,,,,
H$\delta$,A,H-delta,4101.74,,,H-delta,,H-delta,4101.74,H-delta,4101.74,H-delta,4101.7,,,,,H-delta,4101.74,,4101.26,,,,,,,
He I 4121,A,,,He I,4121,He I,4120.99,He I,4120.86,He I,4121,He I,4120.9,,,,,He I,4120.81,,4119.688,,,,,,,
Si II 4128-31,A,,,Si II,4128-30,Si II,4128-30,,,Si II,4128-31,,,,,,,,,,4130.6483,,,,,,,
He I 4144,A,,,He I,4144,He I,4143.76,He I,4143.76,He I,4143.76,He I,4143.8,,,,,He I,4143.76,,4143.3566,,,,,,,
He I 4169,A,,,,,He I,4169,He I,4169.1,He I,4168.97,,,,,,,He I,4168.97,,4167.5709,,,,,,,
O II 4185-90,C,,,,,,,O II,4185-90,,,,,,,,,C III/O II,4187-90,,4187.9861,,,,,,,
Fe III 4239,C,,,,,,,,,Fe III,4238.78,,,,,,,,,,4240.8579,,,,,,,
,,,,,,,,Fe III/S III,4253.6,,,,,,,,,O II,4253.98,,4253.1865,,,,,,,
C II 4267,A,,,C II,4267,C II,4267,C II,4267,,,,,,,,,C II,4267.27,,4267.0214,,,,,,,
O II 4276,B,,,,,,,O II,4275.52,,,,,,,,,O II,4276.7,,4275.9448,,,,,,,
,,,,,,,,S III,4284.99,,,,,,,,,O II,4285.7,,4283.6206,,,,,,,
O II 4303,C,,,,,,,O II,4203.82,,,,,,,,,O II,4302.81,MK,4304.04,,,,,,,
O II 4317-20,B,,,,,,,O II,4317-20,C II/O II,4317,,,,,,,O II,4317-20,,4318.5967,,,,,,,
H$\gamma$,A,H-gamma,4340.47,,,H-gamma,,H-gamma,4340.47,H-gamma,4340.47,H-gamma,4340.5,,,,,H-gamma,4340.47,,4340.1572,,,,,,,
O II 4367,B,,,,,,,O II,4366.9,,,,,,,,,O II,4366.99,TSP,4366.792,,,,,,,
,,,,,,,,,,,,,,,,,,,,TSP,4370.4683,,,,,,,
He I 4388,A,,,He I,4387,,,He I,4387.93,He I,4387.93,,,,,,,He I,4387.9,,4387.8673,,,,,,,
O II 4420,B,,,,,,,O II,4414.91,,,,,,,,,O II,4414.91,,4414.7213,,,,,,,
He I 4438,B,,,,,He I/S II,4438,He I,4437.55,He I,4437.55,,,,,,,He I,4437.55,,4437.2974,,,,,,,
N II 4447,B,,,,,,,N II,4447.03,Al II/N II,4447-48,,,,,,,N II,4447.03,,4447.0309,,,,,,,
He I 4471,A,,,He I,4471,,,He I,4471.51,He I,4471.5,He I,4471.6,,,,,He I,4471.48,TP,4470.9585,,,,,,,
Mg II 4481,A,,,Mg II,4481,,,Mg II,4481.33,Mg II,4481,,,,,,,Mg II,4481.13,TP,4480.3208,,,,,,,
Al III 4529,C,,,,,,,Al III,4529.18,,,,,,,,,,,,4529.0928,,,,,,,
