H-14,B,H14,3721.6,,,,,,,,,H14,3721.9,,,,3723.2521,,,,,,,,STRU1,Struve O. Swings P. Investigations of Typical Stellar Spectra With High Dispersion I
H-13,B,H13,3734,,,,,,,,,H13,3734.4,,,,3735.3674,,,,,,,,STRU2,Struve O. Swings P. The spectrum of Alfa 2 CVn
H-12,B,H12,3749.8,,,,,,,,,H12,3750.2,,,,3749.9345,,,,,,,,Greenstein,The spectrum of alpha carinae
,,,,,,,,,,,,,,,,M,3759.69,,,,,,,,,
H-11,B,H11,3770.2,,,,,,,,,H11,3770.6,,,,3771.5038,,,,,,,,,
H-10,B,H10,3797.5,,,,,,,,,H10,3797.9,,,,3797.9054,,,,,,,,,
Fe I/Fe II 3814-16,C,,,,,,,,,,,Fe II/Fe I,3814-16,,,,3815.2258,,,,,,,,,
H-9,A,H9,3835,H9,,,,,,,,H9,3835.4,,,,3835.6925,,,,,,,,,
Fe I 3860,C,,,,,,,,,,,Fe I,3859.9,,,,3858.1322,,,,,,,,,
H-8,A,H8,3888.6,H8,,,,,,H8,3889.05,H8,3889,,,,3889.3029,,,,,,,,,
,,,,,,,,,,,,,,,,,3916.7781,,,,,,,,,
Ca II 3934,A,Ca II,3934,Ca II K,,,,Ca II,3933.6,Ca II,3933.67,Ca II,3933.7,Ca II,3933.6,,3933.7575,,,,,,,,,
H$\epsilon$/Ca II 3968,A,Hepsilon,3970.07,Hepsilon,,,,Hepsilon/Ca II,3968-70,Hepsilon/Ca II,3968.47,Hepsilon,3970.1,Hepsilon,3970.07,,3969.6864,,,,,,,,,
V II/Fe I 3997,C,,,,,,,V II/Fe I,3997,,,,,,,,3997.2871,,,,,,,,,
V II 4006,C,,,,,,,Fe I/V II,4005-06,V II,4005.71,,,,,,4005.8471,,,,,,,,,
Fe II/Ti II 4025,B,,,,,,,Ti II,4025-28,Fe II/Ti II,4024-25,Fe II,4024.6,,,,4025.4702,,,,,,,,,
,,,,,,,,Mn I,4031-33,Fe II,4031-33,,,Fe I/Mn I,4030-33,,4032.3625,,,,,,,,,
Fe I 4046,A,,,Fe I,4046,,,Fe I,4045.8,Fe I,4045.81,Fe I,4045.8,,,,4045.5389,,,,,,,,,
Fe II 4057,C,,,,,,,Ti II/Mg I/Fe II,4056-57,,,Fe II,4057.2,,,,4056.1141,,,,,,,,,
,,,,,,,,Fe I,4063.6,Ni II/Cr II,4067.05,,,,,,4065.2354,,,,,,,,,
Sr II 4078,A,,,,,,,Sr II ,4077.7,Sr II,4077.71,Sr II,4077.7,,,,4078.4751,,,,,,,,,
H$\delta$,A,Hdelta,4101.74,Hdelta,,,,Hdelta,4101.75,Hdelta,4101.74,Hdelta,4101.8,Hdelta,4101.74,,4102.2078,,,,,,,,,
SI II 4128-31,A,,,,,,,Si II,4128-31,Si II,4128-31,Si II,4128-31,,,MWK,4129.17,,,,,,,,,
Fe I 4144,B,,,,,,,Fe I,4143.89,,,Fe I,4143.9,,,,4144.4133,,,,,,,,,
,,,,,,,,,,,,,,,,,4156.1926,,,,,,,,,
Fe II 4173-79,B,,,Fe II/Ti II,4172-79,,,Y II/Fe II,4178,Fe II,4173-79,Fe II,4173.4,Fe II,4173-79,TP,4175.6016,,,,,,,,,
Fe I 418-88,C,,,,,,,,,,,,,Fe I,4187-88,TP,4186.6411,,,,,,,,,
Fe I/Y II 4198-02,C,,,,,,,Fe I/Y II,4198-02,,,,,,,,4200.6223,,,,,,,,,
Sr II 4216,A,,,,,,,Sr II,4215.5,Sr II,4215.52,Sr II,4215.5,,,,4216.6211,,,,,,,,,
Ca I/Fe I 4227,B,,,Ca I,4226,,,Ca I/Fe I,4227,,,Fe I,4224-27,Ca I,4226.73,,4226.5798,,,,,,,,,
Fe I 4236,C,,,,,,,,,,,Fe I,4235.9,,,,4235.3271,,,,,,,,,
,,,,,,,,Sc II/Fe I,4247-51,,,Cr II,4250.5,,,,4249.6477,,,,,,,,,
Cr II 4262,B,,,,,,,,,Cr II,4261.9,Cr II,4261.9,,,,4260.7983,,,,,,,,,
Fe II 4273,B,,,,,,,Fe I/Fe II/Cr I,4271-75,Fe II,4273.32,Fe II,4273.3,,,,4273.442,,,,,,,,,
Ti II 4290,B,,,,,,,Ti II,4290.23,Ti II,4290.23,,,,,,4290.861,,,,,,,,,
Ti II/Fe II 4300-03,A,,,,,,,Ti II/Fe II,4300-03,Ti II/Fe II,4300-03,Ti II/Fe II,4300-03,,,,4302.0996,,,,,,,,,
Ti II 4315,C,,,,,,,Ti II/Fe I,4315,,,Ti II,4315,,,,4315.8579,,,,,,,,,
Fe I 4326,B,,,,,,,Fe I,4325.8,,,Fe I,4325.8,,,MK,4326.99,,,,,,,,,
H$\gamma$,A,Hgamma,4340.47,Hgamma,,,,Hgamma,4340.48,Hgamma,4340.46,Hgamma,4340.5,Hgamma,4340.47,,4340.9961,,,,,,,,,
Fe II 4352,B,,,,,,,Fe II/Mg I,4351.8,Fe II,4351.76,Fe II,4351.8,,,MSK,4352.2,,,,,,,,,
Fe II 4369,C,,,,,,,Ti II/Fe I,4368,Fe II,4369.4,Fe II,4369.4,,,M,4369.31,,,,,,,,,
Ti II 4375,C,,,,,,,Y II/Ti II,4375,,,Ti II,4374.8,,,M,4375.5,,,,,,,,,
Fe I/Fe II 4384-85,B,,,,,,,Fe I/Fe II,4384-85,Fe II,4385.38,Fe II,4385.4,Fe I/Fe II,4383-85,,4385.5762,,,,,,,,,
Ti II 4395,B,,,Fe II/Ti II,4395-4400,,,Ti II,4395.04,Ti II,4395.04,Ti II,4395-96,,,TP,4395.9775,,,,,,,,,
Ti II 4400,B,,,Fe II/Ti II,4395-4400,,,Ti II/Fe I,4400-05,Ti II,4399.77,,,,,TP,4401.043,,,,,,,,,
Fe II/Ti II 4417-18,B,,,Ti II,4417,,,Fe II/Ti II,4417-18,Fe II,4416.82,Fe II,4416.8,,,,4417.1246,,,,,,,,,
