H-14,B,H14,3721.6,,,,,,,,,,,,3722.5416,,,,,,,Walborn - Atlas of yellow red OB spectra
H-13,B,H13,3734,,,,,,,,,,,,3735.0512,,,,,,,Marshall - The visual region of the spectra of early-type stars
H-12,B,H12,3749.8,,,,,,,,,,,,3750.4348,,,,,,,Underhill - The spectrum of gamma pegasi
H-11,B,H11,3770.2,,,,,,,,,,,,3770.9206,,,,,,,
H-10,B,H10,3797.5,,,,,,,,,,,,3798.1131,,,,,,,
,,,,,,,,,,,,,,,3819.5557,,,,,,,
H-9,A,H9,3835,H9,,,,,,,,H9,3835.38,,3835.3704,,,,,,,
,,,,,,,,,,,,,,MWK,3873.34,,,,,,,
H-8,A,H8,3888.6,H8,,,,,,,,H8,3889.05,,3888.8387,,,,,,,
,,,,,,,,,,,,,,MK,3906.15,,,,,,,
He I 3927 ,C,,,,,,,,,,,He I,3926.53,wide,3925.4835,,,,,,,
H$\epsilon$,A,Hepsilon,3970.07,Hepsilon,,Hepsilon,3970.07,,,,,Hepsilon,3970.07,,3969.6548,,,,,,,
He I 4009,A,,,He I,4009,He I,4009.27,,,,,He I,4009.27,,4008.9957,,,,,,,
He I 4026,A,,,He I,4026,He I,4026.2,,,,,He I,4025.5,,4025.6343,,,,,,,
O II 4072,C,,,,,O II,4072.18,,,,,,,MWK,4071.64,,,,,,,
H$\delta$,A,Hdelta,4101.74,,,Hdelta,4101.74,,,,,Hdelta,4101.74,,4101.2985,,,,,,,
He I 4121,B,,,,,He I,4120.86,,,,,He I,4120.81,,4118.9169,,,,,,,
He I 4144,A,,,He I,4144,He I,4143.76,,,,,He I,4143.76,,4143.3588,,,,,,,
C II 4267,C,,,C II,4267,He I,4268.97,,,,,C II,4267.27,,4266.5205,,,,,,,
H$\gamma$,A,Hgamma,4340.47,Hgamma,,Hgamma,4340.47,,,,,Hgamma,4340.47,,4340.2334,,,,,,,
He I 4388,A,,,He I,4387,He I,4387.93,,,,,He I,4387.9,,4387.6022,,,,,,,
O II 4415,B,,,,,O II,4414.9,,,,,O II,4415-17,TWP,4414.9741,,,,,,,
,,,,,,,,,,,,,,TWP,4431.2808,,,,,,,
He I 4471,A,,,He I,4471,He I,4471.5,,,,,He I,4471.48,,4470.8285,,,,,,,
Mg II 4481,A,,,Mg II,4481,Mg II,4481.33,,,,,Mg II,4481.13,MK,4481.54,,,,,,,
Si III 4553,C,,,,,SI III,4552.65,,,,,,,,4550.9635,,,,,,,
Si III 4568,C,,,,,Si III,4567.87,,,,,,,,4569.7991,,,,,,,
,,,,,,,,,,,,,,wide,4644.339,,,,,,,
,,,,,,,,,,,,,,M,4670.8,,,,,,,
He I 4713,B,,,,,He I,4713.2,,,,,He I,4713.15,,4712.3429,,,,,,,
H$\beta$,A,Hbeta,4861.33,,,Hbeta,4861.33,Hbeta,4861.33,,,Hbeta,4861.33,,4860.6181,,,,,,,
He I 4922,A,,,,,He I,4921.93,He I,4921.93,,,He I,4921.93,,4921.3167,,,,,,,
He I 5016,B,,,,,He I,5015.68,He I,5015.68,,,He I,5015.68,,5013.8265,,,,,,,
He I 5048,B,,,,,He I,5047.74,He I,5047.74,,,He I,5047.74,wide,5045.6571,,,,,,,
C II 5641,C,,,,,,,C II,5640.5,,,,,,5641.0868,,,,,,,
Al III 5723,C,,,,,,,Al III,5722.65,,,,,,5722.1133,,,,,,,
Si III 5739,B,,,,,,,Si III,5739.76,,,Si III,5739,,5738.4043,,,,,,,
,,,,,,,,,,,,,,,5779.4965,,,,,,,
He I 5876,B,,,,,,,He I,5876,,,He I,5876,,5875.3423,,,,,,,
Na I 5889 (is),A,Na I,5890,,,,,Na I,5889,,,Na I,5889,TP,5889.7378,,,,,,,
Na I 5896 (is),A,Na I,5896,,,,,Na I,5896,,,Na I,5896,TP,5895.6919,,,,,,,
,,,,,,,,,,,,,,telluric?,6279.9042,,,,,,,
,,,,,,,,,,,,,,,6349.9826,,,,,,,
,,,,,,,,,,,,,,telluric?,6516.695,,,,,,,
H$\alpha$,A,Halfa,6562.82,,,,,Halfa,6562.82,,,Halfa,6562.82,,6562.566,,,,,,,
He I 6678,B,,,,,,,He I,6678.15,,,He I,6678.15,,6677.0169,,,,,,,
