H-14,B,H14,3721.6,,,,,H14,3721,,,,,,3721.8041,,,,,,,,Walker Spectral Atlas for Amateur Astronomers
H-13,B,H13,3734,,,,,H13,3734,,,,,,3734.3214,,,,,,,,Heap Observations of O and Of Stars
H-12,B,H12,3749.8,,,,,H12,3750,,,,,,3751.9168,,,,,,,,Walborn An atlas of yellow-red OB spectra
H-11,B,H11,3770.2,,,,,H11,3770,,,,,,3770.6193,,,,,,,,
H-10/He II 3797,B,H10,3797.5,,,,,H10/He II,3797,,,,,,3797.3531,,,,,,,,
He I 3819,C,,,,,,,He I,3819,,,,,,3819.636,,,,,,,,
H-9/He II 3835,B,H9,3835,,,,,H9/He II,3835,,,H9,3835.38,,3834.5485,,,,,,,,
He II 3858,C,,,,,,,He II,3858,,,,,,3856.3113,,,,,,,,
,,,,,,,,,,,,,,,3866.547,,,,,,,,
,,,,,,,,,,,,,,M,3874.02,,,,,,,,
H-8/He II 3889,B,H8,3888.6,,,,,H8/He II,3889,,,H8,3889.05,,3888.1687,,,,,,,,
,,,,,,,,,,,,,,M,3907.93,,,,,,,,
He II 3923,C,,,,,,,He II,3923,,,,,TP,3921.6746,,,,,,,,
,,,,,,,,,,,,,,TP,3933.0474,,,,,,,,
H$\epsilon$/He II 3970,A,Hepsilon,3970.07,,,,,H7/He II,3970,,,Hepsilon,3970.07,,3968.5653,,,,,,,,
,,,,,,,,,,,,,,,3991.3501,,,,,,,,
,,,,,,,,,,,,,,,3999.4107,,,,,,,,
He I 4009,C,,,,,,,,,He I,4009,,,,4009.7034,,,,,,,,
,,,,,,,,,,,,,,,4013.7104,,,,,,,,
He I/He II 4026,A,,,He I/He II,4026,,,He I/He II,4026,He I/He II,4026,He I,4025.5,,4025.2115,,,,,,,,
,,,,,,,,,,,,,,M,4044.03,,,,,,,,
,,,,,,,,,,,,,,,4049.2561,,,,,,,,
,,,,,,,,,,,,,,,4055.2686,,,,,,,,
C II 4068-70,B,,,,,,,C III,4067,C III,4068-70,,,,4069.5227,,,,,,,,
Si IV 4089,B,,,Si IV,4089,,,Si IV,4088,Si IV,4089,,,M,4087.36,,,,,,,,
H$\delta$,A,Hdelta,4101.7,,,,,Hdelta/He II,4101,Hdelta,4102,Hdelta,4101.74,,4099.9743,,,,,,,,
Si IV 4116,B,,,Si IV,4116,,,Si IV,4116,Si IV,4116,,,,4117.4679,,,,,,,,
,,,,,,,,,,,,,,,4125.4589,,,,,,,,
He I 4144,A,,,He I,4144,,,,,He I,4144,He I,4143.76,,4144.8092,,,,,,,,
,,,,,,,,,,,,,,M,4156.59,,,,,,,,
,,,,,,,,,,,,,,,4166.5168,,,,,,,,
He II 4200,B,,,He II,4200,,,He II,4200,He II,4200,He II/N III,4200,,4197.9965,,,,,,,,
,,,,,,,,,,,,,,,4211.8133,,,,,,,,
N II 4227,C,,,,,,,N II,4227,,,,,,4225.3447,,,,,,,,
,,,,,,,,,,,,,,M,4238.53,,,,,,,,
,,,,,,,,,,,,,,,4249.8891,,,,,,,,
,,,,,,,,,,,,,,,4257.3127,,,,,,,,
,,,,,,,,,,,,,,M,4280.92,,,,,,,,
,,,,,,,,,,,,,,,4300.6555,,,,,,,,
H$\gamma$/He II 4340,A,Hgamma,4340.47,,,,,Hgamma/He II,4340,Hgamma,4340,Hgamma,4340.47,,4338.9807,,,,,,,,
,,,,,,,,,,,,,,MSK,4351.56,,,,,,,,
,,,,,,,,,,,,,,,4369.1487,,,,,,,,
N III 4379,C,,,,,,,,,N III,4379,,,,4377.6712,,,,,,,,
He I 4388,A,,,He I,4387,,,,,He I,4388,He I,4387.9,,4389.5538,,,,,,,,
DIB,B,,,,,,,,,DIB,4429,DIB,,DIB???,4428.293,,,,,,,,
He I 4471,A,,,He I,4471,,,He I,4471,He I,4471,He I,4471.48,,4470.5632,,,,,,,,
,,,,,,,,,,,,,,,4480.6,,,,,,,,
DIB,C,,,,,,,,,DIB,4502,,,,4500.1564,,,,,,,,
He II 4542,A,,,He II,4541,,,He II,4542,He II,4542,He II,4541.59,,4539.7443,,,,,,,,
,,,,,,,,,,,,,,M,4627.06,,,,,,,,
N III 4634-40,A,,,N III,4634-4640,,,N III,4634-40,N III,4634-42,N III,4634-42,emission,4636.6253,,,,,,,,
C III 4647-51,B,,,C III,4650,,,,,C III,4647-51,C III,4647-51,AW,4649.4336,,,,,,,,
Si IV 4654,C,,,Si IV,4654,,,,,,,,,AW,4654.1621,,,,,,,,
,,,,,,,,,,,,,,,4667.0199,,,,,,,,
He II 4686,A,,,He II,4686,,,He II,4686,He II,4686,He II,4685.68,,4683.779,,,,,,,,
He I 4713,B,,,,,,,,,He I,4713,He I,4713.15,M,4712.3,,,,,,,,
DIB,C,,,,,,,,,DIB,4727,,,,4725.8827,,,,,,,,
DIB,C,,,,,,,,,DIB,4762,,,,4762.0997,,,,,,,,
H$\beta$,A,Hbeta,4861.33,,,,,,,Hbeta,4861,Hbeta,4861.33,,4859.3299,,,,,,,,
,,,,,,,,,,,,,,M,4895.97,,,,,,,,
,,,,,,,,,,,,,,M,4910.1,,,,,,,,
He I 4922,B,,,,,,,,,He I,4921,He I,4921.93,,4922.4906,,,,,,,,
,,,,,,,,,,,,,,M,4934.59,,,,,,,,
,,,,,,,,,,,,,,M,4962.85,,,,,,,,
He I 5016,C,,,,,,,,,,,He I,5015.68,,5014.6405,,,,,,,,
,,,,,,,,,,,,,,,5202.1979,,,,,,,,
,,,,,,,,,,,,,,M,5248.71,,,,,,,,
He II 5411,C,,,,,He II,5411,,,,,He II,5411.52,,5409.316,,,,,,,,
,,,,,,,,,,,,,,,5507.0888,,,,,,,,
,,,,,,,,,,,,,,M,5532.69,,,,,,,,
O III 5592,C,,,,,O III,5592,,,,,O III,5592.37,,5590.6153,,,,,,,,
C III 5696,C,,,,,C III,5696,,,,,C III,5696,emission,5693.413,,,,,,,,
,,,,,,,,,,,,,,,5703.0088,,,,,,,,
,,,,,,,,,,,,,,M,5746.5,,,,,,,,
interstellar,C,,,,,interstellar,5780,,,,,,,,5779.995,,,,,,,,
C IV 5801,C,,,,,,,,,,,C IV,5801.52,TP,5798.4785,,,,,,,,
C IV 5812,C,,,,,C IV,5801-12,,,,,C IV,5812.14,TP,5809.5093,,,,,,,,
,,,,,,,,,,,,,,M,5834.57,,,,,,,,
,,,,,,,,,,,,,,,5846.9017,,,,,,,,
He I 5876,B,,,,,He I,5876,,,,,He I,5875.6,,5874.4491,,,,,,,,
Na I 5890 (is),A,Na I,5890,,,Na I,5890,,,,,Na I,5889,TP,5889.5391,,,,,,,,
Na I 5896 (is),A,Na I,5896,,,Na I,5896,,,,,Na I,5896,TP,5896.04,,,,,,,,
,,,,,,,,,,,,,,,6071.7894,,,,,,,,
,,,,,,,,,,,,,,,6139.2857,,,,,,,,
,,,,,,,,,,,,,,,6168.4989,,,,,,,,
,,,,,,,,,,,,,,,6203.2139,,,,,,,,
,,,,,,,,,,,,,,,6231.6469,,,,,,,,
Telluric $O_2$,A,,,,,Telluric O2,,,,,,,,telluric?,6280.8985,,,,,,,,
,,,,,,,,,,,,,,,6377.5681,,,,,,,,
He II 6406,C,,,,,He II,6406,,,,,,,,6404.9331,,,,,,,,
,,,,,,,,,,,,,,telluric?,6517.2837,,,,,,,,
,,,,,,,,,,,,,,telluric?,6524.5,,,,,,,,
,,,,,,,,,,,,,,telluric?,6532.04,,,,,,,,
H$\alpha$,A,Halfa,6562.82,,,Halfa,6563,,,,,Halfa,6562.82,,6560.698,,,,,,,,
,,,,,,,,,,,,,,,6588.9926,,,,,,,,
,,,,,,,,,,,,,,,6613.6774,,,,,,,,
He I 6678,C,,,,,,,,,,,He I,6678.15,,6680.0809,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3.191,,,,
