H-15,B,H15,3711.6,,,,,,,,,,,,3712.6079,,,,,,,Walborn - Atlas of yellow red OB spectra
H-14,B,H14,3721.6,,,,,,,,,,,,3722.5389,,,,,,,Marshall - The visual region of the spectra of early-type stars
H-13,B,H13,3734,,,,,,,,,,,,3734.5817,,,,,,,Underhill - The spectrum of gamma pegasi
H-12,B,H12,3749.8,,,,,,,,,,,,3750.6014,,,,,,,
H-11,B,H11,3770.2,,,,,,,,,,,,3770.6984,,,,,,,
H-10,B,H10,3797.5,,,,,,,,,,,,3797.8069,,,,,,,
,,,,,,,,,,,,,,,3819.7031,,,,,,,
H-9,B,H9,3835,H9,,,,,,,,H9,3835.38,,3835.1426,,,,,,,
,,,,,,,,,,,,,,,3855.18,,,,,,,
,,,,,,,,,,,,,,M,3870.25,,,,,,,
H-8,A,H8,3888.6,H8,,,,,,,,H8,3889.05,,3888.7365,,,,,,,
He I 3927,C,,,,,,,,,,,He I,3926.53,M,3924.41,,,,,,,
Ca II 3934,C,Ca II,3934,,,,,,,,,,,,3933.0497,,,,,,,
H$\epsilon$,A,Hepsilon,3970.07,Hepsilon,,Hepsilon,3970.07,,,,,Hepsilon,3970.07,,3969.7191,,,,,,,
N II 3995,C,,,,,N II,3994.98,,,,,,,,3996.4462,,,,,,,
He I 4009,A,,,He I,4009,He I,4009.27,,,,,He I,4009.27,,4008.9174,,,,,,,
He I 4026,A,,,He I,4026,He I,4026.2,,,,,He I,4025.5,,4025.9502,,,,,,,
H$\delta$,A,Hdelta,4101.74,Hdelta,,Hdelta,4101.74,,,,,Hdelta,4101.74,,4101.7892,,,,,,,
He I 4121,B,,,,,He I,4120.9,,,,,He I,4120.81,MW,4119.85,,,,,,,
Si II 4128-31,B,,,Si II,4128-31,Si II,4128-31,,,,,,,,4129.7582,,,,,,,
He I 4144,A,,,He I,4144,He I,4143.76,,,,,He I,4143.76,,4143.9405,,,,,,,
He I 4169 ,B,,,,,He I,4168.97,,,,,He I,4168.97,M,4169.3,,,,,,,
,,,,,,,,,,,,,,M,4204.15,,,,,,,
,,,,,,,,,,,,,,M,4234.76,,,,,,,
C II 4267,A,,,C II,4267,C II,4267.18,,,,,C II,4267.27,,4268.5213,,,,,,,
,,,,,,,,,,,,,,M,4295.04,,,,,,,
H$\gamma$,A,Hgamma,4340.47,Hgamma,,Hgamma,4340.47,,,,,Hgamma,4340.47,,4340.5621,,,,,,,
He I 4388,A,,,He I,4387,He I,4387.93,,,,,He I,4387.9,,4387.9722,,,,,,,
He I 4438,B,,,,,He I,4437.55,,,,,He I,4437.55,M,4438.21,,,,,,,
He I 4471,A,,,He I,4471,He I,4471.51,,,,,He I,4471.48,TP,4471.333,,,,,,,
Mg II 4481,B,,,Mg II,4481,Mg II,4481,,,,,,,TP,4481.1899,,,,,,,
,,,,,,,,,,,,,,M,4522.98,,,,,,,
,,,,,,,,,,,,,,AW,4550.6646,,,,,,,
,,,,,,,,,,,,,,AW,4556.9155,,,,,,,
,,,,,,,,,,,,,,M,4576.67,,,,,,,
,,,,,,,,,,,,,,M,4620.94,,,,,,,
,,,,,,,,,,,,,,M,4631.3,,,,,,,
He I 4713,A,,,,,He I,4713.2,He I,4713.43,,,He I,4713.15,,4713.0414,,,,,,,
H$\beta$,A,Hbeta,4861.33,,,Hbeta,4861.33,Hbeta,4861.33,,,Hbeta,4861.33,,4861.1401,,,,,,,
He I 4922,A,,,,,He I,4921.93,He I,4921.93,,,He I,4921.93,,4922.1202,,,,,,,
He I 5016,A,,,,,He I,5015.68,He I,5015.68,,,He I,5015.67,,5016.3677,,,,,,,
Si II 5041,B,,,,,Si II,5041,Si II,5041.06,,,,,TP,5040.6553,,,,,,,
Si II 5056,B,,,,,Si II,5056,Si II,5056.02,,,,,TP,5056.2065,,,,,,,
He I 5876,A,,,,,,,He I,5876,He I,5876,He I,5875.6,,5876.5707,,,,,,,
Na I 5890 (is),A,Na I,5890,,,,,Na I,5889.98,Na I,5890,Na I,5890,TP,5890.5952,,,,,,,
Na I 5896 (is),A,Na I,5896,,,,,Na I,5895.94,Na I,5896,Na I,5896,TP,5897.8628,,,,,,,
Telluric $O_2$,A,,,,,,,,,Telluric O2,6284,,,telluric?,6279.9774,,,,,,,
Si II 6347,C,,,,,,,Si II,6347.09,Mg II/Si II,6347,,,,6347.5956,,,,,,,
S II 6371,B,,,,,,,Si II,6371.36,Si II,6371,,,,6371.8045,,,,,,,
H$\alpha$,A,Halfa,6562.82,,,,,Halfa,6562.82,Halfa,6563,Halfa,6562.82,,6563.1135,,,,,,,
He I 6678,B,,,,,,,He I,6678.15,,,He I,6678.15,,6678.0613,,,,,,,
