H-16,C,H16,3703.5,,,,,,,,,,,,,,3704.3875,,,,,,,,STRU1,Struve O. Swings P. Investigations of Typical Stellar Spectra With High Dispersion I
H-15,B,H15,3711.6,,,,,,,,,H15,3712,,,,3713.2467,,,,,,,,STRU2,Struve O. Swings P. The spectrum of Alfa 2 CVn
H-14,B,H14,3721.6,,,,,,,,,H14,3721.9,,,,3722.573,,,,,,,,Buscombe,Spectrophotometry of early A-type stars
H-13,B,H13,3734,,,,,,,,,H13,3734.4,,,,3735.3285,,,,,,,,Marshall,The visual region of the spectra of early type stars
H-12,B,H12,3749.8,,,,,,,,,H12,3750.2,,,,3750.0098,,,,,,,,,
Ti II/Fe II 3761-63,C,,,,,,,,,,,Ti II/Fe II,3761-63,,,,3761.1008,,,,,,,,,
H-11,B,H11,3770.2,,,,,,,,,H11,3770.6,,,,3770.9298,,,,,,,,,
,,,,,,,,,,,,,,,,,3784.8373,,,,,,,,,
H-10,B,H10,3797.5,,,,,,,,,H10,3797.9,,,,3797.8605,,,,,,,,,
Fe II 3814,C,,,,,,,,,,,Fe II,3814.1,,,,3814.1603,,,,,,,,,
Fe I 3820-22,C,,,,,,,,,,,Fe I,3820-22,,,,3820.1444,,,,,,,,,
Fe I 3826-28,C,,,,,,,,,,,Fe I,3826-28,,,MK,3826.45,,,,,,,,,
H-9,B,H9,3835,,,,,,,,,H9,3835.4,,,,3835.1937,,,,,,,,,
Si II 3854-56,C,,,,,,,,,,,Si II,3854-56,,,,3855.7002,,,,,,,,,
Si II 3863,B,,,,,,,,,Si II,3862.66,Si II,3862.6,,,,3862.7539,,,,,,,,,
Fe I 3873,C,,,,,,,,,Fe I,3872.5,,,,,,3872.05,,,,,,,,,
H-8,A,H8,3888.6,,,,,,,H8,3889.05,H8,3889,,,,3888.4498,,,,,,,,,
Ti II 3901,A,,,,,,,Ti II,3900.55,Ti II,3900.54,Ti II,3900.5,,,,3900.4673,,,,,,,,,
,,,,,,,,,,,,,,,,,3904.5242,,,,,,,,,
Ti II 3913,A,,,,,,,Ti II,3913.46,Ti II,3913.46,Ti II,3913.5,,,,3913.5956,,,,,,,,,
Ca II 3934,A,Ca II,3934,Ca II K,,,,Ca II,3933.68,Ca II,3933.67,Ca II,3933.7,Ca II,3933.66,,3933.2003,,,,,,,,,
Al I 3944,B,,,,,,,Al I,3944.01,Al I/Fe I/Cr II,3944-45,,,Al I/Fe II,3944-45,MS,3943.72,,,,,,,,,
H$\epsilon$/Ca II 3968,A,Hepsilon,3970.07,Hepsilon,,,,,,Hepsilon/Ca II,3968-70,Hepsilon/Ca II,3968-70,Hepsilon,3970.07,,3968.988,,,,,,,,,
Cr II 3980,C,,,,,,,,,Cr II/Ti II,3979-82,Cr II,3979.5,,,MSK,3980.92,,,,,,,,,
Fe II 4002,B,,,,,,,,,Fe II,4002,Fe II/Cr II,4002-03,Fe I/Fe II,4002-05,TP,4002.0859,,,,,,,,,
