H$\delta$,V,4101.7,
H$\gamma$,V,4340.5,
H$\beta$,V,4861.3,
H$\alpha$,V,6562.8,
Mg II 4481,G,4481.26,
Si II 5041,G,5041.13,
Si II 5056,G,5056.17,
Si II 6347,G,6347.09,
Si II 6371,G,6371.36,
Ti II 4172,G,4172.0,TiIIFeII4170
Fe II 4179,G,4179.0,TiIIFeII4170
unknown 4186,G,4186.0,TiIIFeII4170
Fe II 4233,G,4233.0,
Fe II 4417,G,4417.0,
Ti II 4501,G,4501.0,TiIIFeII4510
Fe II 4508,G,4508.0,TiIIFeII4510
Fe II 4515,G,4515.0,TiIIFeII4510
Fe II 4520,G,4520.0,TiIIFeII4510
Fe II 4924,G,4924.0,
Fe II 5018,G,5018.0,
blend 5225,G,5225.0,FeII5235
Fe II 5235,G,5235.0,FeII5235
Fe II 5276,G,5276.0,FeII5276
unknown 5282,G,5282.0,FeII5276
