H-15,B,H-15,3711.6,,,,,,,,,,,,,,3712.2694,,,,
H-14,B,H-14,3721.6,,,,,,,,,,,,,,3722.2139,,,,
H-13,B,H-13,3734,,,,,,,,,,,,,,3734.4992,,,,
H-12,B,H-12,3749.8,,,,,,,,,,,,,,3750.0277,,,,
H-11,B,H-11,3770.2,,,,,,,,,,,,,,3770.6405,,,,
H-10,B,H-10,3797.5,,,,,,,,,,,,,,3797.7716,,,,
H-9,A,H-9,3835,H-9,,,,,,,,,,,,,3835.2748,,,,
,,,,,,,,,,,,,,,,M,3855,,,,
Si II 3863,C,,,,,,,Si II,3862.59,,,,,,,,3863.7411,,,,
H-8,A,H-8,3888.6,H-8,,,,H8,3889.05,,,,,,,,3889.0209,,,,
,,,,,,,,,,,,,,,,,3917.61,,,,
Ca II 3934,A,Ca II,3934,Ca II K,,,,Ca II,3933.67,,,,,Ca II,3933.6,,3934.0631,,,,
H$\epsilon$,A,H-epsilon,3970.07,H-epsilon,,,,Hepsilon,3970.08,,,,,Hepsilon,3970.07,,3970.0014,,,,
He I 4009,A,,,He I,4009,,,He I,4009.27,,,,,He I,4009.27,,4008.5281,,,,
He I 4026,A,,,He I,4026,,,He I,4026.19,,,,,He I,4025.5,,4026.5459,,,,
Cr II 4052,C,,,,,,,Cr II,4051.97,,,,,,,,4051.42,,,,
H$\delta$,A,H-delta,4101.74,H-delta,,,,Hdelta,4101.74,,,,,Hdelta,4101.74,,4101.8603,,,,
Si II 4128-31,A,,,Si II,4128-30,,,Si II,4128-31,,,,,Si II,4128-31,,4129.0714,,,,
He I 4144,A,,,He I,4144,,,He I,4143.76,,,,,He I,4143.76,,4144.3796,,,,
Fe II 4173-79,B,,,,,,,Fe II,4173-79,,,,,Fe II,4172-78,,4175.6173,,,,
Fe II 4233,B,,,,,,,Fe II,4233.17,,,,,Fe II,4233-34,,4232.8878,,,,
Ti II/Fe II 4294-97,C,,,,,,,Ti II/Fe II,4294-97,,,,,,,M,4295.14,,,,
,,,,,,,,,,,,,,,,M,4306.13,,,,
H$\gamma$,A,H-gamma,4340.47,H-gamma,,,,Hgamma,4340.46,,,,,Hgamma,4340.47,,4340.6548,,,,
He I 4388,A,,,He I,4387,,,He I,4387.93,,,,,He I,4387.93,,4388.4451,,,,
He I 4471,A,,,He I,4471,,,He I,4471.5,,,,,He I,4471.48,TP,4471.7979,,,,
Mg II 4481,A,,,Mg II,4481,,,Mg II,4481.33,,,,,Mg II,4481.33,TP,4481.5029,,,,
Fe II 4491,C,,,,,,,Fe II,4491.42,,,,,,,M,4492.99,,,,
Fe II 4520-23,B,,,,,,,Fe II,4520-23,,,,,Fe II,4522.63,,4522.9341,,,,
Cr II 4617-19,C,,,,,,,Cr II,4617-19,,,,,,,KP,4619.7627,,,,
,,,,,,,,,,,,,,Fe II,4629.34,KP,4632.5903,,,,
He I 4713,B,,,,,,,,,,,He I,4713.14,He I,4713.15,,4715.198,,,,
H$\beta$,A,H-beta,4861.33,,,,,Hbeta,4861.33,,,Hbeta,4861.33,,,,4861.3881,,,,
Fe II 4924,A,,,,,,,Fe II,4923.92,,,Fe II,4924,Fe II,4923.92,,4923.3109,,,,
Fe II 5018,B,,,,,,,Fe II,5018.43,,,Fe II,5018.44,,,,5017.6679,,,,
Fe II 5036-37,C,,,,,,,Fe II,5036-37,,,,,,,AW,5037.8208,,,,
Si II 5041,C,,,,,,,Si II,5041,,,,,,,AW,5043.6572,,,,
Si II 5056,B,,,,,,,Si II,5056.17,,,Si II,5056,,,,5057.5721,,,,
Fe II 5169,B,,,,,,,Fe II,5168.97,,,Fe II,5169.03,,,,5169.5866,,,,
Fe II 5198,C,,,,,,,Fe II,5197.57,,,,,,,,5199.2538,,,,
Si II 5689,C,,,,,,,,,,,Si II,5688.86,,,TSP,5690.5322,,,,
,,,,,,,,,,,,,,,,TSP,5701.4131,,,,
He I 5876,A,,,,,,,He I,5875.6,He I,5876,He I,5876,He I,5876,M,5876.5,,,,
Interstellar Na I 5890,A,Na I,5890,,,,,,,Interstellar Na I,5890,Na I,5890,Na I,5889,TP,5890.6826,,,,
Interstellar Na I 5896,A,Na I,5896,,,,,,,Interstellar Na I,5896,Na I,5896,Na I,5896,TP,5900.3149,,,,
,,,,,,,,,,,,,,,,,6101.7121,,,,
Ne I 6143,C,,,,,,,,,,,Ne I,6143.06,,,KP,6142.1953,,,,
,,,,,,,,O I,6157-58,,,Fe I,6157.73,,,KP,6157.0864,,,,
Telluric $O_2$,A,,,,,,,,,Telluric O2,6277,,,,,,6280.0046,,,,
,,,,,,,,,,,,,,,,,6294.6387,,,,
,,,,,,,,,,,,,,,,,6321.0487,,,,
Si II 6347,A,,,,,,,Si II,6347.1,Mg II/Si II,6347,Si II,6347.09,,,,6347.8529,,,,
Si II 6371,A,,,,,,,Si II,6371.36,SI II,6371,Si II,6371.36,,,,6371.3776,,,,
Fe II 6516,C,,,,,,,Fe II,6516.05,,,,,,,,6517.8655,,,,
,,,,,,,,,,,,,,,,MWK,6535.04,,,,
H$\alpha$,A,H-alfa,6562.82,,,,,Halfa,6562.82,Halfa,6563,Halfa,6562.82,Halfa,6562.82,,6562.6728,,,,
