H-14,B,H-14,3721.6,,,,,,,,,,,,3722.1769,,,,
H-13,B,H-13,3734,,,,,,,,,,,,3734.9696,,,,
H-12,B,H-12,3749.8,,,,,,,,,,,,3750.2598,,,,
H-11,B,H-11,3770.2,,,,,,,,,,,,3770.8457,,,,
H-10,B,H-10,3797.5,,,,,,,,,,,,3797.9802,,,,
,,,,,,,,,,,,,,MSK,3819.16,,,,
H-9,A,H-9,3835,H-9,,,,,,,,,,,3835.4755,,,,
H-8,A,H-8,3888.6,H-8,,H8,3889.05,,,,,,,,3889.2086,,,,
CA II 3934,A,Ca II,3934,Ca II K,,Ca II,3933.67,,,,,Ca II,3933.66,,3933.7196,,,,
H$\epsilon$,A,H-epsilon,3970.07,H-epsilon,,Hepsilon,3970.08,,,,,Hepsilon,3970.07,,3970.1797,,,,
,,,,,,,,,,,,,,,4011.4132,,,,
He I 4026,A,,,He I,4026,He I,4026.19,,,,,He I,4025.5,,4026.5081,,,,
Fe II/Cr II 4049,C,,,,,Fe II/Cr II,4048.9,,,,,,,,4048.1577,,,,
,,,,,,,,,,,,,,MK,4074.36,,,,
H$\delta$,A,H-delta,4101.74,H-delta,,Hdelta,4101.74,,,,,Hdelta,4101.74,,4101.8845,,,,
Si II 4128-31,A,,,Si II,4128-30,Si II,4128-31,,,,,Si II,4128-31,MK,4129.31,,,,
He I 4144,A,,,He I,4144,He I,4143.76,,,,,He I,4143.76,,4144.8943,,,,
Fe II 4173-79,B,,,,,Fe II,4173-78,,,,,Fe II,4172-78,,4176.2277,,,,
Mn I 4207,C,,,,,,,,,,,Mn I,4207.23,M,4207.21,,,,
Fe II 4233,B,,,,,Fe II,4233.17,,,,,Fe II,4233-34,,4233.7673,,,,
H$\gamma$,A,H-gamma,4340.47,H-gamma,,Hgamma,4340.46,,,,,Hgamma,4340.47,,4340.7215,,,,
He I 4388,A,,,He I,4387,He I,4387.9,,,,,He I,4387.9,,4387.5787,,,,
Fe II 4416,C,,,,,Fe II,4416.82,,,,,,,,4417.5772,,,,
Ti II 4444,C,,,,,Ti II,4443.8,,,,,,,TSP,4444.7959,,,,
Ti II 4450,C,,,,,Ti II,4450.49,,,,,,,TSP,4450.8413,,,,
He I 4471,A,,,He I,4471,He I,4471.5,,,,,He I,4471.48,TP,4471.792,,,,
Mg II 4481,A,,,Mg II,4481,Mg II,4481.33,,,,,Mg II,4481.33,TP,4481.3457,,,,
Fe II 4520-23,B,,,,,Fe II,4520-23,,,,,Fe II,4522.63,,4522.2512,,,,
Fe II 4550,C,,,,,Fe II/Ti II,4549.5,,,,,Fe II,4549,AW,4550.3501,,,,
Fe II/Cr II 4555-59,C,,,,,Fe II/Cr II,4555-59,,,,,,,AW,4555.4199,,,,
Fe II 4584,B,,,,,Fe II,4583.83,,,,,Fe II,4583.99,M,4583.79,,,,
