H-16/He I 3703-05,B,,,,,,,H-16/He I,3703-05,,,,,,,,,,3705.1893,,,,,,,Walborn - Atlas of yellow red OB spectra
H-15,B,H-15,3711.6,,,,,H-15,3712.2,,,,,,,,,,3712.5097,,,,,,,Hack 1 - Lo spettro di Zeta Tauri I
H-14,B,H-14,3721.6,,,,,H-14,3721.9,,,,,,,,,,3720.6983,,,,,,,Righini Mannino - Studio di phi persei
H-13,A,H-13,3734,,,,,H-13,3734.4,H-13,3734.4,,,,,,,,3734.7251,,,,,,,Underhill - The spectrum of gamma pegasi
H-12,A,H-12,3749.8,,,,,H-12,3750.1,H-12,3750.2,,,,,,,,3749.7155,,,,,,,Marshall - The visual region of the spectra of early-type stars
H-11,A,H-11,3770.2,,,,,H-11,3770.6,H-11,3770.6,,,,,,,,3770.3541,,,,,,,
H-10,A,H-10,3797.5,,,,,H-10,3797.9,H-10,3797.9,,,,,,,,3797.732,,,,,,,
He I 3820,B,,,,,,,He I,3819.6,He I,3819.6,,,,,,,,3819.7851,,,,,,,
H-9,A,H-9,3835,H-9,,,,H-9,3835.4,H-9,3835.4,,,,,H9,3835.38,,3835.2027,,,,,,,
Si II 3854,C,,,,,,,Si II,3853.66,,,,,,,,,,3853.0757,,,,,,,
He I 3872,B,,,,,,,He I,3871.8,He I,3871.8,,,,,,,,3871.6277,,,,,,,
H-8,A,H-8,3888.6,H-8,,,,H-8,3889,H-8/He I,3889,,,,,H8,3889.05,,3889.0079,,,,,,,
,,,,,,,,,,,,,,,,,,MSK,3921.43,,,,,,,
He I 3927,A,,,,,,,He I,3926.5,He I,3926.5,,,,,He I,3926.53,,3926.6062,,,,,,,
Ca II 3934,C,Ca II,3934,,,,,Ca II,3933.7,,,,,,,,,M,3934.33,,,,,,,
O II 3945,C,,,,,,,,,O II,3945,,,,,,,,3946.3754,,,,,,,
O II 3954,C,,,,,,,,,O II,3954,,,,,,,MK,3955.36,,,,,,,
H$\epsilon$,A,H-epsilon,3970.07,H-epsilon,,Hepsilon,3970.07,Hepsilon,3970.1,Hepsilon/He I,3970,,,,,Hepsilon,3970.07,,3970.031,,,,,,,
O II 3983,B,,,,,O II,3982.68,O II,3982.72,,,,,,,,,MSK,3984.03,,,,,,,
N II 3995,A,,,N II,3995,N II,3995,N II,3995,N II,3995,,,,,,,,3995.1123,,,,,,,
He I 4009,A,,,He I,4009,He I,4009.27,He I,4009.3,He I,4009.3,,,,,He I,4009.27,,4009.6912,,,,,,,
He I 4026,A,,,He I,4026,He I,4026.2,He I,4026.2,He I,4026.3,,,,,He I,4025.5,,4026.2548,,,,,,,
O II 4070,B,,,,,O II,4070,O II,4071,O II/C III,4069-71,,,,,C III/O II,4068-76,SW,4070.7617,,,,,,,
O II 4072-76,B,,,,,O II,4072-76,O II/Si II,4076,O II/O III/N II/C II,4072-76,,,,,C III/O II,4068-76,SW,4074.8201,,,,,,,
Si IV 4089,C,,,Si IV,4089,O II/Si IV,4089-93,,,,,,,,,,,MSK,4089.17,,,,,,,
H$\delta$,A,H-delta,4101.74,,,Hdelta,4101.74,Hdelta,4101.7,Hdelta,4101.7,,,,,Hdelta,4101.74,,4102.0009,,,,,,,
He I 4121,A,,,He I,4121,He I,4120.86,He I,4120.8,O II/He I,4119-21,,,,,He I,4120.81,,4120.6744,,,,,,,
Si II 4128-31,B,,,,,Si II,4128-31,Si II,4128-31,,,,,,,,,,4131.6025,,,,,,,
He I 4144,A,,,He I,4144,He I,4143.76,He I,4143.8,He I,4143.8,,,,,He I,4143.76,,4144.024,,,,,,,
,,,,,,,,Ti II,4162-64,C III,4162.8,,,,,,,MK,4163.21,,,,,,,
