H-15,B,H-15,3711.6,,,,,H15,3711.97,,,,,,,,,,3712.0245,,,,,,,Walborn - Atlas of yellow red OB spectra
H-14,B,H-14,3721.6,,,,,H14,3721.44,,,,,,,,,,3721.889,,,,,,,Hack 1 - Lo spettro di Zeta Tauri I
H-13,A,H-13,3734,,,,,H13,3734.37,H13,3734.4,,,,,,,,3734.0549,,,,,,,Righini Mannino - Studio di phi persei
H-12,A,H-12,3749.8,,,,,H12,3750.15,H12,3750.2,,,,,,,,3749.9188,,,,,,,Underhill - The spectrum of gamma pegasi
H-11,A,H-11,3770.2,,,,,H11,3770.63,H11,3770.6,,,,,,,,3770.3866,,,,,,,Marshall - The visual region of the spectra of early-type stars
,,,,,,,,,,,,,,,,,,MS,3781.41,,,,,,,
H-10,A,H-10,3797.5,,,,,H10,3797.9,H10,3797.9,,,,,,,,3797.6737,,,,,,,
He I 3820,B,,,,,,,He I,3819.7,He I,3819.6,,,,,,,,3819.8308,,,,,,,
H-9,A,H-9,3835,H-9,,,,H9,3835,H9,3835.4,,,,,H9,3835.38,,3835.1388,,,,,,,
Si II 3853-57,C,,,,,,,Si II,3853-57,,,,,,,,,,3854.9404,,,,,,,
He I 3868-72,B,,,,,,,He I,3868-72,He I,3868-72,,,,,,,,3870.0342,,,,,,,
H-8,A,H-8,3888.6,H-8,,,,H8,3889.05,H8/He I,3889,,,,,H8,3889.05,,3889.0569,,,,,,,
,,,,,,,,,,,,,,,,,,MSK,3922.38,,,,,,,
He I 3927,A,,,,,,,He I,3926.53,He I,3926.5,,,,,He I,3926.53,,3926.4212,,,,,,,
Ca II 3934,C,Ca II,3934,,,,,Ca II,3933.66,He I,3936,,,,,,,M,3933.85,,,,,,,
,,,,,,,,O I,3947,O II,3945,,,,,,,MS,3947.24,,,,,,,
H$\epsilon$,A,H-epsilon,3970.07,H-epsilon,,Hepsilon,3970.07,Heplon,3970.07,Hepsilon,3970.1,,,,,Hepsilon,3970.07,,3969.994,,,,,,,
He I 4009,A,,,He I,4009,He I,4009.27,He I,4009.27,He I,4009.3,,,,,He I,4009.27,,4009.3901,,,,,,,
He I 4026,B,,,He I,4026,He I,4026.2,He I,4026,He I,4026.3,,,,,He I,4025.5,,4026.4073,,,,,,,
O II 4072-76,B,,,,,O II,4072-76,O II/Si II,4076,O II/O III/N II/C II,4071-76,,,,,C III/O II,4068.76,MWK,4074.83,,,,,,,
H$\delta$,A,H-delta,4101.74,,,Hdelta,4101.74,Hdelta,4101.74,Hdelta,4101.7,,,,,Hdelta,4101.74,,4102.0172,,,,,,,
He I 4121,A,,,He I,4121,He I,4120.86,He I,4121,He I,4120.9,,,,,He I,4120.81,,4120.389,,,,,,,
SI II 4128-31,C,,,,,Si II,4128-31,Si II,4128-31,Fe II,4128.7,,,,,,,,4129.9355,,,,,,,
He I 4144,A,,,He I,4144,He I,4143.86,He I,4143.76,He I,4143.8,,,,,He I,4143.76,,4144.2962,,,,,,,
He I 4169,A,,,,,He I,4168.97,He I,4168.97,He I,4169,,,,,He I,4168.97,wide,4169.0319,,,,,,,
C II 4267,A,,,C II,4267,C II,4267,,,,,,,,,C II,4267.27,,4267.6385,,,,,,,
,,,,,,,,,,,,,,,,,,MS,4305.66,,,,,,,
O II 4317-20,B,,,,,O II,4317-20,,,,,,,,,O II,4317-20,MWK,4320.95,,,,,,,
H$\gamma$,A,H-gamma,4340.47,H-gamma,,Hgamma,4340.47,Hgamma,4340.47,Hgamma,4340.5,,,,,Hgamma,4340.47,,4340.8383,,,,,,,
He I 4388,A,,,He I,4387,He I,4387.93,He I,4387.93,,,,,,,He I,4387.9,,4388.4535,,,,,,,
He I 4438,A,,,,,He I,4437.55,He I,4437.55,He I,4437.5,,,,,He I,4437.55,MS,4438.03,,,,,,,
He I 4471,A,,,He I,4471,He I,4471.51,He I,4471,He I,4471.6,,,,,He I,4471.48,,4471.7366,,,,,,,
Mg II 4481,A,,,Mg II,4481,Mg II,4481,Mg II,4481,,,,,,,Mg II,4481.13,,4481.4755,,,,,,,
,,,,,,,,,,,,,,,,,,MW,4525.01,,,,,,,
SI III 4553,A,,,Si III,4552,Si III,4552.65,,,,,,,,,Si III,4552.65,,4551.4136,,,,,,,
He I 4713,A,,,,,He I,4713.2,He I,4713,,,,,,,He I,4713.15,,4713.9502,,,,,,,
,,,,,,,,,,,,,,,,,,MS,4763.96,,,,,,,
,,,,,,,,,,,,,,,,,,MS,4777.34,,,,,,,
,,,,,,,,,,,,,,,,,,MS,4815.57,,,,,,,
H$\beta$,A,H-beta,4861.33,,,Hbeta,4861.33,Hbeta,4861.33,Hbeta,4861.3,,,Hbeta,4861.33,Hbeta,4861.33,,4861.3855,,,,,,,
,,,,,,,,,,,,,,,,,,MK,4886.3,,,,,,,
,,,,,,,,,,,,,,,,,,MS,4901.59,,,,,,,
He I 4922,A,,,,,He I,4921.93,He I,4921.93,He I,4921.9,,,He I,4921.93,He I,4921.93,,4922.2842,,,,,,,
,,,,,,,,,,,,,,,,,,MS,4957.03,,,,,,,
,,,,,,,,,,,,,,,,,,MS,4968.5,,,,,,,
He I 5016,A,,,,,He I,5015.68,He I,5015.68,,,,,He I,5015.68,He I,5015.67,,5015.816,,,,,,,
S II 5032,C,,,,,S II,5032.41,,,,,,,,,,,M,5032.06,,,,,,,
He I 5048,A,,,,,He I,5047.74,He I,5047.73,,,,,He I,5047.74,He I,5047.74,M,5048.78,,,,,,,
,,,,,,,,,,,,,,,,,,,5056.4594,,,,,,,
Fe II 5169,C,,,,,,,Fe II,5169.03,,,,,,,,,MS,5168.26,,,,,,,
,,,,,,,,,,,,,,,,,,,5433.1167,,,,,,,
,,,,,,,,,,,,,,,,,,,5453.4063,,,,,,,
C II/S II/Si II 5640,C,,,,,,,,,,,,,C II/S II/Si II,5640,,,TP,5640.3027,,,,,,,
C II 648,C,,,,,,,,,,,,,C II,5648,,,TP,5647.5864,,,,,,,
,,,,,,,,,,,,,,,,,,TP,5691.02,,,,,,,
,,,,,,,,,,,,,,,,,,TP,5699.2427,,,,,,,
He I 5876,A,,,,,,,He I,5876,,,He I,5876,He I,5876,He I,5876,,5876.4334,,,,,,,
Na I 5890 (interstellar),A,Na I,5890,,,,,,,,,interstellar Na I,5890,Na I,5890,Na I,5890,PK,5890.8418,,,,,,,
