wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3701.91,0.0266,4.95,Gaussian,single,,other
3712.01,0.0796,4.38,Gaussian,deblended,,other
3722.3,0.1301,5.32,Gaussian,deblended,,other
3725.43,0.0137,2.25,Gaussian,deblended,,other
3734.73,0.2282,5.97,Gaussian,deblended,,other
3737.55,0.0095,2.49,Gaussian,deblended,,other
3747.44,0.0093,3.32,Gaussian,deblended,,other
3750.47,0.3213,7.44,Gaussian,deblended,,other
3755.29,0.0156,3.2,Gaussian,deblended,,other
3765.9,0.0094,3.44,Gaussian,deblended,,other
3770.87,0.4014,8.85,Gaussian,deblended,,other
3777.04,0.0136,3.72,Gaussian,deblended,,other
3790.25,0.0103,5.01,Gaussian,deblended,,other
3798.02,0.4467,9.77,Gaussian,deblended,,other
3806.51,0.031,5.05,Gaussian,deblended,,other
3819.16,0.0203,3.65,Gaussian,deblended,,other
3821.39,0.0586,8.33,Gaussian,deblended,,other
3827.74,0.0123,4.09,Gaussian,deblended,,other
3835.46,0.4582,10.16,Gaussian,deblended,,other
3845.86,0.0306,9.15,Gaussian,deblended,,other
3854.47,0.008,4.32,Gaussian,deblended,,other
3870.31,0.0093,4.36,Gaussian,deblended,,other
3879.37,0.0428,10.79,Gaussian,deblended,,other
3880.89,0.0133,5.04,Gaussian,deblended,,other
3889.16,0.4611,9.87,Gaussian,deblended,,other
3897.4,0.0076,4.03,Gaussian,deblended,,other
3898.39,0.0424,10.45,Gaussian,deblended,,other
3918.5,0.0035,2.89,Gaussian,deblended,,other
3927.21,0.0307,12.68,Gaussian,deblended,,other
3934.99,0.0171,5.04,Gaussian,deblended,,other
3936.42,0.0016,5.86,Gaussian,deblended,,other
3958.09,0.0066,8.53,Gaussian,deblended,,other
3960.25,0.0258,8.15,Gaussian,deblended,,other
3970.1,0.4667,10.89,Voigt,deblended,Hε,Balmer
3980.78,0.0167,6.04,Gaussian,deblended,,other
4005.71,0.0023,3.02,Gaussian,deblended,,other
4009.4,0.0345,6.19,Gaussian,deblended,,other
4022.89,0.0036,2.98,Gaussian,deblended,,other
4026.17,0.0938,6.08,Gaussian,deblended,,other
4029.38,0.0045,2.51,Gaussian,deblended,,other
4091.68,0.0293,11.09,Gaussian,deblended,,other
4093.26,0.0078,4.62,Gaussian,deblended,,other
4101.89,0.4555,11.09,Voigt,deblended,Hδ,Balmer
4110.64,0.0131,4.6,Gaussian,deblended,,other
4120.9,0.0057,3.21,Gaussian,deblended,,other
4130.08,0.0138,5.65,Gaussian,deblended,,other
4144.12,0.0403,5.47,Gaussian,deblended,,other
4148.85,0.005,5.34,Gaussian,deblended,,other
4163.8,0.0039,4.39,Gaussian,deblended,,other
4172.46,0.0095,10.9,Gaussian,deblended,,other
4175.87,0.0015,4.23,Gaussian,deblended,,other
4268.23,0.0056,4.11,Gaussian,deblended,,other
4330.84,0.0209,7.05,Gaussian,deblended,,other
4340.59,0.4437,11.56,Voigt,deblended,Hγ,Balmer
4349.77,0.005,4.57,Gaussian,deblended,,other
4351.99,0.0205,9.83,Gaussian,deblended,,other
4384.96,0.0023,2.91,Gaussian,deblended,,other
4388.43,0.0588,7.19,Gaussian,deblended,,other
4394.55,0.0066,5.88,Gaussian,deblended,,other
4427.02,0.0017,3.41,Gaussian,deblended,,other
4432.52,0.0035,9.91,Gaussian,deblended,,other
4436.46,0.0036,3.91,Gaussian,deblended,,other
4471.63,0.0779,7.3,Gaussian,deblended,,other
4481.57,0.0502,7.33,Gaussian,deblended,,other
4489.87,0.0115,5.3,Gaussian,deblended,,other
4519.81,0.0015,3.02,Gaussian,deblended,,other
4524.03,0.0067,6.17,Gaussian,deblended,,other
4549.25,0.0024,3.37,Gaussian,deblended,,other
4551.65,0.013,7.72,Gaussian,deblended,,other
4559.22,0.0046,5.38,Gaussian,deblended,,other
4574.27,0.0019,3.45,Gaussian,deblended,,other
4580.1,0.0088,10.63,Gaussian,deblended,,other
4585.52,0.0021,3.63,Gaussian,deblended,,other
4631.86,0.0087,6.12,Gaussian,deblended,,other
4637.1,0.0016,4.25,Gaussian,deblended,,other
4663.78,0.0032,3.53,Gaussian,deblended,,other
4670.54,0.0063,12.33,Gaussian,deblended,,other
4711.2,0.001,2.43,Gaussian,deblended,,other
4713.74,0.0164,5.31,Gaussian,deblended,,other
4739.63,0.0043,3.85,Gaussian,single,,other
4792.37,0.0035,3.01,Gaussian,single,,other
4849.97,0.0208,8.88,Gaussian,deblended,,other
4861.16,0.3835,12.5,Voigt,deblended,Hβ,Balmer
4868.31,0.013,20.0,Gaussian,deblended,,other
4918.36,0.0018,2.62,Gaussian,deblended,,other
4922.28,0.0432,6.59,Gaussian,deblended,,other
4925.83,0.0024,2.68,Gaussian,deblended,,other
5006.32,0.0016,13.94,Gaussian,deblended,,other
5016.33,0.0214,6.4,Gaussian,deblended,,other
5019.19,0.0018,2.59,Gaussian,deblended,,other
5028.63,0.0033,2.82,Gaussian,deblended,,other
5039.64,0.0208,12.48,Gaussian,deblended,,other
5043.04,0.0035,2.52,Gaussian,deblended,,other
5052.16,0.0021,7.32,Gaussian,deblended,,other
5056.87,0.0187,4.95,Gaussian,deblended,,other
5095.68,0.0017,3.71,Gaussian,deblended,,other
5100.83,0.0053,6.0,Gaussian,deblended,,other
5148.45,0.0038,17.51,Gaussian,deblended,,other
5157.4,0.0024,5.54,Gaussian,deblended,,other
5168.08,0.0093,6.57,Gaussian,deblended,,other
5185.17,0.0012,7.81,Gaussian,deblended,,other
5189.31,0.003,3.74,Gaussian,deblended,,other
5191.79,0.0025,17.69,Gaussian,deblended,,other
5198.73,0.0049,4.73,Gaussian,deblended,,other
