wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag,label_status,n_candidate_lines,labels,short_label
3704.12,0.0295,5.65,Gaussian,deblended,,other,uncertain_discarded,86,,
3711.92,0.0458,3.35,Gaussian,single,,other,uncertain_discarded,51,,
3722.28,0.1507,4.82,Gaussian,deblended,,other,confirmed,74,H I 3721.9,H I 3722
3734.66,0.2321,6.82,Gaussian,deblended,,other,confirmed,100,H I 3734.4,H I 3734
3749.94,0.3215,7.25,Gaussian,deblended,,other,confirmed,117,"H I 3750.1, H I 3750.2",H I 3750
3771.11,0.4336,9.48,Gaussian,deblended,,other,confirmed,116,"H I 3770.6, H I 3770.7",H I 3771
3798.11,0.5436,13.13,Gaussian,deblended,,other,confirmed,274,H I 3797.9,H I 3798
3835.52,0.5992,16.05,Gaussian,deblended,,other,confirmed,200,H I 3835.4,H I 3835
3888.6,0.6234,17.87,Gaussian,deblended,,other,confirmed,225,"H I 3889.0, H I 3889.1",H I 3889
3904.84,0.0918,19.45,Gaussian,deblended,,other,confirmed,218,Si I 3905.5,Si I 3906
3933.49,0.2347,5.25,Gaussian,deblended,,other,confirmed,62,Ca II 3933.7,Ca II 3934
3969.77,0.654,18.0,Voigt,deblended,Hε,Balmer,confirmed,174,"H I 3970.0, H I 3970.1",H I 3970
3985.38,0.0362,6.81,Gaussian,deblended,,other,confirmed,72,Mg I 3986.8,Mg I 3987
4023.68,0.0027,6.19,Gaussian,deblended,,other,uncertain_discarded,48,,
4028.38,0.0163,14.41,Gaussian,deblended,,other,confirmed,87,Ti II 4028.3,Ti II 4028
4047.33,0.0113,8.27,Gaussian,deblended,,other,confirmed,79,Fe I 4045.8,Fe I 4046
4076.07,0.0119,17.18,Gaussian,deblended,,other,uncertain_discarded,149,,
4101.65,0.6552,19.08,Voigt,deblended,Hδ,Balmer,confirmed,124,"H I 4101.7, H I 4101.8",H I 4102
4130.33,0.0262,4.56,Gaussian,deblended,,other,confirmed,48,Si II 4130.9,Si II 4131
4148.01,0.0096,17.61,Gaussian,deblended,,other,confirmed,75,,
4161.09,0.0143,7.01,Gaussian,deblended,,other,confirmed,53,"Ti II 4163.6, Ti II 4161.5",Ti II 4162-64
4177.33,0.0514,14.82,Gaussian,deblended,,other,confirmed,99,Fe II 4178.9,Fe II 4179
4200.77,0.0281,9.82,Gaussian,deblended,,other,confirmed,76,"Fe I 4202.0, Fe I 4199.1",Fe I 4199-4202
4215.7,0.0162,5.86,Gaussian,deblended,,other,confirmed,34,Sr II 4215.5,Sr II 4216
4226.13,0.0264,5.65,Gaussian,deblended,,other,confirmed,28,"Ca I 4226.7, Fe I 4227.4",Ca I/Fe I 4227
4234.14,0.0206,5.65,Gaussian,deblended,,other,confirmed,37,"Fe II 4233.2, Fe I 4233.6, Fe I 4235.9",Fe I/Fe II 4233-36
4249.73,0.0196,8.76,Gaussian,deblended,,other,confirmed,43,"Fe I 4250.8, Fe I 4250.1",Fe I 4250-51
4259.81,0.0217,6.48,Gaussian,deblended,,other,confirmed,44,Fe I 4260.5,Fe I 4260
4272.22,0.0211,8.31,Gaussian,deblended,,other,confirmed,22,"Fe I 4271.8, Fe I 4271.1",Fe I 4271-72
4274.27,0.0147,5.65,Gaussian,deblended,,other,confirmed,26,"Cr I 4274.8, Fe II 4273.3, Cr II 4275.6",Cr I/Fe II/Cr II 4273-76
4299.48,0.0166,6.02,Gaussian,deblended,,other,uncertain_discarded,62,,
4323.47,0.0266,17.59,Gaussian,deblended,,other,confirmed,105,"Fe I 4325.8, Sc II 4325.0",Fe I/Sc II 4325-26
4340.57,0.6335,18.12,Voigt,deblended,Hγ,Balmer,confirmed,61,"H I 4340.4, H I 4340.5",H I 4340
4354.03,0.0478,10.61,Gaussian,deblended,,other,confirmed,56,"Fe II 4351.8, Mg I 4351.9",Fe II/Mg I 4352
4386.42,0.0242,7.86,Gaussian,deblended,,other,confirmed,47,Fe II 4385.4,Fe II 4385
4396.93,0.021,8.94,Gaussian,deblended,,other,uncertain_discarded,56,,
4416.87,0.0357,4.9,Gaussian,deblended,,other,confirmed,31,"Ti II 4417.7, Fe II 4416.8",Ti II/Fe II 4417-18
4442.52,0.003,20.0,Gaussian,deblended,,other,uncertain_discarded,111,,
4446.2,0.0279,12.08,Gaussian,deblended,,other,confirmed,68,"Ti II 4444.6, Fe I 4447.7, Ti II 4450.5",Ti II/Fe I 4445-50
4469.58,0.0235,6.79,Gaussian,deblended,,other,uncertain_discarded,61,,
4481.36,0.0752,4.71,Gaussian,deblended,,other,confirmed,26,"Mg II 4481.1, Mg II 4481.3",Mg II 4481
4490.81,0.0226,5.83,Gaussian,deblended,,other,confirmed,41,"Fe II 4491.4, Fe II 4489.2",Fe II 4489-91
4501.22,0.0176,5.65,Gaussian,deblended,,other,confirmed,35,Ti II 4501.3,Ti II 4501
4508.62,0.0131,5.65,Gaussian,deblended,,other,confirmed,20,Fe II 4508.3,Fe II 4508
4521.7,0.0296,8.39,Gaussian,deblended,,other,confirmed,43,"Fe II 4522.6, Fe II 4520.2",Fe II 4520-23
4532.96,0.0319,9.07,Gaussian,deblended,,other,confirmed,57,Ti II 4534.0,Ti II 4534
4552.4,0.0584,12.25,Gaussian,deblended,,other,confirmed,64,Ba II 4554.0,Ba II 4554
4565.28,0.0081,17.61,Gaussian,deblended,,other,uncertain_discarded,55,,
4585.69,0.0324,17.9,Gaussian,deblended,,other,confirmed,99,"Fe II 4583.8, Cr II 4588.2",Fe II/Cr II 4584-88
4618.74,0.0257,6.42,Gaussian,deblended,,other,confirmed,28,"Cr II 4618.8, Fe II 4620.5",Cr II/Fe II 4619-21
4631.66,0.0319,9.58,Gaussian,deblended,,other,confirmed,22,Fe II 4629.3,Fe II 4629
4636.26,0.005,3.71,Gaussian,deblended,,other,uncertain_discarded,12,,
4641.55,0.0046,15.48,Gaussian,deblended,,other,confirmed,26,"Fe I 4641.2, Fe I 4643.5, Fe II 4640.8",Fe I/Fe II 4641-43
4656.27,0.0047,2.02,Gaussian,deblended,,other,confirmed,15,"Fe II 4657.0, Ti II 4657.2",Fe II/Ti II 4657
4663.91,0.0013,3.69,Gaussian,deblended,,other,uncertain_discarded,21,,
4667.77,0.0236,8.91,Gaussian,deblended,,other,confirmed,25,Fe II 4666.8,Fe II 4667
4675.01,0.0009,5.51,Gaussian,deblended,,other,uncertain_discarded,9,,
4680.12,0.0071,5.05,Gaussian,deblended,,other,confirmed,18,Fe I 4678.9,Fe I 4679
4686.54,0.0024,2.95,Gaussian,deblended,,other,confirmed,9,"Ni I 4686.2, Ca I 4685.3",Ni I/Ca I 4685-86
4696.5,0.0021,2.37,Gaussian,deblended,,other,confirmed,10,S I 4695.4,S I 4695
4702.63,0.0121,6.2,Gaussian,deblended,,other,confirmed,10,Mg I 4703.0,Mg I 4703
4710.66,0.0033,5.59,Gaussian,deblended,,other,confirmed,13,Ti II 4708.7,Ti II 4709
4715.04,0.0012,2.61,Gaussian,deblended,,other,uncertain_discarded,14,,
4732.11,0.0081,3.86,Gaussian,deblended,,other,confirmed,16,Fe II 4731.4,Fe II 4731
4738.51,0.0072,7.19,Gaussian,deblended,,other,confirmed,11,Fe I 4736.8,Fe I 4737
4739.95,0.0009,3.15,Gaussian,deblended,,other,uncertain_discarded,10,,
4746.79,0.002,1.53,Gaussian,deblended,,other,confirmed,3,"Fe I 4745.8, Si I 4748.0",Fe I/Si I 4746-48
4751.34,0.0007,1.43,Gaussian,deblended,,other,confirmed,4,"Ni I 4752.4, Cr I 4752.1",Ni I/Cr I 4752
4755.79,0.0029,3.95,Gaussian,deblended,,other,confirmed,11,"Mn II 4755.7, Mn I 4754.0, Ni I 4756.5",Mn II/Mn I/Ni I 4754-57
4764.37,0.0107,4.92,Gaussian,deblended,,other,confirmed,21,,
4770.59,0.0022,4.17,Gaussian,deblended,,other,uncertain_discarded,19,,
4780.54,0.007,4.39,Gaussian,deblended,,other,confirmed,6,Ti II 4780.0,Ti II 4780
4784.4,0.0013,7.31,Gaussian,deblended,,other,uncertain_discarded,13,,
4804.68,0.0051,3.44,Gaussian,deblended,,other,confirmed,11,Ti II 4805.1,Ti II 4805
4808.18,0.005,14.22,Gaussian,deblended,,other,confirmed,30,"Zn I 4810.5, Cr II 4812.3",Zn I/Cr II 4811-12
4846.97,0.0344,11.75,Gaussian,deblended,,other,confirmed,36,Cr II 4848.2,Cr II 4848
4861.1,0.574,18.38,Voigt,deblended,Hβ,Balmer,confirmed,36,"H I 4861.3, H I 4861.4",H I 4861
4876.0,0.0423,16.32,Gaussian,deblended,,other,confirmed,44,Cr II 4876.4,Cr II 4876
4910.94,0.0072,3.75,Gaussian,deblended,,other,confirmed,17,Ti II 4911.2,Ti II 4911
4918.77,0.0041,2.72,Gaussian,deblended,,other,uncertain_discarded,9,,
4922.81,0.0328,6.48,Gaussian,deblended,,other,confirmed,19,Fe II 4923.9,Fe II 4924
4935.18,0.0166,7.11,Gaussian,deblended,,other,confirmed,25,Ba II 4934.1,Ba II 4934
