Fe I 4405,A,4405
Fe I 4415,A,4415
Fe I/Ca I 4435,A,4435
CN 4553,A,4553
CN 4578,A,4578
CN 4606,A,4606
$C_2$ 4737,A,4737
$SiC_2$ 4750,A,4750
$SiC_2$ 4767,A,4767
$SiC_2$ 4807,A,4807
$SiC_2$ 4832,A,4832
$SiC_2$ 4851,A,4851
$SiC_2$ 4867,A,4867
$SiC_2$ 4909,A,4909
Ba II 4934,A,4934
$SiC_2$ 4957,A,4957
$SiC_2$ 4977-81,A,4979
$C_2$ 5006,A,5006
$C_2$ 5020,A,5020
$C_2$ 5041,A,5041
$C_2$ 5095-110,A,5100
$C_2$ 5130,A,5130
$C_2$ 5165,A,5165
$SiC_2$ 5192-98,A,5195
Cr I 5206,A,5206
CN 5255,A,5255
$C_2$ 5502,A,5502
$C_2$ 5541,A,5541
$C_2$ 5585,A,5585
$C_2$ 5636,A,5636
CN 5749,A,5749
Na Doublet,A,5893
$C_2$ 6005,A,6005
$C_2$ 6059,A,6059
$C_2$ 6122,A,6122
$C_2$ 6168,A,6168
$C_2$ 6191,A,6191
CN 6206,A,6206
CN 6259,A,6259
CN 6355,A,6355
CN 6502,A,6502
Ca I 6572,A,6572
CN 6656,A,6656
Li I 6708,A,6708
CN 6955,A,6955
CN 7283,A,7283
