wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3711.88,0.0594,3.47,Gaussian,single,,other
3722.19,0.1274,5.09,Gaussian,deblended,,other
3734.17,0.2392,6.01,Gaussian,single,,other
3746.89,0.015,2.66,Gaussian,deblended,,other
3749.94,0.3137,6.64,Gaussian,deblended,,other
3755.3,0.0222,4.15,Gaussian,deblended,,other
3765.88,0.0108,3.45,Gaussian,deblended,,other
3770.7,0.4319,9.28,Gaussian,deblended,,other
3777.26,0.0134,3.85,Gaussian,deblended,,other
3789.21,0.0249,4.24,Gaussian,deblended,,other
3797.76,0.5577,11.44,Gaussian,deblended,,other
3805.27,0.0392,3.55,Gaussian,deblended,,other
3807.58,0.0323,5.65,Gaussian,deblended,,other
3814.19,0.0211,3.69,Gaussian,deblended,,other
3824.89,0.042,5.82,Gaussian,deblended,,other
3835.29,0.6209,14.36,Gaussian,deblended,,other
3847.55,0.0554,7.74,Gaussian,deblended,,other
3853.17,0.0157,13.27,Gaussian,deblended,,other
3875.82,0.0421,7.41,Gaussian,deblended,,other
3888.82,0.6397,16.63,Gaussian,deblended,,other
3902.32,0.0381,6.69,Gaussian,deblended,,other
3906.09,0.074,17.88,Gaussian,deblended,,other
3928.05,0.0152,2.75,Gaussian,deblended,,other
3933.61,0.2454,5.57,Gaussian,deblended,,other
3953.78,0.019,12.03,Gaussian,deblended,,other
3955.97,0.0453,10.92,Gaussian,deblended,,other
3959.19,0.0279,5.63,Gaussian,deblended,,other
3969.88,0.6705,15.39,Voigt,deblended,Hε,Balmer
3981.5,0.0151,7.54,Gaussian,deblended,,other
3982.74,0.0551,7.73,Gaussian,deblended,,other
4005.36,0.0144,3.76,Gaussian,deblended,,other
4014.01,0.0143,4.9,Gaussian,deblended,,other
4024.53,0.0119,3.17,Gaussian,deblended,,other
4029.16,0.0248,9.02,Gaussian,deblended,,other
4033.96,0.004,3.17,Gaussian,deblended,,other
4046.29,0.0276,4.37,Gaussian,deblended,,other
4053.95,0.0132,4.72,Gaussian,deblended,,other
4101.73,0.66,18.89,Voigt,deblended,Hδ,Balmer
4130.22,0.023,5.35,Gaussian,deblended,,other
4144.63,0.0148,4.06,Gaussian,deblended,,other
4156.4,0.0052,16.28,Gaussian,deblended,,other
4162.57,0.0089,3.81,Gaussian,deblended,,other
4176.87,0.045,11.27,Gaussian,deblended,,other
4188.13,0.0151,5.19,Gaussian,deblended,,other
4200.27,0.0267,6.28,Gaussian,deblended,,other
4205.38,0.0037,4.31,Gaussian,deblended,,other
4216.25,0.0119,2.75,Gaussian,deblended,,other
4226.33,0.0241,3.69,Gaussian,deblended,,other
4234.28,0.0178,3.53,Gaussian,deblended,,other
4247.72,0.0022,1.96,Gaussian,deblended,,other
4250.7,0.0102,4.33,Gaussian,deblended,,other
4260.85,0.0186,3.88,Gaussian,deblended,,other
4272.76,0.0464,5.35,Gaussian,deblended,,other
4276.38,0.0026,3.09,Gaussian,deblended,,other
4289.67,0.0097,2.72,Gaussian,deblended,,other
4315.56,0.0105,4.89,Gaussian,deblended,,other
4327.86,0.0454,7.86,Gaussian,deblended,,other
4340.72,0.6339,17.17,Voigt,deblended,Hγ,Balmer
4353.94,0.0503,10.43,Gaussian,deblended,,other
4385.31,0.045,6.67,Gaussian,deblended,,other
4395.25,0.03,5.65,Gaussian,deblended,,other
4401.37,0.0112,4.82,Gaussian,deblended,,other
4405.1,0.0069,7.06,Gaussian,deblended,,other
4417.14,0.0396,5.17,Gaussian,deblended,,other
4432.14,0.0099,10.85,Gaussian,deblended,,other
4443.68,0.0353,4.63,Gaussian,deblended,,other
4450.91,0.0184,10.7,Gaussian,deblended,,other
4462.14,0.0042,1.95,Gaussian,deblended,,other
4469.31,0.0255,6.54,Gaussian,deblended,,other
4481.48,0.0765,4.64,Gaussian,deblended,,other
4490.78,0.0177,5.65,Gaussian,deblended,,other
4501.58,0.0164,6.11,Gaussian,deblended,,other
4508.95,0.0152,5.65,Gaussian,deblended,,other
4521.19,0.0264,9.32,Gaussian,deblended,,other
4533.19,0.0241,7.86,Gaussian,deblended,,other
4549.36,0.0246,3.62,Gaussian,deblended,,other
4554.45,0.0464,11.01,Gaussian,deblended,,other
4564.8,0.0115,3.05,Gaussian,deblended,,other
4572.99,0.0128,4.23,Gaussian,deblended,,other
4585.57,0.039,16.13,Gaussian,deblended,,other
4618.83,0.0224,5.65,Gaussian,deblended,,other
4632.63,0.0278,9.27,Gaussian,deblended,,other
4636.29,0.0058,3.75,Gaussian,deblended,,other
4648.11,0.0056,5.38,Gaussian,deblended,,other
4667.37,0.0211,6.81,Gaussian,deblended,,other
4680.4,0.0078,9.95,Gaussian,deblended,,other
4692.55,0.0028,4.56,Gaussian,deblended,,other
4699.79,0.0081,11.29,Gaussian,deblended,,other
4703.17,0.0054,3.77,Gaussian,deblended,,other
4708.93,0.0031,2.16,Gaussian,deblended,,other
4714.51,0.0062,4.9,Gaussian,deblended,,other
4731.97,0.0094,5.8,Gaussian,deblended,,other
4739.21,0.0033,3.5,Gaussian,deblended,,other
4764.18,0.0085,3.88,Gaussian,deblended,,other
4768.09,0.0015,7.14,Gaussian,deblended,,other
4780.44,0.0053,3.25,Gaussian,single,,other
4799.76,0.0036,2.95,Gaussian,deblended,,other
4805.0,0.0095,4.38,Gaussian,deblended,,other
4811.4,0.0036,2.51,Gaussian,deblended,,other
4843.88,0.0446,11.48,Gaussian,deblended,,other
4861.18,0.5686,19.06,Voigt,deblended,Hβ,Balmer
4879.09,0.0449,18.25,Gaussian,deblended,,other
4911.12,0.0069,2.63,Gaussian,deblended,,other
4919.07,0.007,2.34,Gaussian,deblended,,other
4922.92,0.0327,5.38,Gaussian,deblended,,other
4934.75,0.0119,3.99,Gaussian,deblended,,other
4938.13,0.0021,3.11,Gaussian,deblended,,other
4957.31,0.0176,4.49,Gaussian,deblended,,other
4983.79,0.0167,8.56,Gaussian,deblended,,other
4992.34,0.0098,4.21,Gaussian,deblended,,other
5002.9,0.0182,5.68,Gaussian,deblended,,other
5007.14,0.0038,2.65,Gaussian,deblended,,other
5018.83,0.0381,5.36,Gaussian,deblended,,other
5038.6,0.0326,9.47,Gaussian,deblended,,other
5042.42,0.0066,3.5,Gaussian,deblended,,other
5056.91,0.0203,4.68,Gaussian,deblended,,other
5059.53,0.0016,2.06,Gaussian,deblended,,other
5070.37,0.0059,7.13,Gaussian,deblended,,other
5080.1,0.0044,7.6,Gaussian,deblended,,other
5094.77,0.0022,3.23,Gaussian,deblended,,other
5100.05,0.0144,6.85,Gaussian,deblended,,other
5103.02,0.0015,2.58,Gaussian,deblended,,other
5128.33,0.0046,4.17,Gaussian,single,,other
5169.34,0.0567,6.8,Gaussian,deblended,,other
5174.01,0.0045,2.83,Gaussian,deblended,,other
5185.99,0.0252,10.31,Gaussian,deblended,,other
5196.79,0.0136,5.23,Gaussian,deblended,,other
5216.64,0.0044,2.52,Gaussian,single,,other
5227.21,0.0336,5.0,Gaussian,deblended,,other
5234.64,0.0273,6.69,Gaussian,deblended,,other
5251.69,0.0042,8.42,Gaussian,deblended,,other
5255.65,0.002,3.4,Gaussian,deblended,,other
5264.43,0.0051,4.33,Gaussian,deblended,,other
5268.81,0.0292,18.55,Gaussian,deblended,,other
5276.29,0.0104,5.7,Gaussian,deblended,,other
5283.82,0.0099,5.35,Gaussian,deblended,,other
5307.19,0.0059,6.07,Gaussian,deblended,,other
5316.29,0.0279,5.6,Gaussian,deblended,,other
5326.92,0.0104,5.29,Gaussian,single,,other
5338.47,0.0133,4.54,Gaussian,single,,other
5362.43,0.0027,3.52,Gaussian,deblended,,other
5365.52,0.0174,9.2,Gaussian,deblended,,other
5371.13,0.0044,3.52,Gaussian,deblended,,other
5383.2,0.0059,4.19,Gaussian,single,,other
5396.58,0.0015,2.9,Gaussian,deblended,,other
5403.58,0.009,10.25,Gaussian,deblended,,other
5413.44,0.0017,6.04,Gaussian,deblended,,other
5413.64,0.003,6.02,Gaussian,deblended,,other
5425.27,0.0038,2.86,Gaussian,deblended,,other
5432.04,0.0059,17.54,Gaussian,deblended,,other
5446.01,0.0057,4.09,Gaussian,deblended,,other
5458.19,0.0086,15.0,Gaussian,deblended,,other
5464.12,0.004,4.09,Gaussian,deblended,,other
5477.81,0.009,4.01,Gaussian,single,,other
5506.03,0.008,8.26,Gaussian,single,,other
5525.73,0.0014,3.75,Gaussian,deblended,,other
5530.54,0.0121,10.24,Gaussian,deblended,,other
5535.85,0.0036,3.4,Gaussian,deblended,,other
5588.11,0.0119,5.73,Gaussian,deblended,,other
5595.08,0.0031,6.58,Gaussian,deblended,,other
5616.56,0.0068,5.14,Gaussian,single,,other
5681.93,0.0027,3.35,Gaussian,deblended,,other
5689.09,0.0224,13.12,Gaussian,deblended,,other
5699.82,0.0102,4.7,Gaussian,deblended,,other
5721.95,0.0082,11.52,Gaussian,single,,other
5745.34,0.0085,5.71,Gaussian,single,,other
5755.2,0.0047,3.68,Gaussian,single,,other
5785.16,0.0026,11.73,Gaussian,deblended,,other
5791.62,0.0067,2.72,Gaussian,deblended,,other
5880.39,0.0118,20.0,Gaussian,deblended,,other
5889.47,0.0147,4.49,Gaussian,deblended,,other
5892.29,0.125,18.53,Gaussian,deblended,,other
5900.67,0.0478,5.69,Gaussian,deblended,,other
5910.84,0.054,9.49,Gaussian,deblended,,other
5921.61,0.1012,11.25,Gaussian,deblended,,other
5932.88,0.025,4.61,Gaussian,deblended,,other
5945.49,0.1242,12.66,Gaussian,deblended,,other
5959.17,0.0634,6.64,Gaussian,deblended,,other
5968.75,0.075,7.25,Gaussian,deblended,,other
5977.64,0.0569,6.79,Gaussian,deblended,,other
5989.86,0.0422,13.71,Gaussian,deblended,,other
6002.36,0.0094,6.93,Gaussian,deblended,,other
6015.15,0.0114,20.0,Gaussian,deblended,,other
6084.65,0.0067,8.51,Gaussian,single,,other
6145.76,0.0053,13.3,Gaussian,single,,other
6157.54,0.0055,2.64,Gaussian,single,,other
6178.43,0.0059,8.85,Gaussian,single,,other
6242.06,0.0116,18.05,Gaussian,single,,other
6269.97,0.009,8.31,Gaussian,deblended,,other
6279.33,0.108,7.34,Gaussian,deblended,,other
6294.13,0.047,18.35,Gaussian,deblended,,other
6307.03,0.0068,4.17,Gaussian,deblended,,other
6318.63,0.0271,11.61,Gaussian,deblended,,other
6332.09,0.0058,6.55,Gaussian,deblended,,other
6347.41,0.0332,6.12,Gaussian,single,,other
6371.76,0.0295,5.41,Gaussian,single,,other
6384.81,0.0066,5.62,Gaussian,single,,other
6417.04,0.009,6.93,Gaussian,single,,other
6433.96,0.0075,3.66,Gaussian,single,,other
6456.71,0.0097,4.11,Gaussian,deblended,,other
6459.16,0.0284,8.91,Gaussian,deblended,,other
6467.42,0.0063,6.26,Gaussian,deblended,,other
6476.09,0.0185,3.26,Gaussian,deblended,,other
6483.69,0.0068,20.0,Gaussian,deblended,,other
6485.51,0.018,4.22,Gaussian,deblended,,other
6494.42,0.049,7.4,Gaussian,deblended,,other
6517.3,0.1091,7.33,Gaussian,deblended,,other
6539.05,0.0317,18.84,Gaussian,deblended,,other
6548.7,0.0609,10.31,Gaussian,deblended,,other
6562.84,0.4611,17.5,Voigt,deblended,Hα,Balmer
6574.66,0.0368,5.61,Gaussian,deblended,,other
6582.99,0.0331,13.83,Gaussian,deblended,,other
