wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3722.86,0.1088,6.4,Gaussian,single,,other
3734.84,0.1986,4.67,Gaussian,single,,other
3749.68,0.1825,5.95,Gaussian,single,,other
3770.78,0.3035,8.87,Gaussian,single,,other
3798.09,0.3671,12.7,Gaussian,single,,other
3819.23,0.0773,18.84,Gaussian,single,,other
3835.3,0.4865,15.84,Gaussian,single,,other
3875.49,0.0793,7.4,Gaussian,deblended,,other
3889.27,0.5317,15.36,Gaussian,deblended,,other
3903.63,0.1025,8.68,Gaussian,deblended,,other
3916.63,0.0379,8.29,Gaussian,deblended,,other
3928.21,0.0292,4.07,Gaussian,deblended,,other
3933.64,0.5137,7.45,Gaussian,deblended,,other
3947.95,0.0247,18.84,Gaussian,deblended,,other
3955.92,0.0606,11.15,Gaussian,deblended,,other
3969.38,0.6572,13.81,Voigt,deblended,Hε,Balmer
3983.61,0.1085,12.92,Gaussian,deblended,,other
3996.44,0.0273,4.18,Gaussian,deblended,,other
4005.17,0.0578,16.11,Gaussian,deblended,,other
4031.39,0.0773,7.55,Gaussian,single,,other
4054.94,0.0399,20.0,Gaussian,deblended,,other
4080.26,0.1019,20.0,Gaussian,deblended,,other
4101.81,0.5714,17.7,Voigt,deblended,Hδ,Balmer
4125.47,0.079,20.0,Gaussian,deblended,,other
4155.98,0.0365,6.34,Gaussian,deblended,,other
4200.03,0.0572,8.66,Gaussian,single,,other
4217.08,0.0214,6.83,Gaussian,deblended,,other
4225.83,0.07,4.96,Gaussian,deblended,,other
4235.83,0.0246,7.52,Gaussian,deblended,,other
4248.64,0.0388,8.17,Gaussian,deblended,,other
4260.31,0.0349,5.67,Gaussian,deblended,,other
4272.38,0.0641,7.06,Gaussian,single,,other
4289.01,0.0546,5.87,Gaussian,deblended,,other
4300.05,0.068,7.76,Gaussian,deblended,,other
4313.79,0.0668,20.0,Gaussian,deblended,,other
4327.07,0.0442,8.03,Gaussian,deblended,,other
4340.33,0.5542,15.88,Voigt,deblended,Hγ,Balmer
4352.62,0.0703,7.21,Gaussian,deblended,,other
4357.89,0.0159,11.21,Gaussian,deblended,,other
4371.43,0.0244,6.73,Gaussian,deblended,,other
4382.53,0.013,20.0,Gaussian,deblended,,other
4385.37,0.0381,4.73,Gaussian,deblended,,other
4392.6,0.0183,17.14,Gaussian,deblended,,other
4399.32,0.0267,10.91,Gaussian,deblended,,other
4416.27,0.0516,5.34,Gaussian,deblended,,other
4427.74,0.0119,12.14,Gaussian,deblended,,other
4434.16,0.018,3.89,Gaussian,deblended,,other
4436.96,0.0042,7.87,Gaussian,deblended,,other
4444.13,0.0452,6.53,Gaussian,deblended,,other
4456.46,0.0481,9.75,Gaussian,deblended,,other
4468.05,0.0392,6.56,Gaussian,deblended,,other
4481.31,0.0975,6.19,Gaussian,deblended,,other
4491.14,0.0387,7.55,Gaussian,deblended,,other
4500.82,0.0157,4.95,Gaussian,deblended,,other
4552.36,0.0689,12.22,Gaussian,single,,other
4584.85,0.0547,15.92,Gaussian,single,,other
4618.44,0.026,8.09,Gaussian,deblended,,other
4632.72,0.0268,13.5,Gaussian,deblended,,other
4647.82,0.0228,7.29,Gaussian,deblended,,other
4655.54,0.0105,3.53,Gaussian,deblended,,other
4668.52,0.0591,7.6,Gaussian,deblended,,other
4679.63,0.0196,7.3,Gaussian,deblended,,other
4689.49,0.0092,6.65,Gaussian,deblended,,other
4704.41,0.0425,14.22,Gaussian,deblended,,other
4716.31,0.008,5.69,Gaussian,deblended,,other
4733.6,0.0309,13.0,Gaussian,deblended,,other
4746.79,0.0111,7.91,Gaussian,deblended,,other
4761.03,0.0275,20.0,Gaussian,deblended,,other
4764.56,0.018,5.74,Gaussian,deblended,,other
4770.09,0.0087,11.13,Gaussian,deblended,,other
4785.94,0.0119,11.52,Gaussian,deblended,,other
4804.76,0.012,7.79,Gaussian,single,,other
4844.38,0.0314,14.31,Gaussian,deblended,,other
4861.14,0.5087,17.93,Voigt,deblended,Hβ,Balmer
4874.46,0.0343,6.87,Gaussian,deblended,,other
4886.01,0.0572,15.27,Gaussian,deblended,,other
4921.42,0.0479,6.42,Gaussian,deblended,,other
4935.62,0.0263,9.98,Gaussian,deblended,,other
4956.88,0.0357,6.16,Gaussian,single,,other
4968.58,0.0136,6.25,Gaussian,single,,other
4983.59,0.0571,7.41,Gaussian,single,,other
5004.35,0.0319,8.9,Gaussian,deblended,,other
5017.72,0.0549,8.95,Gaussian,deblended,,other
5039.28,0.0623,12.76,Gaussian,deblended,,other
5053.05,0.0225,6.12,Gaussian,deblended,,other
5080.69,0.0143,7.07,Gaussian,deblended,,other
5098.93,0.0334,7.65,Gaussian,deblended,,other
5109.22,0.0106,5.0,Gaussian,deblended,,other
5127.53,0.0164,13.88,Gaussian,deblended,,other
5139.47,0.0153,5.44,Gaussian,deblended,,other
5169.12,0.091,7.99,Gaussian,single,,other
5184.52,0.0263,4.34,Gaussian,deblended,,other
5206.95,0.0264,5.81,Gaussian,deblended,,other
5216.33,0.0093,4.71,Gaussian,deblended,,other
5230.07,0.0489,10.95,Gaussian,single,,other
5252.21,0.0079,5.08,Gaussian,deblended,,other
5263.99,0.0114,4.66,Gaussian,deblended,,other
5268.38,0.0872,13.58,Gaussian,deblended,,other
5275.89,0.0112,4.23,Gaussian,deblended,,other
5282.61,0.0347,8.16,Gaussian,deblended,,other
5301.4,0.0177,13.47,Gaussian,deblended,,other
5327.46,0.024,5.06,Gaussian,deblended,,other
5336.51,0.0241,14.85,Gaussian,deblended,,other
5339.32,0.016,4.7,Gaussian,deblended,,other
5346.45,0.0108,15.5,Gaussian,deblended,,other
5367.63,0.0468,10.53,Gaussian,single,,other
5381.67,0.0181,5.26,Gaussian,single,,other
5476.77,0.0258,6.2,Gaussian,single,,other
5504.82,0.0173,13.0,Gaussian,single,,other
5528.92,0.0333,9.06,Gaussian,single,,other
5593.81,0.0317,19.07,Gaussian,single,,other
5616.13,0.0164,6.44,Gaussian,single,,other
5659.15,0.0276,12.06,Gaussian,single,,other
5686.96,0.0349,11.59,Gaussian,single,,other
5858.34,0.0146,19.09,Gaussian,deblended,,other
5901.1,0.0528,5.94,Gaussian,deblended,,other
5909.27,0.0294,6.23,Gaussian,deblended,,other
5919.87,0.1458,17.76,Gaussian,deblended,,other
5933.28,0.0289,3.83,Gaussian,deblended,,other
5945.49,0.1776,12.76,Gaussian,deblended,,other
5958.17,0.0564,5.65,Gaussian,deblended,,other
5970.34,0.0874,19.28,Gaussian,deblended,,other
5990.86,0.0577,20.0,Gaussian,deblended,,other
6016.22,0.0287,20.0,Gaussian,deblended,,other
6102.31,0.0202,10.12,Gaussian,single,,other
6279.22,0.1411,8.3,Gaussian,deblended,,other
6295.48,0.0635,20.0,Gaussian,deblended,,other
6318.48,0.0392,10.14,Gaussian,deblended,,other
6346.65,0.028,10.11,Gaussian,single,,other
6459.53,0.0647,14.16,Gaussian,deblended,,other
6494.63,0.0869,8.9,Gaussian,deblended,,other
6517.26,0.1393,8.08,Gaussian,deblended,,other
6534.36,0.0459,5.46,Gaussian,deblended,,other
6547.23,0.076,11.31,Gaussian,deblended,,other
6562.59,0.4254,16.78,Voigt,deblended,Hα,Balmer
6581.79,0.0372,20.0,Gaussian,deblended,,other
