,A,3716.22,0.0935,18.84,Gaussian,single,,other,confirmed,609,"Fe I 3716.4, V II 3715.5, Cr II 3715.2"
H-14 3722,A,3722.09,0.1694,6.17,Gaussian,single,,other,confirmed,142,"H I 3721.9, Fe I 3722.6"
H-13 3734,A,3734.94,0.2598,6.63,Gaussian,single,,other,confirmed,192,"H I 3734.4, Fe I 3734.9"
H-12 3750,A,3749.26,0.2925,7.57,Gaussian,single,,other,confirmed,221,"H I 3750.1, H I 3750.2"
H-11 3771,A,3770.84,0.3932,9.73,Gaussian,single,,other,confirmed,224,"H I 3770.6, H I 3770.7"
H-10 3798,A,3797.66,0.4664,12.53,Gaussian,single,,other,confirmed,189,H I 3797.9
,A,3814.45,0.0322,5.65,Gaussian,deblended,,other,uncertain_discarded,130,
H-9 3835,A,3835.48,0.5231,15.36,Gaussian,deblended,,other,confirmed,355,H I 3835.4
H-8 3889,A,3888.93,0.539,17.67,Gaussian,deblended,,other,confirmed,453,"H I 3889.0, H I 3889.1"
Si I/Fe I/Mg I 3904-06,A,3905.09,0.0769,8.51,Gaussian,deblended,,other,confirmed,209,"Si I 3905.5, Fe I 3906.5, Mg I 3903.9"
Ca II 3934,A,3933.52,0.539,7.32,Gaussian,deblended,,other,confirmed,217,Ca II 3933.7
H$\epsilon$/Ca II 3968-70,A,3969.59,0.6613,16.76,Voigt,deblended,Hε,Balmer,confirmed,333,"H I 3970.0, H I 3970.1, Ca II 3968.5"
Fe I/Ti I 3997-99,A,4000.01,0.0385,20,Gaussian,deblended,,other,confirmed,219,"Fe I 3998.1, Fe I 3997.4, Ti I 3998.6"
Mn I/Fe I 4030-33,A,4030.94,0.0546,8.46,Gaussian,deblended,,other,confirmed,139,"Mn I 4030.8, Fe I 4030.5, Mn I 4033.1"
,A,4045.58,0.0219,5.65,Gaussian,deblended,,other,uncertain_discarded,69,
,A,4056.84,0.0208,12.04,Gaussian,deblended,,other,uncertain_discarded,116,
Sr II 4078,A,4080.45,0.0783,20,Gaussian,deblended,,other,confirmed,137,Sr II 4077.7
H$\delta$ 4102,A,4101.93,0.588,16.31,Voigt,deblended,Hδ,Balmer,confirmed,121,"H I 4101.7, H I 4101.8"
Fe II 4123,A,4124.96,0.0675,20,Gaussian,deblended,,other,confirmed,146,Fe II 4122.7
,A,4155.75,0.0256,9.55,Gaussian,deblended,,other,uncertain_discarded,138,
Fe II/Y II 4178-79,A,4177.64,0.0806,15.37,Gaussian,deblended,,other,confirmed,132,"Fe II 4178.9, Y II 4177.5, Fe II 4177.7"
Fe I 4198-4202,A,4200.45,0.0564,9.32,Gaussian,deblended,,other,confirmed,154,"Fe I 4202.0, Fe I 4199.1, Fe I 4198.3"
Fe I/Ca I 4225-27,A,4225.92,0.0409,6.03,Gaussian,deblended,,other,confirmed,65,"Ca I 4226.7, Fe I 4227.4, Fe I 4225.4"
,A,4231.86,0.0218,20,Gaussian,deblended,,other,confirmed,116,"Fe II 4233.2, Fe I 4233.6"
Fe I/Sc II 4247-51,A,4249.21,0.044,8.58,Gaussian,deblended,,other,confirmed,98,"Fe I 4250.1, Fe I 4250.8, Sc II 4246.8"
Fe I/Cr II 4260-62,A,4260.47,0.0305,5.65,Gaussian,deblended,,other,confirmed,85,"Fe I 4260.5, Cr II 4261.9, Fe I 4260.1"
Fe I/Cr I 4271-75,A,4272.86,0.0643,6.71,Gaussian,deblended,,other,confirmed,102,"Fe I 4271.8, Fe I 4271.1, Cr I 4274.8"
,A,4289.56,0.0301,3.88,Gaussian,deblended,,other,uncertain_discarded,70,
