wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3716.22,0.0935,18.84,Gaussian,single,,other
3722.09,0.1694,6.17,Gaussian,single,,other
3734.94,0.2598,6.63,Gaussian,single,,other
3749.26,0.2925,7.57,Gaussian,single,,other
3770.84,0.3932,9.73,Gaussian,single,,other
3797.66,0.4664,12.53,Gaussian,single,,other
3814.45,0.0322,5.65,Gaussian,deblended,,other
3835.48,0.5231,15.36,Gaussian,deblended,,other
3888.93,0.539,17.67,Gaussian,deblended,,other
3905.09,0.0769,8.51,Gaussian,deblended,,other
3933.52,0.539,7.32,Gaussian,deblended,,other
3969.59,0.6613,16.76,Voigt,deblended,Hε,Balmer
4000.01,0.0385,20.0,Gaussian,deblended,,other
4030.94,0.0546,8.46,Gaussian,deblended,,other
4045.58,0.0219,5.65,Gaussian,deblended,,other
4056.84,0.0208,12.04,Gaussian,deblended,,other
4080.45,0.0783,20.0,Gaussian,deblended,,other
4101.93,0.588,16.31,Voigt,deblended,Hδ,Balmer
4124.96,0.0675,20.0,Gaussian,deblended,,other
4155.75,0.0256,9.55,Gaussian,deblended,,other
4177.64,0.0806,15.37,Gaussian,deblended,,other
4200.45,0.0564,9.32,Gaussian,deblended,,other
4225.92,0.0409,6.03,Gaussian,deblended,,other
4231.86,0.0218,20.0,Gaussian,deblended,,other
4249.21,0.044,8.58,Gaussian,deblended,,other
4260.47,0.0305,5.65,Gaussian,deblended,,other
4272.86,0.0643,6.71,Gaussian,deblended,,other
4289.56,0.0301,3.88,Gaussian,deblended,,other
4292.92,0.0722,20.0,Gaussian,deblended,,other
4301.93,0.0672,7.0,Gaussian,deblended,,other
4315.47,0.1141,20.0,Gaussian,deblended,,other
4327.15,0.0507,7.17,Gaussian,deblended,,other
4340.57,0.5819,16.35,Voigt,deblended,Hγ,Balmer
4353.72,0.0587,8.16,Gaussian,deblended,,other
4358.45,0.0185,15.97,Gaussian,deblended,,other
4372.02,0.0314,7.78,Gaussian,deblended,,other
4385.16,0.0563,7.07,Gaussian,deblended,,other
4397.22,0.0481,9.93,Gaussian,deblended,,other
4416.6,0.0556,4.85,Gaussian,single,,other
4434.31,0.0129,2.42,Gaussian,single,,other
4443.81,0.0426,4.09,Gaussian,deblended,,other
4455.4,0.0103,4.62,Gaussian,deblended,,other
4457.27,0.0319,15.84,Gaussian,deblended,,other
