wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3706.68,0.0267,18.84,Gaussian,single,,other
3711.86,0.084,4.37,Gaussian,single,,other
3722.1,0.0882,5.15,Gaussian,single,,other
3734.39,0.2108,5.88,Gaussian,single,,other
3746.56,0.0131,3.08,Gaussian,deblended,,other
3750.13,0.2862,7.4,Gaussian,deblended,,other
3768.36,0.0138,3.65,Gaussian,deblended,,other
3770.82,0.4057,9.73,Gaussian,deblended,,other
3776.88,0.0109,4.25,Gaussian,deblended,,other
3797.95,0.5335,12.99,Gaussian,deblended,,other
3835.45,0.5928,16.36,Gaussian,deblended,,other
3888.55,0.6266,18.18,Gaussian,deblended,,other
3905.25,0.0845,18.29,Gaussian,deblended,,other
3933.45,0.2236,5.75,Gaussian,deblended,,other
3969.73,0.6414,18.36,Voigt,deblended,Hε,Balmer
4028.56,0.0156,16.53,Gaussian,deblended,,other
4101.66,0.6539,19.17,Voigt,deblended,Hδ,Balmer
4130.27,0.027,4.46,Gaussian,deblended,,other
4176.98,0.0426,11.54,Gaussian,deblended,,other
4200.94,0.0186,9.22,Gaussian,deblended,,other
4216.69,0.0087,6.71,Gaussian,deblended,,other
4226.41,0.0222,5.71,Gaussian,deblended,,other
4234.31,0.0215,4.36,Gaussian,deblended,,other
4247.26,0.0008,2.16,Gaussian,deblended,,other
4250.23,0.0091,4.68,Gaussian,deblended,,other
4260.8,0.0185,4.46,Gaussian,deblended,,other
4272.73,0.042,5.59,Gaussian,deblended,,other
4276.68,0.0041,2.95,Gaussian,deblended,,other
4290.08,0.0094,3.32,Gaussian,deblended,,other
4315.11,0.012,4.5,Gaussian,deblended,,other
4327.39,0.0373,7.9,Gaussian,deblended,,other
4340.63,0.6287,17.64,Voigt,deblended,Hγ,Balmer
4353.89,0.0475,9.72,Gaussian,deblended,,other
4385.2,0.0385,7.3,Gaussian,deblended,,other
4395.55,0.0296,7.0,Gaussian,deblended,,other
4402.48,0.0079,6.06,Gaussian,deblended,,other
4416.99,0.0321,5.32,Gaussian,deblended,,other
4434.09,0.0062,3.73,Gaussian,single,,other
4444.32,0.0302,5.93,Gaussian,deblended,,other
4451.85,0.0078,10.41,Gaussian,deblended,,other
4469.35,0.019,4.92,Gaussian,deblended,,other
4481.53,0.0761,5.29,Gaussian,deblended,,other
4490.27,0.0272,5.74,Gaussian,deblended,,other
4501.16,0.0069,2.99,Gaussian,deblended,,other
4508.52,0.0069,2.45,Gaussian,single,,other
4521.27,0.0212,8.1,Gaussian,deblended,,other
4532.91,0.0197,7.98,Gaussian,deblended,,other
4549.3,0.0202,3.84,Gaussian,deblended,,other
4553.5,0.0444,10.12,Gaussian,deblended,,other
4557.36,0.0085,3.82,Gaussian,deblended,,other
4563.88,0.0131,4.03,Gaussian,deblended,,other
4573.38,0.0129,4.79,Gaussian,deblended,,other
4584.57,0.0355,10.53,Gaussian,deblended,,other
4591.84,0.0046,4.3,Gaussian,deblended,,other
4596.0,0.0054,13.82,Gaussian,deblended,,other
4618.91,0.0256,6.53,Gaussian,deblended,,other
4631.48,0.029,9.92,Gaussian,deblended,,other
4636.41,0.0038,3.34,Gaussian,deblended,,other
4642.1,0.0045,14.61,Gaussian,deblended,,other
4656.22,0.0041,2.45,Gaussian,deblended,,other
4667.31,0.0197,8.8,Gaussian,deblended,,other
4679.61,0.0042,6.6,Gaussian,deblended,,other
4693.95,0.0029,8.66,Gaussian,deblended,,other
4697.21,0.001,2.89,Gaussian,deblended,,other
4703.5,0.0128,8.68,Gaussian,deblended,,other
4713.9,0.0064,4.78,Gaussian,deblended,,other
4723.76,0.0025,3.06,Gaussian,deblended,,other
