wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag,label_status,n_candidate_lines,labels,short_label
3706.68,0.0267,18.84,Gaussian,single,,other,uncertain_discarded,199,,
3711.86,0.084,4.37,Gaussian,single,,other,confirmed,52,H I 3712.0,H I 3712
3722.1,0.0882,5.15,Gaussian,single,,other,confirmed,79,H I 3721.9,H I 3722
3734.39,0.2108,5.88,Gaussian,single,,other,confirmed,91,H I 3734.4,H I 3734
3746.56,0.0131,3.08,Gaussian,deblended,,other,uncertain_discarded,38,,
3750.13,0.2862,7.4,Gaussian,deblended,,other,confirmed,82,"H I 3750.1, H I 3750.2",H I 3750
3768.36,0.0138,3.65,Gaussian,deblended,,other,uncertain_discarded,27,,
3770.82,0.4057,9.73,Gaussian,deblended,,other,confirmed,52,"H I 3770.6, H I 3770.7",H I 3771
3776.88,0.0109,4.25,Gaussian,deblended,,other,uncertain_discarded,40,,
3797.95,0.5335,12.99,Gaussian,deblended,,other,confirmed,273,H I 3797.9,H I 3798
3835.45,0.5928,16.36,Gaussian,deblended,,other,confirmed,200,H I 3835.4,H I 3835
3888.55,0.6266,18.18,Gaussian,deblended,,other,confirmed,231,"H I 3889.0, H I 3889.1",H I 3889
3905.25,0.0845,18.29,Gaussian,deblended,,other,confirmed,214,Si I 3905.5,Si I 3906
3933.45,0.2236,5.75,Gaussian,deblended,,other,confirmed,73,Ca II 3933.7,Ca II 3934
3969.73,0.6414,18.36,Voigt,deblended,Hε,Balmer,confirmed,224,"H I 3970.0, H I 3970.1",H I 3970
4028.56,0.0156,16.53,Gaussian,deblended,,other,uncertain_discarded,168,,
4101.66,0.6539,19.17,Voigt,deblended,Hδ,Balmer,confirmed,160,"H I 4101.7, H I 4101.8",H I 4102
4130.27,0.027,4.46,Gaussian,deblended,,other,confirmed,47,Si II 4130.9,Si II 4131
4176.98,0.0426,11.54,Gaussian,deblended,,other,confirmed,103,Fe II 4178.9,Fe II 4179
4200.94,0.0186,9.22,Gaussian,deblended,,other,confirmed,73,"Fe I 4202.0, Fe I 4199.1",Fe I 4199-4202
4216.69,0.0087,6.71,Gaussian,deblended,,other,uncertain_discarded,35,,
4226.41,0.0222,5.71,Gaussian,deblended,,other,confirmed,27,"Ca I 4226.7, Fe I 4227.4",Ca I/Fe I 4227
4234.31,0.0215,4.36,Gaussian,deblended,,other,confirmed,27,"Fe II 4233.2, Fe I 4235.9, Fe I 4233.6",Fe I/Fe II 4233-36
4247.26,0.0008,2.16,Gaussian,deblended,,other,uncertain_discarded,14,,
4250.23,0.0091,4.68,Gaussian,deblended,,other,uncertain_discarded,15,,
4260.8,0.0185,4.46,Gaussian,deblended,,other,confirmed,34,"Fe I 4260.5, Cr II 4261.9",Fe I/Cr II 4260-62
4272.73,0.042,5.59,Gaussian,deblended,,other,confirmed,24,"Fe I 4271.8, Fe I 4271.1, Fe II 4273.3",Fe I/Fe II 4271-73
4276.68,0.0041,2.95,Gaussian,deblended,,other,uncertain_discarded,19,,
4290.08,0.0094,3.32,Gaussian,deblended,,other,uncertain_discarded,42,,
4315.11,0.012,4.5,Gaussian,deblended,,other,uncertain_discarded,32,,
4327.39,0.0373,7.9,Gaussian,deblended,,other,confirmed,58,"Fe I 4325.8, Sc II 4325.0",Fe I/Sc II 4325-26
4340.63,0.6287,17.64,Voigt,deblended,Hγ,Balmer,confirmed,55,"H I 4340.4, H I 4340.5",H I 4340
4353.89,0.0475,9.72,Gaussian,deblended,,other,confirmed,56,"Fe II 4351.8, Mg I 4351.9",Fe II/Mg I 4352
