Fe I 3923,C,,,,,,,,,Fe I,3923,MK,3922,,,,,,,,Walker Spectral Atlas for Amateur Astronomers
Ca II 3934,A,Ca II,3934,Ca II,3934,,,,,Ca II,3933.66,,3932.1695,,,,,,,,Gray Digital Spectral Classification Atlas
Al I 3944,C,,,,,,,,,Al I,3944,MK,3942,,,,,,,,Gratton Studies of the spectra of K giants
Ca II 3968,A,Ca II,3968,Ca II,3968,,,,,Ca II,3968.47,,3966.3879,,,,,,,,Wright Line inensities in the spectra of k-type stars
,,,,,,,,,,,,MK,3988,,,,,,,,
Fe I/Ti I 3990-98,C,,,,,,,,,Fe I/Ti I,3990-98,M,3996.5,,,,,,,,
Fe I 4005,B,,,,,,,Fe I,4005,Fe I/Ti I,4005,,4005.5824,,,,,,,,
Ti I/Fe I/V I 4022,C,,,,,,,Ti I/Fe I/V I,4022,,,,4022.8941,,,,,,,,
Mn I 4033-5,B,,,,,,,Mn I,4033-35,Mn I,4030-36,,4032.113,,,,,,,,
Fe I 4046,B,,,,,,,Fe I,4046,Fe I,4046,,4045.0836,,,,,,,,
Fe I/Sc I/Co I 4055-60,C,,,,,,,,,Fe I/Sc I/Co I,4055-60,MK,4057.5,,,,,,,,
Fe I 4064,B,,,,,,,Fe I,4064,Fe I,4063.6,,4063.3604,,,,,,,,
Fe I/Sr II 4075-78,C,,,,,,,Fe I,4075,Fe I/Sr II,4075-78,,4076.583,,,,,,,,
H$\delta$,A,Hdelta,4101,,,,,Fe I/Si I/Hdelta,4100-03,Hdelta,4101,,4100.2623,,,,,,,,
V I 4112,B,,,,,,,V I,4110-12,V I,4112,,4112.2856,,,,,,,,
Co I 4119,B,,,,,,,Co I,4119,V I/Co I,4119,,4118.7627,,,,,,,,
Fe I 4132-34,B,,,,,,,Fe I,4132-34,Fe I/V I,4132-34,,4132.2551,,,,,,,,
Fe I 4144,C,,,,,,,Fe I,4144,,,,4143.5497,,,,,,,,
,,,,,,,,,,,,,4152,,,,,,,,
,,,,,,,,,,Fe I/Ga I,4171-78,KP,4169.6553,,,,,,,,
,,,,,,,,,,Fe I/Ga I,4171-78,KP,4174.231,,,,,,,,
,,,,,,,,,,,,,4189.3712,,,,,,,,
Fe I 4198-4202,B,,,,,,,Fe I,4198-4202,Fe I/Nd II,4198-02,,4200.3676,,,,,,,,
Sr II 4216,B,,,,,,,Sr II,4215.5,Sr II/Fe I,4216,,4214.8096,,,,,,,,
Ca I 4226,A,,,Ca I,4226,,,Ca I,4226.73,Ca I,4226.73,,4226.6395,,,,,,,,
Fe I 4236,B,,,,,,,Fe I,4236,Fe I/Co I,4234-36,MSK,4236,,,,,,,,
Cr I 4254,B,,,,,,,Fe I/Cr I,4251-54,Cr I,4254,,4253.2007,,,,,,,,
Fe I 4260,B,,,,,,,Fe I,4260,Fe I,4260.5,,4260.2305,,,,,,,,
Fe I/Cr I 4272-75,B,,,,,,,Fe I/Cr I,4272-75,Fe I/Cr I,4272-75,,4273.0342,,,,,,,,
Cr I 4290,C,,,,,,,Cr I,4289.7,,,,4289.8214,,,,,,,,
,,,,,,,,,,Fe I/Ti I,4301-15,TP,4301.394,,,,,,,,
,,,,,,,,Fe I,4307.9,Fe I/Ti I,4301-15,TP,4307.4277,,,,,,,,
Fe I 4326,B,,,,,,,Fe I,4325.7,Fe I/Ti I,4326,,4325.2197,,,,,,,,
H$\gamma$,A,Hgamma,4340,,,,,Cr I/Hgamma,4340,Hgamma,4340.47,,4340.1702,,,,,,,,
Cr I/V I 4352-53,C,,,,,,,,,Cr I/V I,4352-53,,4352.7204,,,,,,,,
Cr I 4360,B,,,,,,,Cr I,4360,Cr I/V I,4359.6,M,4360.5,,,,,,,,
,,,,,,,,,,Fe I,4376,,4374.8488,,,,,,,,
Fe I 4384,A,,,Fe I,4383,,,Fe I,4383.5,Fe I/Cr I,4384,,4384.2026,,,,,,,,
,,,,,,,,,,,,MK,4392.5,,,,,,,,
Fe I 4405,B,,,,,,,Fe I,4405,Fe I/V I,4405,,4406.0122,,,,,,,,
Fe I 4415,B,,,,,,,Fe I,4415,Fe I/V I,4415,,4415.5098,,,,,,,,
Fe I/Ca I 4435,C,,,,,,,,,Fe I/Ca I,4435,,4434.5479,,,,,,,,
Fe I 4442,C,,,,,,,Fe I/Cr I,4442,Fe I/Ti II,4442-48,,4442.8254,,,,,,,,
Fe I/Ca I/Ti I 4455-59,B,,,,,,,Fe I/Ca I/Ti I,4455-59,Ca I/Fe I/Ti I,4455-59,wide,4459.3637,,,,,,,,
Ti II/Fe I 4469,C,,,,,,,,,Ti II/Fe I,4469,MWK,4468.5,,,,,,,,
Fe I 4482,B,,,,,,,Fe I,4482,Fe I,4482,,4481.3696,,,,,,,,
Fe I 4490,C,,,,,,,,,Fe I,4490,KP,4491.2783,,,,,,,,
Fe I 4495,C,,,,,,,Fe I,4495,Fe I/Cr I/Ti I,4494-97,KP,4496.1074,,,,,,,,
Fe I/Cr I/Ti I 4512-18,C,,,,,,,,,Ti I/Fe I/Cr I,4512-18,,4516.0975,,,,,,,,
Fe I 4529,C,,,,,,,Fe I,4529,Ti I/Fe I/Cr I,4526-40,PK,4528.728,,,,,,,,
Ti I 4536,C,,,,,,,Ti I,4536,Ti I/Fe I/Cr I,4526-40,PK,4534.166,,,,,,,,
,,,,Ba II,4554,,,,,Ti I,4552-54,,4553.5395,,,,,,,,
,,,,,,,,Cr I,4565.5,Cr I,4565,,4563.9556,,,,,,,,
Ti II/Mg I 4572,C,,,,,,,,,Ti II/Mg I,4572,,4572.4065,,,,,,,,
Ca I 4580,B,,,,,,,Ca I/Fe I,4581.5,V I/Ca I,4580,,4581.5502,,,,,,,,
V I/Ca I 4594,C,,,,,,,,,V I/Ca I,4594,PK,4594.77,,,,,,,,
Fe i 4601,B,,,,,,,Fe I,4601,Fe I/Cr I,4600-02,PK,4601.562,,,,,,,,
,,,,,,,,,,,,M,4613.5,,,,,,,,
,,,,,,,,,,,,MWK,4629,,,,,,,,
