wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3710.45,0.1137,4.47,Gaussian,single,,other
3720.65,0.1481,4.84,Gaussian,single,,other
3733.09,0.1906,5.69,Gaussian,single,,other
3748.08,0.1986,5.53,Gaussian,single,,other
3759.01,0.0423,8.14,Gaussian,deblended,,other
3768.88,0.248,5.76,Gaussian,single,,other
3768.96,0.2502,5.52,Gaussian,deblended,,other
3796.35,0.2449,6.64,Gaussian,single,,other
3834.0,0.2448,6.13,Gaussian,single,,other
3854.92,0.0553,9.22,Gaussian,deblended,,other
3862.4,0.028,4.2,Gaussian,deblended,,other
3887.92,0.2627,6.31,Gaussian,single,,other
3932.75,0.1392,5.71,Gaussian,single,,other
3968.67,0.3435,6.43,Voigt,single,Hε,Balmer
4004.56,0.0149,10.96,Gaussian,single,,other
4024.85,0.0377,5.21,Gaussian,single,,other
4047.23,0.0104,5.33,Gaussian,single,,other
4066.95,0.0124,2.76,Gaussian,single,,other
4095.69,0.0127,3.65,Gaussian,deblended,,other
4101.16,0.2895,6.26,Voigt,deblended,Hδ,Balmer
4110.02,0.0088,4.45,Gaussian,deblended,,other
4121.07,0.0158,4.4,Gaussian,deblended,,other
4124.65,0.0071,3.03,Gaussian,deblended,,other
4128.97,0.0948,5.84,Gaussian,deblended,,other
4144.0,0.0251,4.59,Gaussian,single,,other
4163.06,0.0078,4.75,Gaussian,deblended,,other
4172.44,0.0067,1.68,Gaussian,deblended,,other
4174.93,0.0402,8.22,Gaussian,deblended,,other
4179.02,0.0162,3.67,Gaussian,deblended,,other
4232.48,0.0507,4.75,Gaussian,deblended,,other
4300.91,0.0361,12.38,Gaussian,deblended,,other
4340.14,0.2798,6.36,Voigt,deblended,Hγ,Balmer
4351.47,0.0462,5.04,Gaussian,deblended,,other
4383.6,0.0053,3.05,Gaussian,deblended,,other
4386.0,0.0489,6.75,Gaussian,deblended,,other
4392.14,0.0149,8.32,Gaussian,deblended,,other
4424.72,0.0401,18.04,Gaussian,single,,other
4471.57,0.0388,5.96,Gaussian,deblended,,other
4481.06,0.1126,5.43,Gaussian,deblended,,other
4490.26,0.0257,5.42,Gaussian,deblended,,other
4502.32,0.0138,5.35,Gaussian,deblended,,other
4507.94,0.0295,3.8,Gaussian,deblended,,other
4513.73,0.0092,12.27,Gaussian,deblended,,other
4515.51,0.0173,3.84,Gaussian,deblended,,other
4521.67,0.0556,6.03,Gaussian,deblended,,other
4549.3,0.0579,4.53,Gaussian,deblended,,other
4556.38,0.045,5.91,Gaussian,deblended,,other
4575.79,0.0163,7.58,Gaussian,deblended,,other
4583.6,0.0554,5.94,Gaussian,deblended,,other
4588.75,0.0126,13.52,Gaussian,deblended,,other
4617.76,0.0222,6.4,Gaussian,deblended,,other
4620.92,0.0079,2.83,Gaussian,deblended,,other
4630.03,0.047,9.35,Gaussian,deblended,,other
4635.78,0.0046,3.37,Gaussian,deblended,,other
4639.0,0.0046,7.33,Gaussian,deblended,,other
4661.61,0.0039,2.61,Gaussian,deblended,,other
4666.33,0.019,8.93,Gaussian,deblended,,other
4674.17,0.0031,2.65,Gaussian,deblended,,other
4678.67,0.0061,7.9,Gaussian,deblended,,other
4729.03,0.0174,9.99,Gaussian,deblended,,other
4737.81,0.0044,4.5,Gaussian,deblended,,other
4757.09,0.0116,17.28,Gaussian,deblended,,other
4762.56,0.0134,4.78,Gaussian,deblended,,other
4815.55,0.0064,4.93,Gaussian,deblended,,other
4823.37,0.016,9.23,Gaussian,deblended,,other
4834.39,0.0076,5.12,Gaussian,deblended,,other
4849.46,0.0091,8.22,Gaussian,deblended,,other
4855.29,0.0077,3.27,Gaussian,deblended,,other
4860.86,0.228,6.5,Voigt,deblended,Hβ,Balmer
4918.95,0.0111,5.35,Gaussian,deblended,,other
4923.44,0.0903,5.26,Gaussian,deblended,,other
5002.48,0.0156,6.41,Gaussian,single,,other
5017.6,0.0827,5.62,Gaussian,single,,other
5038.11,0.0435,12.98,Gaussian,deblended,,other
5056.05,0.0526,5.32,Gaussian,single,,other
5168.5,0.082,5.48,Gaussian,single,,other
5197.31,0.0411,6.45,Gaussian,single,,other
5215.31,0.0191,6.11,Gaussian,single,,other
5226.32,0.0183,5.17,Gaussian,deblended,,other
5234.53,0.0348,6.39,Gaussian,deblended,,other
5261.42,0.0093,5.46,Gaussian,deblended,,other
5275.31,0.04,6.6,Gaussian,single,,other
5309.31,0.0043,7.77,Gaussian,deblended,,other
5315.87,0.0507,5.54,Gaussian,deblended,,other
5325.3,0.0079,11.49,Gaussian,deblended,,other
5361.68,0.0285,8.95,Gaussian,single,,other
5506.96,0.0211,9.04,Gaussian,single,,other
5534.68,0.0179,16.44,Gaussian,single,,other
5640.48,0.0153,14.63,Gaussian,single,,other
5686.14,0.017,7.34,Gaussian,single,,other
5779.43,0.0676,6.91,Gaussian,single,,other
5796.15,0.0178,5.04,Gaussian,single,,other
5875.17,0.0449,6.78,Gaussian,deblended,,other
5888.69,0.0387,3.66,Gaussian,deblended,,other
5892.92,0.1712,17.15,Gaussian,deblended,,other
5909.7,0.0275,5.16,Gaussian,deblended,,other
5919.73,0.0848,13.01,Gaussian,deblended,,other
5944.48,0.0984,13.15,Gaussian,deblended,,other
5957.43,0.0461,5.65,Gaussian,deblended,,other
5971.13,0.056,18.6,Gaussian,deblended,,other
5993.14,0.0234,20.0,Gaussian,deblended,,other
6156.54,0.0141,4.03,Gaussian,single,,other
6203.17,0.0222,6.14,Gaussian,single,,other
6242.64,0.02,13.02,Gaussian,single,,other
6269.17,0.0246,7.53,Gaussian,deblended,,other
6277.3,0.0193,3.03,Gaussian,deblended,,other
6281.18,0.1476,10.9,Gaussian,deblended,,other
6296.39,0.0193,20.0,Gaussian,deblended,,other
6346.24,0.1226,5.73,Gaussian,single,,other
6370.4,0.1044,5.99,Gaussian,single,,other
6444.65,0.0143,4.3,Gaussian,deblended,,other
6456.88,0.0374,11.35,Gaussian,deblended,,other
6474.74,0.0197,3.06,Gaussian,deblended,,other
6483.41,0.0136,2.14,Gaussian,deblended,,other
6493.36,0.0355,6.91,Gaussian,deblended,,other
6516.05,0.0947,7.84,Gaussian,deblended,,other
6530.27,0.022,16.25,Gaussian,deblended,,other
6544.75,0.0154,4.04,Gaussian,deblended,,other
6551.54,0.0191,18.71,Gaussian,deblended,,other
6560.63,0.0573,4.95,Voigt,deblended,Hα,Balmer
6574.17,0.0178,5.9,Gaussian,single,,other
6612.96,0.0201,3.93,Gaussian,single,,other
6677.2,0.0216,4.97,Gaussian,single,,other
