short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
H-15  3712,A,3710.45,0.1137,4.47,other,confirmed,,H I 3712.0
H-14 /Ti II 3722,A,3720.65,0.1481,4.84,other,confirmed,,"H I 3721.9, Ti II 3721.6"
H-13  3734,A,3733.09,0.1906,5.69,other,confirmed,,H I 3734.4
H-12  3750,A,3748.08,0.1986,5.53,other,confirmed,,"H I 3750.1, H I 3750.2"
,A,3759.01,0.0423,8.14,other,uncertain_discarded,confirm frac too high (4.96),
,A,3768.88,0.248,5.76,other,uncertain_discarded,confirm frac too low (0.08),
H-11  3771,A,3768.96,0.2502,5.52,other,confirmed,,"H I 3770.6, H I 3770.7"
H-10  3798,A,3796.35,0.2449,6.64,other,confirmed,,H I 3797.9
H-9  3835,A,3834.0,0.2448,6.13,other,confirmed,,H I 3835.4
Si II 3854-56,A,3854.92,0.0553,9.22,other,confirmed,,"Si II 3856.0, Si II 3853.7"
Si II 3863,A,3862.4,0.028,4.2,other,confirmed,,Si II 3862.6
H-8  3889,A,3887.92,0.2627,6.31,other,confirmed,,"H I 3889.0, H I 3889.1"
Ca II 3934,A,3932.75,0.1392,5.71,other,confirmed,,Ca II 3933.7
Hε /Ca II 3968-70,A,3968.67,0.3435,6.43,Balmer,confirmed,,"Ca II 3968.5, H I 3970.0, H I 3970.1"
V II 4006,A,4004.56,0.0149,10.96,other,confirmed,,V II 4005.7
He I/Fe II 4025-26,A,4024.85,0.0377,5.21,other,confirmed,,"He I 4026.2, Fe II 4024.6"
Fe I 4046,A,4047.23,0.0104,5.33,other,confirmed,,Fe I 4045.8
Ni II 4067,A,4066.95,0.0124,2.76,other,confirmed,,Ni II 4067.0
Fe II 4097,A,4095.69,0.0127,3.65,other,confirmed,,Fe II 4097.5
Hδ  4102,A,4101.16,0.2895,6.26,Balmer,confirmed,,"H I 4101.7, H I 4101.8"
Cr II 4111,A,4110.02,0.0088,4.45,other,confirmed,,Cr II 4111.0
Fe II/He I 4121-23,A,4121.07,0.0158,4.4,other,confirmed,,"Fe II 4122.7, He I 4120.8"
Fe II 4125,A,4124.65,0.0071,3.03,other,confirmed,,Fe II 4124.8
Si II 4128-31,A,4128.97,0.0948,5.84,other,confirmed,,"Si II 4130.9, Si II 4128.1"
He I 4144,A,4144.0,0.0251,4.59,other,confirmed,,He I 4143.8
,A,4163.06,0.0078,4.75,other,uncertain_discarded,confirm frac too high (4.63),
,A,4172.44,0.0067,1.68,other,uncertain_discarded,confirm frac too high (10.06),
,A,4174.93,0.0402,8.22,other,uncertain_discarded,confirm frac too low (0.18),
,A,4179.02,0.0162,3.67,other,uncertain_discarded,confirm frac too high (4.73),
Fe II 4233,A,4232.48,0.0507,4.75,other,confirmed,,Fe II 4233.2
,A,4300.91,0.0361,12.38,other,uncertain_discarded,confirm frac too high (3.22),
