wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3706.21,0.0934,18.84,Gaussian,single,,other
3713.61,0.1121,18.84,Gaussian,single,,other
3732.65,0.1916,5.79,Gaussian,single,,other
3748.33,0.2062,6.54,Gaussian,single,,other
3768.86,0.2312,7.69,Gaussian,single,,other
3796.43,0.2308,7.39,Gaussian,single,,other
3817.78,0.025,8.05,Gaussian,deblended,,other
3833.93,0.2381,7.02,Gaussian,single,,other
3853.89,0.037,4.53,Gaussian,deblended,,other
3856.45,0.0394,16.11,Gaussian,deblended,,other
3862.49,0.0221,4.55,Gaussian,deblended,,other
3872.53,0.0104,2.45,Gaussian,deblended,,other
3883.4,0.0134,7.8,Gaussian,deblended,,other
3888.02,0.2537,6.89,Gaussian,deblended,,other
3901.17,0.0189,7.7,Gaussian,deblended,,other
3921.72,0.0232,17.21,Gaussian,deblended,,other
3932.74,0.1187,5.49,Gaussian,deblended,,other
3939.32,0.0171,7.41,Gaussian,deblended,,other
3968.7,0.3318,7.17,Voigt,single,Hε,Balmer
4012.84,0.0064,4.11,Gaussian,deblended,,other
4025.02,0.0485,6.75,Gaussian,deblended,,other
4033.36,0.0086,5.74,Gaussian,deblended,,other
4040.44,0.0159,18.84,Gaussian,deblended,,other
4053.94,0.008,4.16,Gaussian,deblended,,other
4064.93,0.008,5.63,Gaussian,deblended,,other
4074.32,0.0107,16.68,Gaussian,deblended,,other
4101.19,0.2791,6.91,Voigt,deblended,Hδ,Balmer
4120.12,0.017,4.51,Gaussian,deblended,,other
4129.18,0.0887,7.47,Gaussian,deblended,,other
4143.67,0.0336,5.95,Gaussian,deblended,,other
4151.99,0.0105,4.41,Gaussian,deblended,,other
4162.83,0.0121,5.1,Gaussian,deblended,,other
4171.36,0.0047,3.02,Gaussian,deblended,,other
4174.86,0.0336,8.6,Gaussian,deblended,,other
4178.6,0.0131,3.55,Gaussian,deblended,,other
4188.54,0.0064,7.12,Gaussian,deblended,,other
4219.51,0.0062,6.92,Gaussian,deblended,,other
4227.28,0.0034,2.24,Gaussian,deblended,,other
4232.88,0.0385,5.03,Gaussian,deblended,,other
4242.03,0.0089,8.15,Gaussian,deblended,,other
4263.04,0.0047,18.84,Gaussian,deblended,,other
4267.34,0.0129,4.74,Gaussian,deblended,,other
4274.88,0.0071,7.59,Gaussian,deblended,,other
4296.69,0.0066,10.37,Gaussian,deblended,,other
4303.19,0.0126,4.84,Gaussian,deblended,,other
4305.5,0.0108,20.0,Gaussian,deblended,,other
4312.71,0.0086,3.45,Gaussian,deblended,,other
4318.97,0.0033,3.45,Gaussian,deblended,,other
4334.37,0.0093,3.75,Gaussian,deblended,,other
4340.33,0.2654,6.69,Voigt,deblended,Hγ,Balmer
4351.55,0.0378,6.64,Gaussian,deblended,,other
4387.16,0.0479,9.24,Gaussian,deblended,,other
4394.43,0.0099,4.55,Gaussian,deblended,,other
4408.71,0.0057,2.55,Gaussian,deblended,,other
4415.58,0.0124,4.53,Gaussian,deblended,,other
4434.16,0.0066,12.42,Gaussian,deblended,,other
4445.39,0.0079,20.0,Gaussian,deblended,,other
4471.46,0.0449,5.71,Gaussian,deblended,,other
4481.15,0.1014,5.29,Gaussian,deblended,,other
4490.75,0.0173,5.24,Gaussian,deblended,,other
4500.55,0.0053,4.45,Gaussian,deblended,,other
4508.4,0.0199,8.74,Gaussian,deblended,,other
4515.65,0.0061,2.94,Gaussian,deblended,,other
4521.59,0.0382,7.55,Gaussian,deblended,,other
4528.54,0.0058,3.47,Gaussian,deblended,,other
4534.04,0.0102,4.72,Gaussian,deblended,,other
4550.31,0.0399,7.26,Gaussian,deblended,,other
4556.99,0.0105,4.65,Gaussian,deblended,,other
4559.5,0.0057,10.2,Gaussian,deblended,,other
4572.0,0.0035,11.31,Gaussian,deblended,,other
4576.46,0.0089,4.05,Gaussian,deblended,,other
4583.79,0.0426,7.66,Gaussian,deblended,,other
4589.97,0.004,3.1,Gaussian,deblended,,other
4593.32,0.0078,7.86,Gaussian,deblended,,other
4631.08,0.0274,9.84,Gaussian,deblended,,other
4637.58,0.0036,4.68,Gaussian,deblended,,other
4641.98,0.0055,8.36,Gaussian,deblended,,other
4667.05,0.0179,14.9,Gaussian,single,,other
4713.48,0.0169,5.56,Gaussian,single,,other
4754.04,0.0022,2.14,Gaussian,deblended,,other
4778.76,0.0057,6.27,Gaussian,deblended,,other
4802.38,0.0068,11.69,Gaussian,deblended,,other
4834.31,0.0092,4.69,Gaussian,deblended,,other
4853.7,0.0129,13.5,Gaussian,deblended,,other
4861.2,0.213,6.85,Voigt,deblended,Hβ,Balmer
4886.13,0.0148,15.68,Gaussian,deblended,,other
4904.9,0.0043,4.3,Gaussian,deblended,,other
4911.65,0.0027,4.1,Gaussian,deblended,,other
4918.75,0.0102,7.05,Gaussian,deblended,,other
4923.43,0.0713,5.72,Gaussian,deblended,,other
4947.54,0.0068,20.0,Gaussian,deblended,,other
4951.85,0.0071,5.45,Gaussian,deblended,,other
4959.64,0.0055,3.52,Gaussian,deblended,,other
4967.05,0.0112,5.6,Gaussian,deblended,,other
5002.81,0.0168,5.45,Gaussian,deblended,,other
5010.03,0.0064,8.28,Gaussian,deblended,,other
5017.45,0.0651,6.42,Gaussian,deblended,,other
5030.79,0.0099,7.02,Gaussian,deblended,,other
5040.06,0.0443,10.08,Gaussian,deblended,,other
5056.29,0.055,5.82,Gaussian,deblended,,other
5073.57,0.0153,9.74,Gaussian,deblended,,other
5086.02,0.0064,8.72,Gaussian,deblended,,other
5093.45,0.008,4.56,Gaussian,deblended,,other
5101.39,0.0149,5.96,Gaussian,deblended,,other
5111.69,0.0044,10.87,Gaussian,deblended,,other
5144.79,0.0053,6.34,Gaussian,deblended,,other
5157.77,0.0077,20.0,Gaussian,deblended,,other
5169.01,0.0612,5.75,Gaussian,deblended,,other
5186.83,0.0075,10.0,Gaussian,deblended,,other
5198.09,0.026,7.75,Gaussian,deblended,,other
5226.1,0.0062,4.5,Gaussian,deblended,,other
5233.82,0.0152,11.73,Gaussian,deblended,,other
5248.9,0.0047,8.6,Gaussian,deblended,,other
5260.29,0.0143,11.84,Gaussian,deblended,,other
5275.88,0.0267,6.91,Gaussian,deblended,,other
5284.69,0.0047,5.25,Gaussian,deblended,,other
5316.7,0.0334,7.01,Gaussian,single,,other
5352.74,0.0037,2.6,Gaussian,deblended,,other
5362.48,0.0159,9.49,Gaussian,deblended,,other
5415.73,0.0104,9.87,Gaussian,deblended,,other
5431.5,0.0143,11.61,Gaussian,deblended,,other
5506.85,0.0177,8.89,Gaussian,single,,other
5642.3,0.0225,12.78,Gaussian,single,,other
5720.08,0.0165,7.97,Gaussian,deblended,,other
5728.19,0.0092,3.78,Gaussian,deblended,,other
5740.79,0.013,18.28,Gaussian,deblended,,other
5771.04,0.0088,6.4,Gaussian,deblended,,other
5780.19,0.0381,6.85,Gaussian,deblended,,other
5795.66,0.0132,9.79,Gaussian,deblended,,other
5850.75,0.0206,18.84,Gaussian,deblended,,other
5867.45,0.0073,5.39,Gaussian,deblended,,other
5875.31,0.0546,5.65,Gaussian,deblended,,other
5889.03,0.0392,4.27,Gaussian,deblended,,other
5891.89,0.1073,13.94,Gaussian,deblended,,other
5897.7,0.0228,5.6,Gaussian,deblended,,other
5899.0,0.0071,5.73,Gaussian,deblended,,other
5909.72,0.0202,3.22,Gaussian,deblended,,other
5919.0,0.0459,12.2,Gaussian,deblended,,other
5922.38,0.0114,6.25,Gaussian,deblended,,other
5944.58,0.0866,9.99,Gaussian,deblended,,other
5957.7,0.0411,5.65,Gaussian,deblended,,other
5971.02,0.0236,18.84,Gaussian,single,,other
5977.54,0.0319,6.03,Gaussian,single,,other
6201.95,0.0139,11.73,Gaussian,single,,other
6240.52,0.0239,15.19,Gaussian,single,,other
6280.43,0.0958,11.04,Gaussian,single,,other
6346.4,0.1054,6.41,Gaussian,single,,other
6370.79,0.086,6.53,Gaussian,single,,other
6456.7,0.0262,6.16,Gaussian,deblended,,other
6467.3,0.0125,6.24,Gaussian,deblended,,other
6474.83,0.0221,4.11,Gaussian,deblended,,other
6493.95,0.0231,5.29,Gaussian,deblended,,other
6516.51,0.0944,10.09,Gaussian,single,,other
6532.95,0.0265,6.15,Gaussian,deblended,,other
6547.04,0.0244,14.97,Gaussian,deblended,,other
6561.72,0.0639,5.89,Voigt,deblended,Hα,Balmer
6613.22,0.0166,6.37,Gaussian,single,,other
6676.61,0.04,7.46,Gaussian,single,,other
