short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
He I/H-16 /Ca II 3704-06,A,3706.21,0.0934,18.84,other,confirmed,,"He I 3705.0, H I 3703.9, Ca II 3706.0"
H-15 /Cr II 3712-13,A,3713.61,0.1121,18.84,other,confirmed,,"H I 3712.0, Cr II 3712.9"
H-13  3734,A,3732.65,0.1916,5.79,other,confirmed,,H I 3734.4
H-12  3750,A,3748.33,0.2062,6.54,other,confirmed,,"H I 3750.1, H I 3750.2"
H-11  3771,A,3768.86,0.2312,7.69,other,confirmed,,"H I 3770.6, H I 3770.7"
H-10  3798,A,3796.43,0.2308,7.39,other,confirmed,,H I 3797.9
He I 3820,A,3817.78,0.025,8.05,other,confirmed,,He I 3819.6
H-9  3835,A,3833.93,0.2381,7.02,other,confirmed,,H I 3835.4
Si II 3854,A,3853.89,0.037,4.53,other,confirmed,,Si II 3853.7
Si II 3856,A,3856.45,0.0394,16.11,other,confirmed,,Si II 3856.0
Si II 3863,A,3862.49,0.0221,4.55,other,confirmed,,Si II 3862.6
He I 3872,A,3872.53,0.0104,2.45,other,confirmed,,He I 3871.8
,A,3883.4,0.0134,7.8,other,uncertain_discarded,confirm frac too low (0.18),
H-8  3889,A,3888.02,0.2537,6.89,other,confirmed,,"H I 3889.0, H I 3889.1"
,A,3901.17,0.0189,7.7,other,uncertain_discarded,confirm frac too high (3.32),
C II/Fe II 3921,A,3921.72,0.0232,17.21,other,confirmed,,"C II 3920.7, Fe II 3920.6"
Ca II 3934,A,3932.74,0.1187,5.49,other,confirmed,,Ca II 3933.7
Fe II 3938-39,A,3939.32,0.0171,7.41,other,confirmed,,"Fe II 3938.3, Fe II 3939.0"
Hε /Ca II 3968-70,A,3968.7,0.3318,7.17,Balmer,confirmed,,"H I 3970.0, H I 3970.1, Ca II 3968.5"
Ni II/Ti II/He I/Cr II 4009-15,A,4012.84,0.0064,4.11,other,confirmed,,"Ni II 4015.5, Ti II 4012.4, He I 4009.3, Cr II 4012.5"
He I 4026,A,4025.02,0.0485,6.75,other,confirmed,,He I 4026.2
Fe II 4033,A,4033.36,0.0086,5.74,other,confirmed,,Fe II 4032.9
,A,4040.44,0.0159,18.84,other,uncertain_discarded,confirm frac too low (0.18),
Cr II/Ti II 4052-54,A,4053.94,0.008,4.16,other,confirmed,,"Ti II 4053.8, Cr II 4051.9, Cr II 4054.1"
Ni II 4067,A,4064.93,0.008,5.63,other,confirmed,,Ni II 4067.0
Si II 4075,A,4074.32,0.0107,16.68,other,confirmed,,Si II 4075.4
Hδ  4102,A,4101.19,0.2791,6.91,Balmer,confirmed,,"H I 4101.7, H I 4101.8"
He I/Fe II 4121-23,A,4120.12,0.017,4.51,other,confirmed,,"He I 4120.8, Fe II 4122.7"
Si II 4128-31,A,4129.18,0.0887,7.47,other,confirmed,,"Si II 4130.9, Si II 4128.1"
He I 4144,A,4143.67,0.0336,5.95,other,confirmed,,He I 4143.8
S II 4153,A,4151.99,0.0105,4.41,other,confirmed,,S II 4153.1
Ti II/S II 4163-64,A,4162.83,0.0121,5.1,other,confirmed,,"Ti II 4163.6, S II 4162.7"
Ti II 4172,A,4171.36,0.0047,3.02,other,confirmed,,Ti II 4171.9
Fe II 4173,A,4174.86,0.0336,8.6,other,confirmed,,Fe II 4173.4
,A,4178.6,0.0131,3.55,other,uncertain_discarded,confirm frac too high (4.21),
Ni II 4188,A,4188.54,0.0064,7.12,other,confirmed,,Ni II 4187.9
S II/Cr II 4217,A,4219.51,0.0062,6.92,other,confirmed,,"S II 4217.2, Cr II 4217.1"
Cr II/Fe II 4225-27,A,4227.28,0.0034,2.24,other,confirmed,,"Cr II 4224.9, Fe II 4227.2"
Fe II 4233,A,4232.88,0.0385,5.03,other,confirmed,,Fe II 4233.2
Cr II 4242,A,4242.03,0.0089,8.15,other,confirmed,,Cr II 4242.4
Cr II 4262,A,4263.04,0.0047,18.84,other,confirmed,,Cr II 4261.9
C II 4267,A,4267.34,0.0129,4.74,other,confirmed,,"C II 4267.3, C II 4267.0"
Fe II/Cr II 4273-76,A,4274.88,0.0071,7.59,other,confirmed,,"Fe II 4273.3, Cr II 4275.6"
,A,4296.69,0.0066,10.37,other,uncertain_discarded,confirm frac too high (4.94),
,A,4303.19,0.0126,4.84,other,uncertain_discarded,confirm frac too high (3.63),
Ti II/Fe I 4308,A,4305.5,0.0108,20.0,other,confirmed,,"Ti II 4307.9, Fe I 4307.9"
Fe II/Ti II 4313-14,A,4312.71,0.0086,3.45,other,confirmed,,"Fe II 4314.3, Ti II 4312.9"
Fe II/S II 4319-20,A,4318.97,0.0033,3.45,other,confirmed,,"Fe II 4319.7, S II 4318.6"
,A,4334.37,0.0093,3.75,other,uncertain_discarded,confirm frac too low (0.22),
Hγ  4340,A,4340.33,0.2654,6.69,Balmer,confirmed,,"H I 4340.4, H I 4340.5"
Fe II 4352,A,4351.55,0.0378,6.64,other,confirmed,,Fe II 4351.8
Fe II/He I 4385-88,A,4387.16,0.0479,9.24,other,confirmed,,"Fe II 4385.4, He I 4387.9"
Ti II 4395,A,4394.43,0.0099,4.55,other,confirmed,,Ti II 4395.0
Fe II 4410,A,4408.71,0.0057,2.55,other,confirmed,,Fe II 4409.5
