wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3705.31,0.0858,18.84,Gaussian,single,,other
3727.87,0.0641,18.84,Gaussian,single,,other
3752.22,0.1007,16.32,Gaussian,deblended,,other
3769.43,0.1222,7.74,Gaussian,deblended,,other
3795.86,0.145,10.09,Gaussian,single,,other
3817.81,0.0338,7.48,Gaussian,deblended,,other
3833.79,0.1519,7.94,Voigt,deblended,H-9,Balmer
3853.82,0.0163,17.18,Gaussian,deblended,,other
3887.63,0.1858,8.13,Voigt,single,H-8,Balmer
3922.31,0.0137,5.34,Gaussian,deblended,,other
3925.5,0.0373,20.0,Gaussian,deblended,,other
3932.71,0.0657,4.58,Gaussian,deblended,,other
3942.14,0.006,4.62,Gaussian,deblended,,other
3960.67,0.0262,4.01,Gaussian,deblended,,other
3963.61,0.0069,1.24,Gaussian,deblended,,other
3968.22,0.236,7.44,Voigt,deblended,Hε,Balmer
3977.79,0.0112,4.22,Gaussian,deblended,,other
3984.34,0.0061,4.32,Gaussian,deblended,,other
4024.44,0.0758,7.07,Gaussian,single,,other
4068.03,0.0113,3.58,Gaussian,deblended,,other
4071.43,0.0232,9.72,Gaussian,deblended,,other
4089.47,0.0215,12.41,Gaussian,deblended,,other
4100.22,0.2271,8.0,Voigt,deblended,Hδ,Balmer
4186.04,0.0085,6.63,Gaussian,deblended,,other
4198.88,0.0672,6.46,Gaussian,deblended,,other
4339.6,0.2384,8.25,Voigt,single,Hγ,Balmer
4366.66,0.003,9.93,Gaussian,deblended,,other
4372.05,0.0073,7.29,Gaussian,deblended,,other
4377.39,0.0125,3.46,Gaussian,deblended,,other
4388.81,0.0082,6.82,Gaussian,deblended,,other
4390.38,0.0199,14.63,Gaussian,deblended,,other
4400.4,0.005,5.19,Gaussian,deblended,,other
4428.83,0.0588,19.72,Gaussian,single,,other
4458.03,0.0122,5.26,Gaussian,deblended,,other
4463.98,0.0055,3.97,Gaussian,deblended,,other
4470.65,0.0769,6.84,Gaussian,deblended,,other
4480.6,0.0145,5.62,Gaussian,deblended,,other
4525.1,0.0036,4.1,Gaussian,deblended,,other
4536.79,0.0142,13.53,Gaussian,deblended,,other
4541.31,0.0833,6.6,Gaussian,deblended,,other
4548.88,0.0085,5.7,Gaussian,deblended,,other
4555.14,0.0031,4.25,Gaussian,deblended,,other
4565.64,0.0066,4.81,Gaussian,deblended,,other
4580.0,0.0084,4.68,Gaussian,deblended,,other
4595.77,0.011,15.25,Gaussian,deblended,,other
4608.13,0.008,9.76,Gaussian,deblended,,other
4647.94,0.0071,5.09,Gaussian,deblended,,other
4651.5,0.0137,11.29,Gaussian,deblended,,other
4665.2,0.0023,3.33,Gaussian,deblended,,other
4674.0,0.0129,12.7,Gaussian,deblended,,other
4679.54,0.0029,3.87,Gaussian,deblended,,other
4685.14,0.0857,6.99,Gaussian,deblended,,other
4695.29,0.0047,4.83,Gaussian,deblended,,other
4705.43,0.0062,3.91,Gaussian,deblended,,other
4712.93,0.029,8.47,Gaussian,deblended,,other
4725.4,0.0189,9.43,Gaussian,deblended,,other
4760.16,0.0165,15.45,Gaussian,single,,other
4860.37,0.2371,8.4,Voigt,single,Hβ,Balmer
4911.61,0.0043,8.14,Gaussian,deblended,,other
4921.03,0.029,5.83,Gaussian,deblended,,other
4932.93,0.0052,18.84,Gaussian,deblended,,other
5015.01,0.023,6.83,Gaussian,single,,other
5380.39,0.0107,13.67,Gaussian,deblended,,other
5411.09,0.1047,8.31,Gaussian,single,,other
5488.28,0.0163,11.81,Gaussian,single,,other
5591.75,0.0379,8.31,Gaussian,single,,other
5780.01,0.0692,7.75,Gaussian,single,,other
5799.79,0.0524,10.88,Gaussian,deblended,,other
5811.72,0.042,6.47,Gaussian,deblended,,other
5874.91,0.0982,7.26,Gaussian,deblended,,other
5891.18,0.1689,10.6,Gaussian,deblended,,other
5897.44,0.0428,4.65,Gaussian,deblended,,other
5899.63,0.0145,7.4,Gaussian,deblended,,other
5919.88,0.0487,11.73,Gaussian,single,,other
5945.07,0.0681,10.94,Gaussian,single,,other
6170.66,0.0225,19.43,Gaussian,single,,other
6202.11,0.021,13.0,Gaussian,single,,other
6281.4,0.132,11.49,Gaussian,single,,other
6313.22,0.0241,20.0,Gaussian,deblended,,other
6405.87,0.0261,15.34,Gaussian,single,,other
6459.53,0.0108,8.44,Gaussian,deblended,,other
6493.32,0.0355,7.7,Gaussian,deblended,,other
6515.97,0.0604,6.1,Gaussian,deblended,,other
6525.16,0.0419,20.0,Gaussian,deblended,,other
6560.83,0.2048,11.05,Voigt,single,Hα,Balmer
6612.74,0.0316,5.73,Gaussian,single,,other
6679.82,0.0537,13.08,Gaussian,single,,other
6690.46,0.0187,16.95,Gaussian,single,,other
