short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
He I 3705,A,3705.31,0.0858,18.84,other,confirmed,,He I 3705.0
,A,3727.87,0.0641,18.84,other,confirmed,,
H-12  3750,A,3752.22,0.1007,16.32,other,confirmed,,"H I 3750.1, H I 3750.2"
H-11  3771,A,3769.43,0.1222,7.74,other,confirmed,,"H I 3770.6, H I 3770.7"
H-10  3798,A,3795.86,0.145,10.09,other,confirmed,,H I 3797.9
He I 3820,A,3817.81,0.0338,7.48,other,confirmed,,He I 3819.6
H-9  3835,A,3833.79,0.1519,7.94,Balmer,confirmed,,H I 3835.4
,A,3853.82,0.0163,17.18,other,uncertain_discarded,confirm frac too low (0.11),
H-8 /He I 3889,A,3887.63,0.1858,8.13,Balmer,confirmed,,"H I 3889.0, H I 3889.1, He I 3888.7"
He II 3923,A,3922.31,0.0137,5.34,other,confirmed,,He II 3923.5
,A,3925.5,0.0373,20.0,other,uncertain_discarded,confirm frac too low (0.20),
,A,3932.71,0.0657,4.58,other,uncertain_discarded,confirm frac too low (0.12),
Zn III/N III 3939-43,A,3942.14,0.006,4.62,other,confirmed,,"Zn III 3943.0, N III 3938.5"
O III 3962,A,3960.67,0.0262,4.01,other,confirmed,,O III 3961.6
,A,3963.61,0.0069,1.24,other,uncertain_discarded,confirm frac too high (3.67),
Hε  3970,A,3968.22,0.236,7.44,Balmer,confirmed,,"H I 3970.1, H I 3970.1"
,A,3977.79,0.0112,4.22,other,uncertain_discarded,confirm frac too low (0.04),
,A,3984.34,0.0061,4.32,other,uncertain_discarded,confirm frac too low (0.18),
He I/He II 4026,A,4024.44,0.0758,7.07,other,confirmed,,"He I 4026.2, He II 4025.6"
C III 4068-69,A,4068.03,0.0113,3.58,other,confirmed,,"C III 4068.9, C III 4067.9"
C III/O II 4070-72,A,4071.43,0.0232,9.72,other,confirmed,,"C III 4070.3, O II 4072.2"
Si IV/O II 4089,A,4089.47,0.0215,12.41,other,confirmed,,"Si 4 4088.9, O II 4089.3"
Hδ  4102,A,4100.22,0.2271,8.0,Balmer,confirmed,,"H I 4101.7, H I 4101.8"
C III/O II 4185-87,A,4186.04,0.0085,6.63,other,confirmed,,"C III 4186.9, O II 4185.4"
He II/N III 4200,A,4198.88,0.0672,6.46,other,confirmed,,"He II 4199.8, N III 4200.1"
Hγ  4340,A,4339.6,0.2384,8.25,Balmer,confirmed,,"H I 4340.4, H I 4340.5"
O II 4367,A,4366.66,0.003,9.93,other,confirmed,,O II 4366.9
Zn III 4370,A,4372.05,0.0073,7.29,other,confirmed,,Zn III 4370.4
N III 4379,A,4377.39,0.0125,3.46,other,confirmed,,N III 4379.2
