wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3734.1,0.3033,6.31,Gaussian,single,,other
3749.74,0.4059,7.25,Gaussian,single,,other
3770.48,0.4978,9.26,Gaussian,single,,other
3797.58,0.5652,11.71,Gaussian,single,,other
3835.12,0.584,12.73,Gaussian,single,,other
3878.15,0.0684,7.95,Gaussian,deblended,,other
3888.88,0.6072,12.43,Gaussian,deblended,,other
3901.67,0.0751,10.34,Gaussian,deblended,,other
3933.58,0.0813,5.57,Gaussian,single,,other
3959.72,0.0482,6.6,Gaussian,deblended,,other
3969.88,0.6215,12.97,Voigt,deblended,Hε,Balmer
3980.71,0.0209,8.3,Gaussian,deblended,,other
4026.5,0.0433,6.6,Gaussian,single,,other
4101.46,0.5995,14.14,Voigt,single,Hδ,Balmer
4144.62,0.0121,3.02,Gaussian,single,,other
4174.63,0.0143,6.32,Gaussian,single,,other
4234.04,0.0086,3.07,Gaussian,single,,other
4249.22,0.0073,2.2,Gaussian,single,,other
4274.93,0.0079,4.06,Gaussian,single,,other
4327.12,0.0076,9.02,Gaussian,deblended,,other
4330.07,0.0338,8.1,Gaussian,deblended,,other
4340.33,0.587,13.33,Voigt,deblended,Hγ,Balmer
4350.04,0.0318,6.41,Gaussian,deblended,,other
4353.62,0.0161,11.19,Gaussian,deblended,,other
4387.3,0.0249,7.64,Gaussian,single,,other
4417.5,0.0058,1.65,Gaussian,single,,other
4471.06,0.0303,5.97,Gaussian,deblended,,other
4481.25,0.0574,5.31,Gaussian,deblended,,other
4489.89,0.0051,8.69,Gaussian,deblended,,other
4521.61,0.0105,4.33,Gaussian,single,,other
4550.05,0.0121,3.74,Gaussian,deblended,,other
4556.37,0.0069,7.73,Gaussian,deblended,,other
4582.78,0.012,11.71,Gaussian,single,,other
4622.96,0.0061,13.19,Gaussian,single,,other
4667.49,0.0054,2.68,Gaussian,single,,other
4849.37,0.0296,8.69,Gaussian,deblended,,other
4860.97,0.5369,14.73,Voigt,deblended,Hβ,Balmer
4873.48,0.0248,10.11,Gaussian,deblended,,other
4922.48,0.0196,5.05,Gaussian,deblended,,other
5017.52,0.0178,4.8,Gaussian,single,,other
5056.05,0.0112,3.24,Gaussian,single,,other
5168.67,0.0206,5.38,Gaussian,single,,other
5268.09,0.0093,17.5,Gaussian,single,,other
5315.97,0.0115,6.01,Gaussian,single,,other
5874.98,0.0162,6.11,Gaussian,deblended,,other
5889.74,0.0346,14.37,Gaussian,deblended,,other
5898.94,0.0053,4.77,Gaussian,deblended,,other
5904.61,0.0054,12.94,Gaussian,deblended,,other
5918.5,0.0169,11.0,Gaussian,deblended,,other
5939.77,0.0087,3.04,Gaussian,deblended,,other
5943.2,0.0229,7.99,Gaussian,deblended,,other
5958.25,0.0106,18.63,Gaussian,deblended,,other
5975.95,0.0136,4.87,Gaussian,deblended,,other
6155.57,0.0139,6.85,Gaussian,single,,other
6277.71,0.0468,6.76,Gaussian,single,,other
6345.42,0.0219,8.36,Gaussian,single,,other
6370.75,0.0191,10.0,Gaussian,single,,other
6516.23,0.0251,9.18,Gaussian,deblended,,other
6532.33,0.013,4.73,Gaussian,deblended,,other
6546.89,0.0351,13.73,Gaussian,deblended,,other
6561.92,0.3928,18.58,Voigt,single,Hα,Balmer
6562.38,0.3993,16.93,Voigt,deblended,Hα,Balmer
