wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3721.06,0.1662,4.08,Gaussian,single,,other
3733.68,0.2328,5.93,Gaussian,single,,other
3748.35,0.2583,6.54,Gaussian,single,,other
3769.93,0.251,11.61,Gaussian,single,,other
3787.55,0.1187,6.1,Gaussian,deblended,,other
3796.52,0.3545,9.51,Gaussian,deblended,,other
3805.96,0.0332,3.23,Gaussian,deblended,,other
3814.45,0.0958,5.65,Gaussian,deblended,,other
3822.95,0.0748,6.47,Gaussian,deblended,,other
3826.4,0.0452,3.97,Gaussian,deblended,,other
3834.53,0.4203,11.91,Gaussian,deblended,,other
3858.27,0.081,4.15,Gaussian,single,,other
3873.99,0.109,9.68,Gaussian,deblended,,other
3879.8,0.0224,3.91,Gaussian,deblended,,other
3888.21,0.4035,10.73,Gaussian,deblended,,other
3896.62,0.0262,3.76,Gaussian,deblended,,other
3902.22,0.1083,10.32,Gaussian,deblended,,other
3918.88,0.0324,4.92,Gaussian,deblended,,other
3933.0,0.6778,10.41,Voigt,deblended,Ca II K,Balmer
3943.96,0.056,7.99,Gaussian,deblended,,other
3952.16,0.0233,6.47,Gaussian,deblended,,other
3968.38,0.6575,11.01,Voigt,deblended,Ca II H,Balmer
3984.52,0.0435,4.59,Gaussian,deblended,,other
3996.76,0.0524,3.16,Gaussian,single,,other
3999.93,0.0296,12.52,Gaussian,single,,other
4032.06,0.107,4.74,Gaussian,single,,other
4044.73,0.0868,3.64,Gaussian,single,,other
4053.27,0.0487,18.96,Gaussian,single,,other
4063.75,0.0467,3.56,Gaussian,single,,other
4077.41,0.1042,4.07,Gaussian,single,,other
4101.66,0.3764,8.02,Voigt,single,Hδ,Balmer
4128.66,0.0601,16.49,Gaussian,deblended,,other
4131.98,0.0385,5.7,Gaussian,deblended,,other
4143.98,0.0486,4.95,Gaussian,deblended,,other
4155.31,0.0733,8.29,Gaussian,deblended,,other
4172.43,0.0191,2.97,Gaussian,deblended,,other
4174.62,0.1164,7.83,Gaussian,deblended,,other
4184.97,0.0624,9.89,Gaussian,deblended,,other
4200.98,0.0975,8.22,Gaussian,single,,other
4216.33,0.0341,2.78,Gaussian,single,,other
4226.39,0.1325,3.85,Gaussian,deblended,,other
4237.17,0.0435,4.84,Gaussian,single,,other
4248.47,0.0363,3.61,Gaussian,single,,other
4260.66,0.0654,3.92,Gaussian,single,,other
4272.52,0.102,5.64,Gaussian,single,,other
4289.57,0.0837,4.35,Gaussian,single,,other
4301.14,0.0736,3.33,Gaussian,deblended,,other
4305.97,0.1044,15.4,Gaussian,deblended,,other
4326.12,0.0895,4.41,Gaussian,deblended,,other
4340.88,0.454,8.5,Voigt,deblended,Hγ,Balmer
4346.46,0.0255,3.87,Gaussian,deblended,,other
4352.72,0.1112,5.98,Gaussian,deblended,,other
4359.6,0.0245,2.89,Gaussian,deblended,,other
4373.64,0.0539,10.94,Gaussian,deblended,,other
4385.62,0.111,8.09,Gaussian,deblended,,other
4394.31,0.0297,3.88,Gaussian,deblended,,other
4401.48,0.0466,10.69,Gaussian,deblended,,other
4416.96,0.0588,3.3,Gaussian,deblended,,other
4434.53,0.0529,4.31,Gaussian,single,,other
4443.75,0.0641,3.24,Gaussian,single,,other
4456.25,0.0367,3.42,Gaussian,deblended,,other
4461.13,0.0785,11.03,Gaussian,deblended,,other
4469.94,0.0535,4.61,Gaussian,deblended,,other
4481.87,0.0934,3.7,Gaussian,single,,other
4492.06,0.023,17.26,Gaussian,deblended,,other
4517.18,0.0419,6.88,Gaussian,deblended,,other
4529.09,0.0962,11.13,Gaussian,deblended,,other
4534.98,0.0462,3.15,Gaussian,deblended,,other
4551.33,0.0673,7.77,Gaussian,deblended,,other
4556.52,0.0287,3.35,Gaussian,deblended,,other
4565.49,0.0271,2.13,Gaussian,single,,other
4584.16,0.0771,6.7,Gaussian,deblended,,other
4592.43,0.0229,3.95,Gaussian,deblended,,other
4598.59,0.026,13.21,Gaussian,deblended,,other
4618.63,0.0254,4.15,Gaussian,single,,other
4648.57,0.0389,3.88,Gaussian,single,,other
4668.63,0.0992,5.6,Gaussian,single,,other
4702.02,0.0128,3.65,Gaussian,deblended,,other
4706.89,0.0415,10.58,Gaussian,deblended,,other
4715.16,0.0112,1.8,Gaussian,deblended,,other
4731.34,0.0447,4.92,Gaussian,deblended,,other
4736.75,0.0179,4.42,Gaussian,deblended,,other
4765.38,0.0635,6.21,Gaussian,single,,other
4788.31,0.0308,5.47,Gaussian,single,,other
4806.53,0.023,9.38,Gaussian,single,,other
4824.81,0.0327,3.07,Gaussian,deblended,,other
4845.31,0.036,20.0,Gaussian,deblended,,other
4853.72,0.0201,7.23,Gaussian,deblended,,other
4861.89,0.4224,9.85,Voigt,deblended,Hβ,Balmer
4873.73,0.0877,8.18,Gaussian,deblended,,other
4886.97,0.0707,9.78,Gaussian,deblended,,other
4891.39,0.0327,2.99,Gaussian,deblended,,other
4911.19,0.0292,2.61,Gaussian,single,,other
4922.2,0.0808,6.09,Gaussian,single,,other
4933.96,0.0205,2.54,Gaussian,deblended,,other
4938.13,0.0533,5.99,Gaussian,deblended,,other
4957.87,0.0399,3.72,Gaussian,single,,other
4983.66,0.0931,5.26,Gaussian,single,,other
5004.84,0.038,7.86,Gaussian,deblended,,other
5017.13,0.0665,8.99,Gaussian,single,,other
5041.03,0.0838,5.42,Gaussian,single,,other
5051.51,0.0448,5.12,Gaussian,single,,other
5069.12,0.039,10.07,Gaussian,deblended,,other
5080.96,0.0765,8.27,Gaussian,deblended,,other
5099.43,0.0697,4.87,Gaussian,deblended,,other
5109.09,0.0448,5.82,Gaussian,deblended,,other
5125.72,0.0357,8.27,Gaussian,deblended,,other
5154.04,0.0248,5.16,Gaussian,deblended,,other
5169.81,0.1529,8.2,Gaussian,single,,other
5207.3,0.0594,6.87,Gaussian,deblended,,other
5216.82,0.0439,4.62,Gaussian,deblended,,other
5227.52,0.087,5.62,Gaussian,deblended,,other
5234.76,0.0462,5.33,Gaussian,deblended,,other
5264.5,0.0199,3.68,Gaussian,deblended,,other
5268.48,0.1299,12.31,Gaussian,deblended,,other
5275.82,0.0257,4.09,Gaussian,deblended,,other
5282.67,0.0589,7.66,Gaussian,deblended,,other
5299.28,0.0506,7.26,Gaussian,single,,other
5317.11,0.0366,4.54,Gaussian,deblended,,other
5327.65,0.0656,5.89,Gaussian,deblended,,other
5336.56,0.033,20.0,Gaussian,deblended,,other
5339.99,0.0258,4.16,Gaussian,deblended,,other
5348.28,0.0192,10.45,Gaussian,deblended,,other
5368.54,0.069,10.12,Gaussian,single,,other
5446.86,0.0447,4.19,Gaussian,single,,other
