short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
H-14 /Ni I/Fe I/Ti II 3720-22,A,3721.06,0.1662,4.08,other,confirmed,,"H I 3721.9, Ni I 3722.5, Fe I 3719.9, Ti II 3721.6"
H-13 /Fe I 3733-35,A,3733.68,0.2328,5.93,other,confirmed,,"H I 3734.4, Fe I 3733.3, Fe I 3734.9"
H-12 /Fe I 3748-50,A,3748.35,0.2583,6.54,other,confirmed,,"H I 3750.1, H I 3750.2, Fe I 3748.3"
H-11  3771,A,3769.93,0.251,11.61,other,confirmed,,"H I 3770.6, H I 3770.7"
,A,3787.55,0.1187,6.1,other,unresolved_blend,"blend of 216 lines in window, strongest explains only 10% (< 10% needed)",
H-10  3798,A,3796.52,0.3545,9.51,other,confirmed,,H I 3797.9
,A,3805.96,0.0332,3.23,other,uncertain_discarded,confirm frac too high (7.70),
,A,3814.45,0.0958,5.65,other,unresolved_blend,"blend of 104 lines in window, strongest explains only 9% (< 10% needed)",
Fe I/Mn I 3822-24,A,3822.95,0.0748,6.47,other,confirmed,,"Fe I 3824.4, Mn I 3823.5, Fe I 3824.3, Fe I 3821.8"
Fe I 3826-28,A,3826.4,0.0452,3.97,other,confirmed,,"Fe I 3825.9, Fe I 3827.8, Fe I 3826.8, Fe I 3827.6"
H-9 /Mg I/Fe I 3832-35,A,3834.53,0.4203,11.91,other,confirmed,,"H I 3835.4, Mg I 3832.3, Fe I 3834.2"
Ni I/Fe I 3856-60,A,3858.27,0.081,4.15,other,confirmed,,"Ni I 3858.3, Fe I 3859.9, Fe I 3856.4, Fe I 3859.2"
Fe I/Co I 3872-74,A,3873.99,0.109,9.68,other,confirmed,,"Fe I 3872.5, Fe I 3873.8, Co I 3873.9, Co I 3873.1"
,A,3879.8,0.0224,3.91,other,uncertain_discarded,confirm frac too high (9.06),
H-8  3889,A,3888.21,0.4035,10.73,other,confirmed,,"H I 3889.0, H I 3889.1"
,A,3896.62,0.0262,3.76,other,uncertain_discarded,confirm frac too high (8.67),
Fe I/Ti II/Mg I/V II 3901-04,A,3902.22,0.1083,10.32,other,confirmed,,"Fe I 3902.9, Ti II 3900.5, Mg I 3903.9, V II 3903.2"
,A,3918.88,0.0324,4.92,other,uncertain_discarded,confirm frac too high (7.36),
Ca II 3934,A,3933.0,0.6778,10.41,Balmer,confirmed,,Ca II 3933.7
Fe I/Al I/Ni I 3942-45,A,3943.96,0.056,7.99,other,confirmed,,"Al I 3944.0, Fe I 3942.4, Ni I 3944.1, Fe I 3945.1"
,A,3952.16,0.0233,6.47,other,uncertain_discarded,confirm frac too high (8.90),
Hε /Ca II 3968-70,A,3968.38,0.6575,11.01,Balmer,confirmed,,"Ca II 3968.5, H I 3970.0, H I 3970.1"
,A,3984.52,0.0435,4.59,other,unresolved_blend,"blend of 173 lines in window, strongest explains only 8% (< 10% needed)",
Fe I/Co I/V II 3995-98,A,3996.76,0.0524,3.16,other,confirmed,,"Fe I 3997.4, Fe I 3998.1, Co I 3995.3, V II 3997.1"
Fe I/Ti I/Zr II 3999-4002,A,3999.93,0.0296,12.52,other,confirmed,,"Ti I 3998.6, Zr II 3999.0, Fe I 4000.5, Fe I 4001.7"
,A,4032.06,0.107,4.74,other,unresolved_blend,"blend of 214 lines in window, strongest explains only 9% (< 10% needed)",
Fe I 4044-46,A,4044.73,0.0868,3.64,other,confirmed,,"Fe I 4045.8, Fe I 4044.6, Fe I 4043.9, Fe I 4045.6"
Fe I/Ti II 4052-55,A,4053.27,0.0487,18.96,other,confirmed,,"Ti II 4053.8, Fe I 4051.9, Fe I 4054.8, Fe I 4052.5"
Fe I 4062-64,A,4063.75,0.0467,3.56,other,confirmed,,"Fe I 4063.6, Fe I 4063.3, Fe I 4062.4"
Fe I/Sr II 4077-78,A,4077.41,0.1042,4.07,other,confirmed,,"Sr II 4077.7, Fe I 4076.6, Fe I 4078.3"
