H-14  3722,A,3721.42,0.1788,4.21,other,confirmed,,H I 3721.9,,,,,,,,,,,,,,,,,Gray & Corbally Stellar Spectral Classification,
H-13  3734,A,3734.02,0.2449,6.35,other,confirmed,,H I 3734.4,,,,,,,,,,,,,,,,,Walker Spectral Atlas for Amateur Astronomers,
H-12  3750,A,3749.05,0.321,6.1,other,confirmed,,H I 3750.1,,,,,,,,,,,,,,,,,STRU1,Struve O. Swings P. Investigations of Typical Stellar Spectra With High Dispersion I
H-11  3771,A,3770.61,0.3278,8.69,other,confirmed,,"H I 3770.6, H I 3770.7",,,,,,,,,,,,,,,,,STRU2,Struve O. Swings P. The spectrum of Alfa 2 CVn
H-10  3798,A,3796.96,0.4201,12.05,other,confirmed,,H I 3797.9,,,,,,,,,,,,,,,,,Greenstein,The spectrum of alpha carinae
,A,3813.89,0.0509,18.84,other,unresolved_blend,"blend of 107 lines in window, strongest explains only 10% (< 15% needed)",,,,,,,,,,,,,,,,,,,
Fe I 3824,A,3824.64,0.0851,6.11,other,confirmed,,Fe I 3824.4,,,,,,,,,,,,,,,,,,
,A,3834.98,0.4829,11.5,other,uncertain_discarded,confirm frac too low (0.28),,,,,,,,,,,,,,,,,,,
H-9  3835,A,3835.49,0.4487,17.35,other,confirmed,,H I 3835.4,,,,,,,,,,,,,,,,,,
,A,3850.43,0.0725,20,other,unresolved_blend,"blend of 247 lines in window, strongest explains only 13% (< 15% needed)",,,,,,,,,,,,,,,,,,,
,A,3880.79,0.1602,17,other,unresolved_blend,"blend of 219 lines in window, strongest explains only 14% (< 15% needed)",,,,,,,,,,,,,,,,,,,
H-8  3889,A,3888.81,0.3551,8.49,other,confirmed,,"H I 3889.0, H I 3889.1",,,,,,,,,,,,,,,,,,
,A,3897.55,0.1677,16.17,other,unresolved_blend,"blend of 136 lines in window, strongest explains only 11% (< 15% needed)",,,,,,,,,,,,,,,,,,,
,A,3917.67,0.0533,8.08,other,unresolved_blend,"blend of 204 lines in window, strongest explains only 10% (< 15% needed)",,,,,,,,,,,,,,,,,,,
Ca II 3934,A,3933.38,0.5452,6.68,Balmer,confirmed,,Ca II 3933.7,,,,,,,,,,,,,,,,,,
Hε  3970,A,3969.33,0.6308,9.93,Balmer,confirmed,,H I 3970.0,,,,,,,,,,,,,,,,,,
,A,3997.34,0.039,4.2,other,unresolved_blend,"blend of 180 lines in window, strongest explains only 13% (< 15% needed)",,,,,,,,,,,,,,,,,,,
,A,4032.28,0.0958,4.67,other,unresolved_blend,"blend of 152 lines in window, strongest explains only 11% (< 15% needed)",,,,,,,,,,,,,,,,,,,
Fe I 4046,A,4045.05,0.0647,4.12,other,confirmed,,Fe I 4045.8,,,,,,,,,,,,,,,,,,
,A,4054.89,0.0144,3.09,other,unresolved_blend,"blend of 78 lines in window, strongest explains only 13% (< 15% needed)",,,,,,,,,,,,,,,,,,,
