wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3721.42,0.1788,4.21,Gaussian,single,,other
3734.02,0.2449,6.35,Gaussian,single,,other
3749.05,0.321,6.1,Gaussian,single,,other
3770.61,0.3278,8.69,Gaussian,single,,other
3796.96,0.4201,12.05,Gaussian,single,,other
3813.89,0.0509,18.84,Gaussian,single,,other
3824.64,0.0851,6.11,Gaussian,deblended,,other
3834.98,0.4829,11.5,Gaussian,deblended,,other
3835.49,0.4487,17.35,Gaussian,single,,other
3850.43,0.0725,20.0,Gaussian,deblended,,other
3880.79,0.1602,17.0,Gaussian,deblended,,other
3888.81,0.3551,8.49,Gaussian,deblended,,other
3897.55,0.1677,16.17,Gaussian,deblended,,other
3917.67,0.0533,8.08,Gaussian,deblended,,other
3933.38,0.5452,6.68,Voigt,single,Ca II K,Balmer
3969.33,0.6308,9.93,Voigt,single,Ca II H,Balmer
3997.34,0.039,4.2,Gaussian,single,,other
4032.28,0.0958,4.67,Gaussian,single,,other
4045.05,0.0647,4.12,Gaussian,single,,other
4054.89,0.0144,3.09,Gaussian,single,,other
4064.12,0.0473,3.55,Gaussian,deblended,,other
4072.88,0.0277,9.5,Gaussian,deblended,,other
4077.56,0.0722,4.16,Gaussian,deblended,,other
4084.46,0.0862,20.0,Gaussian,deblended,,other
4102.09,0.5228,11.3,Voigt,deblended,Hδ,Balmer
4110.65,0.0543,4.95,Gaussian,deblended,,other
4122.62,0.0877,19.05,Gaussian,deblended,,other
4132.15,0.0647,5.96,Gaussian,deblended,,other
4143.97,0.0521,2.91,Gaussian,deblended,,other
4153.73,0.0499,13.46,Gaussian,deblended,,other
4156.74,0.0286,3.93,Gaussian,deblended,,other
4177.01,0.0204,7.02,Gaussian,deblended,,other
4187.88,0.0347,3.08,Gaussian,deblended,,other
4200.62,0.0747,8.53,Gaussian,deblended,,other
4206.62,0.0071,4.64,Gaussian,deblended,,other
4216.83,0.0371,3.47,Gaussian,single,,other
4226.85,0.0866,4.34,Gaussian,deblended,,other
4236.41,0.0421,8.02,Gaussian,deblended,,other
4248.65,0.054,4.53,Gaussian,deblended,,other
4252.3,0.0286,4.38,Gaussian,deblended,,other
4260.83,0.0494,5.65,Gaussian,deblended,,other
4273.36,0.0968,6.05,Gaussian,deblended,,other
4292.74,0.1049,20.0,Gaussian,deblended,,other
4302.32,0.0449,6.07,Gaussian,deblended,,other
4311.8,0.1244,20.0,Gaussian,deblended,,other
4327.14,0.0816,6.89,Gaussian,deblended,,other
4341.4,0.5274,14.32,Voigt,deblended,Hγ,Balmer
4353.06,0.0541,5.01,Gaussian,deblended,,other
4357.66,0.0328,11.68,Gaussian,deblended,,other
4373.57,0.0476,7.9,Gaussian,deblended,,other
4385.81,0.0906,5.17,Gaussian,deblended,,other
4400.12,0.0435,13.04,Gaussian,deblended,,other
4417.71,0.0701,4.71,Gaussian,single,,other
4429.97,0.0131,13.61,Gaussian,deblended,,other
4435.81,0.0296,3.55,Gaussian,deblended,,other
4444.69,0.0701,4.06,Gaussian,deblended,,other
4449.19,0.0098,3.8,Gaussian,deblended,,other
4459.48,0.061,12.47,Gaussian,deblended,,other
4470.14,0.0526,6.48,Gaussian,deblended,,other
4482.62,0.0715,6.23,Gaussian,deblended,,other
4493.18,0.0483,10.26,Gaussian,deblended,,other
4502.04,0.0262,4.36,Gaussian,deblended,,other
4509.64,0.0159,2.95,Gaussian,deblended,,other
4542.33,0.0116,2.63,Gaussian,deblended,,other
4550.6,0.0356,3.13,Gaussian,deblended,,other
4555.05,0.0544,13.49,Gaussian,deblended,,other
4556.17,0.0325,4.94,Gaussian,deblended,,other
4565.74,0.0253,3.6,Gaussian,deblended,,other
4573.69,0.0197,2.2,Gaussian,deblended,,other
4581.68,0.0294,20.0,Gaussian,deblended,,other
4584.43,0.0385,4.67,Gaussian,deblended,,other
4592.06,0.0268,12.53,Gaussian,deblended,,other
4605.46,0.0143,7.51,Gaussian,deblended,,other
4619.56,0.0297,6.43,Gaussian,deblended,,other
