wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3734.51,0.2663,6.44,Gaussian,single,,other
3750.01,0.3755,7.82,Gaussian,single,,other
3770.72,0.4867,9.88,Gaussian,single,,other
3797.82,0.5855,12.12,Gaussian,single,,other
3835.29,0.6192,13.95,Gaussian,single,,other
3877.06,0.0447,8.77,Gaussian,deblended,,other
3877.63,0.0172,7.9,Gaussian,deblended,,other
3889.06,0.6504,13.72,Gaussian,deblended,,other
3901.39,0.0824,7.71,Gaussian,deblended,,other
3909.37,0.0373,13.57,Gaussian,deblended,,other
3933.75,0.1153,5.54,Voigt,single,Ca II K,Balmer
3958.42,0.0336,7.09,Gaussian,deblended,,other
3970.05,0.6585,14.42,Voigt,deblended,Ca II H,Balmer
3983.07,0.0304,8.27,Gaussian,deblended,,other
4026.69,0.0246,5.69,Gaussian,single,,other
4101.87,0.6417,15.67,Voigt,single,Hδ,Balmer
4175.96,0.0158,7.01,Gaussian,single,,other
4233.77,0.0098,3.98,Gaussian,single,,other
4272.94,0.0169,4.61,Gaussian,single,,other
4302.04,0.0123,4.94,Gaussian,deblended,,other
4314.99,0.0114,4.11,Gaussian,deblended,,other
4328.24,0.0293,8.99,Gaussian,deblended,,other
4340.74,0.6196,15.16,Voigt,deblended,Hγ,Balmer
4352.49,0.0311,7.3,Gaussian,deblended,,other
4388.1,0.0193,19.22,Gaussian,deblended,,other
4416.96,0.0156,3.72,Gaussian,single,,other
4444.33,0.011,3.88,Gaussian,single,,other
4470.72,0.0186,7.07,Gaussian,deblended,,other
4481.35,0.0522,5.34,Gaussian,deblended,,other
4487.13,0.0133,8.97,Gaussian,deblended,,other
4522.37,0.0117,5.14,Gaussian,single,,other
4534.26,0.0125,3.53,Gaussian,single,,other
4553.02,0.0202,12.37,Gaussian,single,,other
4584.95,0.0155,10.16,Gaussian,single,,other
4625.7,0.0112,17.6,Gaussian,single,,other
4667.46,0.0105,8.87,Gaussian,single,,other
4791.03,0.0121,2.65,Gaussian,single,,other
4848.49,0.034,9.89,Gaussian,deblended,,other
4861.49,0.56,15.98,Voigt,deblended,Hβ,Balmer
4875.55,0.0348,10.81,Gaussian,deblended,,other
4923.37,0.0177,5.51,Gaussian,single,,other
4955.52,0.0076,6.57,Gaussian,single,,other
5018.83,0.022,5.15,Gaussian,single,,other
5040.09,0.0095,6.48,Gaussian,single,,other
5056.57,0.0126,5.15,Gaussian,single,,other
5169.7,0.0303,6.98,Gaussian,single,,other
5186.68,0.0184,6.6,Gaussian,single,,other
5233.39,0.0117,11.45,Gaussian,single,,other
5316.56,0.0161,5.25,Gaussian,single,,other
5328.98,0.0164,4.0,Gaussian,single,,other
5368.11,0.0089,19.95,Gaussian,single,,other
5920.08,0.0331,18.46,Gaussian,deblended,,other
5945.83,0.0416,16.39,Gaussian,deblended,,other
5967.69,0.0295,20.0,Gaussian,deblended,,other
5988.64,0.0202,20.0,Gaussian,deblended,,other
6157.69,0.0179,7.41,Gaussian,single,,other
6279.64,0.0541,8.22,Gaussian,single,,other
6348.03,0.0271,6.64,Gaussian,single,,other
6372.34,0.0203,7.15,Gaussian,single,,other
6517.15,0.0254,6.62,Gaussian,deblended,,other
6548.13,0.0279,11.42,Gaussian,deblended,,other
6563.35,0.4222,18.71,Voigt,single,Hα,Balmer
6563.63,0.4274,17.65,Voigt,deblended,Hα,Balmer
