,,,,,,,,,,,,,3858.9336,,,,,,,,
,,,,,,,,,,,,,3875.5104,,,,,,,,
,,,,,,,,,,,,,3886.728,,,,,,,,
,,,,,,,,,,,,M,3897.74,,,,,,,,
,,,,,,,,,,,,M,3905.81,,,,,,,,
Fe I 3923,C,,,,,,,,,Fe I,3923,MK,3922.41,,,,,,,,
Ca II 3934,A,Ca II,3934,Ca II K,,,,,,Ca II,3933.66,,3933.2364,,,,,,,,
Ca II 3968,A,Ca II,3968,Ca II K,,,,,,Ca II,3968.47,,3966.7172,,,,,,,,
Ti I 3990,C,,,,,,,,,Ti I,3990,M,3990.25,,,,,,,,
Fe I/Ti I 3998,C,,,,,,,,,Fe I/Ti I,3998,,3998.31,,,,,,,,
Ti I 4008,C,,,,,,,Ti I,4008.05,,,,4007.4289,,,,,,,,
,,,,,,,,,,,,,4023.2586,,,,,,,,
Mn I 4030-36,B,,,,,,,Mn I,4031-36,Mn I,4030-36,,4032.8479,,,,,,,,
Fe I 4046,B,,,,,,,Fe I,4045.8,Fe I,4045.8,,4045.7651,,,,,,,,
,,,,,,,,,,,,KP,4059.3613,,,,,,,,
Fe I 4064,B,,,,,,,Fe I,4063.6,Fe I,4063.6,KP,4064.2217,,,,,,,,
,,,,,,,,,,,,,4077.1622,,,,,,,,
H$\delta$,A,H-delta,4101.74,,,,,H-delta/Fe I/Si I,4100-03,H-delta,4101.74,,4101.0255,,,,,,,,
V I 4112,B,,,,,,,V I,4112,V I,4112,TP,4112.6494,,,,,,,,
V I/Co I 4119,B,,,,,,,V I/Co I/Cr I,4119,V I/Co I,4119,TP,4119.4644,,,,,,,,
Fe I/V I 4132-34,B,,,,,,,Fe I/V I,4132-34,Fe I/V I,4132-34,,4132.7389,,,,,,,,
Fe I 4144,C,,,,,,,Fe I,4143.9,,,,4143.9616,,,,,,,,
,,,,,,,,,,,,M,4151.54,,,,,,,,
Fe I 4171-75,B,,,,,,,Fe I,4171-75,Fe I/Ga I,4171-78,,4173.879,,,,,,,,
Fe I/Co I 4191,C,,,,,,,Fe I/Co I,4191,,,,4190.0195,,,,,,,,
Fe I 4202,C,,,,,,,Fe I,4202,Fe I/Nd II,4198-02,,4201.3644,,,,,,,,
Sr II/Fe I 4216,C,,,,,,,,,Sr II/Fe I,4216,,4217,,,,,,,,
Ca I 4226,A,,,Ca I,4226,,,Ca I,4226.73,Ca I,4226.73,,4227.3033,,,,,,,,
Cr I 4254,B,,,,,,,Cr I,4254,Cr I,4254,,4254.4721,,,,,,,,
Fe I 4260,B,,,,,,,Fe I,4260.48,Fe I/Nd II,4260.5,M,4260.65,,,,,,,,
Fe I/Cr I 4272-75,B,,,,,,,Fe I/Cr I,4272-75,Fe I/Cr I,4272-75,,4273.9054,,,,,,,,
Cr I 4290,C,,,,,,,Cr I,4289.7,,,,4290.4172,,,,,,,,
,,,,,,,,,,Fe I/Ti I,4301-15,TP,4301.8257,,,,,,,,
Fe I 4308,C,,,,,,,Fe I,4307.9,Fe I/Ti I,4301-15,TP,4307.9517,,,,,,,,
Fe I 4326,B,,,,,,,Fe I,4325.76,Fe I/Ti I,4326,,4325.9431,,,,,,,,
H$\gamma$,A,H-gamma,4340.47,,,,,,,H-gamma,4340.47,,4340.7456,,,,,,,,
V I 4353,B,,,,,,,Fe I/V I,4352.8,Cr I/V I,4352-53,,4353.4361,,,,,,,,
,,,,,,,,,,,,M,4361.21,,,,,,,,
Fe I/Ti I 4370,C,,,,,,,Fe I/Ti I,4369.8,,,MK,4370.23,,,,,,,,
Fe I 4376,B,,,,,,,Fe I,4375.9,Fe I,4376,,4375.432,,,,,,,,
Fe I 4384,A,,,Fe I,4383,,,Fe I,4383.55,Fe I/Cr I,4384,,4384.8529,,,,,,,,
V I/Cr I 4390-92,C,,,,,,,V I/Cr I,4390-92,,,M,4390.63,,,,,,,,
Fe I 4405,B,,,,,,,Fe I,4404.75,Fe I/V I,4405,,4406.7456,,,,,,,,
Fe I 4415,C,,,,,,,Fe I,4415.12,Fe I/V I,4415,,4416.537,,,,,,,,
,,,,,,,,,,,,M,4424.31,,,,,,,,
,,,,,,,,,,,,M,4429.05,,,,,,,,
Fe I/Ca I 4435,C,,,,,,,,,Fe I/Ca I,4435,,4435.9486,,,,,,,,
Fe I 4442,C,,,,,,,Fe I,4442.3,,,,4443.7239,,,,,,,,
Ca I/Fe I/Ti I 4455-59,C,,,,,,,,,Ca I/Fe I/Ti I,4455-59,PK,4461.1851,,,,,,,,
,,,,,,,,,,,,PK,4470.4575,,,,,,,,
Fe I 4482,B,,,,,,,Fe I,4482.2,Fe I,4482,,4482.335,,,,,,,,
Fe I 4490,C,,,,,,,,,Fe I,4490,KP,4491.207,,,,,,,,
Fe I/Cr I/Ti I 4494-97,C,,,,,,,,,Fe I/Cr I/Ti I,4494-97,KP,4496.8179,,,,,,,,
Ti I/Fe I 4512-18,C,,,,,,,,,Ti I/Fe I,4512-18,,4516.0532,,,,,,,,
TiO/Fe I 4529,C,,,,,,,TiO/Fe I,4529,Ti I/Fe I/Cr I,4526-40,TP,4529.272,,,,,,,,
