wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3734.5,0.2334,6.15,Gaussian,single,,other
3750.03,0.314,7.65,Gaussian,single,,other
3770.69,0.4304,9.38,Gaussian,single,,other
3797.87,0.5131,11.38,Gaussian,single,,other
3835.41,0.5339,13.3,Gaussian,single,,other
3878.04,0.0768,10.11,Gaussian,deblended,,other
3881.08,0.019,4.05,Gaussian,deblended,,other
3889.18,0.5707,11.38,Gaussian,deblended,,other
3898.49,0.0232,5.03,Gaussian,deblended,,other
3900.93,0.0676,10.42,Gaussian,deblended,,other
3934.04,0.0406,6.24,Voigt,single,Ca II K,Balmer
3959.68,0.0342,8.19,Gaussian,deblended,,other
3961.18,0.0122,6.04,Gaussian,deblended,,other
3970.21,0.5821,12.4,Voigt,deblended,Ca II H,Balmer
3979.02,0.0113,4.9,Gaussian,deblended,,other
3982.44,0.0248,6.94,Gaussian,deblended,,other
4026.57,0.0685,6.77,Gaussian,single,,other
4091.57,0.024,9.62,Gaussian,deblended,,other
4101.97,0.5716,13.8,Voigt,single,Hδ,Balmer
4102.07,0.5749,13.16,Voigt,deblended,Hδ,Balmer
4112.76,0.0145,6.02,Gaussian,deblended,,other
4130.19,0.0242,5.34,Gaussian,deblended,,other
4144.86,0.0159,4.05,Gaussian,single,,other
4177.03,0.0136,16.99,Gaussian,single,,other
4235.87,0.0132,19.41,Gaussian,single,,other
4330.63,0.0189,8.53,Gaussian,deblended,,other
4340.79,0.5584,13.16,Voigt,deblended,Hγ,Balmer
4351.9,0.0274,8.02,Gaussian,deblended,,other
4388.5,0.0446,10.29,Gaussian,single,,other
4406.01,0.012,1.87,Gaussian,single,,other
4450.38,0.0117,2.39,Gaussian,single,,other
4471.66,0.059,6.58,Gaussian,deblended,,other
4481.34,0.062,6.16,Gaussian,deblended,,other
4490.94,0.0168,5.86,Gaussian,deblended,,other
4551.83,0.0205,10.24,Gaussian,single,,other
4583.75,0.0122,7.86,Gaussian,single,,other
4633.71,0.0113,8.51,Gaussian,single,,other
4712.01,0.0105,11.64,Gaussian,single,,other
4845.97,0.01,12.55,Gaussian,deblended,,other
4851.69,0.0236,7.25,Gaussian,deblended,,other
4861.55,0.5117,13.65,Voigt,deblended,Hβ,Balmer
4872.56,0.0189,6.07,Gaussian,deblended,,other
4883.4,0.0191,16.82,Gaussian,deblended,,other
4922.23,0.0375,7.2,Gaussian,single,,other
4985.96,0.0095,5.75,Gaussian,single,,other
5017.41,0.0314,9.41,Gaussian,single,,other
5041.34,0.0299,9.38,Gaussian,single,,other
5169.82,0.0268,7.03,Gaussian,single,,other
5185.2,0.011,5.37,Gaussian,single,,other
5317.47,0.0153,5.29,Gaussian,single,,other
5876.55,0.0312,6.2,Gaussian,deblended,,other
5893.48,0.0454,18.42,Gaussian,deblended,,other
5948.07,0.0225,16.67,Gaussian,single,,other
6280.14,0.0611,8.61,Gaussian,single,,other
6347.81,0.0339,6.69,Gaussian,single,,other
6371.71,0.021,6.75,Gaussian,single,,other
6517.6,0.0329,8.34,Gaussian,deblended,,other
6549.96,0.0479,20.0,Gaussian,deblended,,other
6563.43,0.4216,14.91,Voigt,single,Hα,Balmer
6563.7,0.4224,12.06,Voigt,deblended,Hα,Balmer
6578.21,0.0274,20.0,Gaussian,deblended,,other
6679.57,0.0144,5.27,Gaussian,single,,other
