wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3734.19,0.2198,6.44,Gaussian,single,,other
3750.19,0.3096,7.57,Gaussian,single,,other
3770.63,0.389,9.58,Gaussian,single,,other
3797.72,0.4468,10.94,Gaussian,single,,other
3819.41,0.0564,5.65,Gaussian,deblended,,other
3835.34,0.465,11.47,Voigt,deblended,H-9,Balmer
3880.47,0.0295,6.13,Gaussian,deblended,,other
3889.01,0.4771,11.06,Voigt,deblended,H-8,Balmer
3899.96,0.0277,8.22,Gaussian,deblended,,other
3960.52,0.0239,6.24,Gaussian,deblended,,other
3969.94,0.5004,11.52,Voigt,deblended,Heps,Balmer
3979.88,0.0213,6.33,Gaussian,deblended,,other
4008.91,0.0352,5.33,Gaussian,single,,other
4026.09,0.1165,6.63,Gaussian,single,,other
4101.66,0.5074,12.5,Voigt,deblended,Hδ,Balmer
4120.37,0.0148,4.32,Gaussian,deblended,,other
4129.39,0.0324,7.51,Gaussian,deblended,,other
4143.86,0.0569,6.73,Gaussian,deblended,,other
4234.7,0.0146,7.48,Gaussian,single,,other
4267.63,0.0191,4.63,Gaussian,single,,other
4340.73,0.4833,12.26,Voigt,deblended,Hγ,Balmer
4382.29,0.0085,3.4,Gaussian,deblended,,other
4388.33,0.0725,6.64,Gaussian,deblended,,other
4398.49,0.0074,14.15,Gaussian,deblended,,other
4431.1,0.0098,15.33,Gaussian,single,,other
4471.62,0.1073,6.21,Gaussian,deblended,,other
4481.48,0.0553,5.15,Gaussian,deblended,,other
4553.16,0.0115,8.78,Gaussian,single,,other
4713.42,0.0209,5.86,Gaussian,single,,other
4849.46,0.0056,8.83,Gaussian,deblended,,other
4851.2,0.0222,8.17,Gaussian,deblended,,other
4861.3,0.4338,11.94,Voigt,deblended,Hβ,Balmer
4871.84,0.0235,10.44,Gaussian,deblended,,other
4922.3,0.0692,6.35,Gaussian,single,,other
5016.13,0.0339,6.68,Gaussian,single,,other
5643.28,0.0108,18.5,Gaussian,single,,other
5867.04,0.0058,4.45,Gaussian,deblended,,other
5875.85,0.0622,5.75,Gaussian,deblended,,other
5892.26,0.0385,16.12,Gaussian,deblended,,other
5944.76,0.0187,6.25,Gaussian,single,,other
5958.35,0.0105,2.86,Gaussian,single,,other
5979.2,0.0095,6.74,Gaussian,single,,other
6123.27,0.0173,2.93,Gaussian,single,,other
6168.5,0.0188,3.06,Gaussian,single,,other
6280.53,0.0502,11.08,Gaussian,single,,other
6347.3,0.035,5.58,Gaussian,single,,other
6371.33,0.022,4.42,Gaussian,single,,other
6446.05,0.0158,3.09,Gaussian,single,,other
6479.25,0.0131,13.84,Gaussian,single,,other
6517.04,0.02,5.45,Gaussian,single,,other
6562.83,0.3204,12.3,Voigt,single,Hα,Balmer
6677.88,0.037,5.64,Gaussian,single,,other
