short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
H-13  3734,A,3734.19,0.2198,6.44,other,confirmed,,H I 3734.4
H-12  3750,A,3750.19,0.3096,7.57,other,confirmed,,"H I 3750.1, H I 3750.2"
H-11  3771,A,3770.63,0.389,9.58,other,confirmed,,"H I 3770.6, H I 3770.7"
H-10  3798,A,3797.72,0.4468,10.94,other,confirmed,,H I 3797.9
He I 3820,A,3819.41,0.0564,5.65,other,confirmed,,He I 3819.6
H-9  3835,A,3835.34,0.465,11.47,Balmer,confirmed,,H I 3835.4
,A,3880.47,0.0295,6.13,other,uncertain_discarded,confirm frac too low (0.31),
H-8  3889,A,3889.01,0.4771,11.06,Balmer,confirmed,,"H I 3889.0, H I 3889.1"
Al II 3901,A,3899.96,0.0277,8.22,other,confirmed,,Al II 3900.7
,A,3960.52,0.0239,6.24,other,uncertain_discarded,confirm frac too low (0.31),
Hε  3970,A,3969.94,0.5004,11.52,Balmer,confirmed,,"H I 3970.0, H I 3970.1"
,A,3979.88,0.0213,6.33,other,uncertain_discarded,confirm frac too low (0.23),
He I 4009,A,4008.91,0.0352,5.33,other,confirmed,,He I 4009.3
He I 4026,A,4026.09,0.1165,6.63,other,confirmed,,He I 4026.2
Hδ  4102,A,4101.66,0.5074,12.5,Balmer,confirmed,,"H I 4101.7, H I 4101.8"
He I 4121,A,4120.37,0.0148,4.32,other,confirmed,,He I 4120.8
Si II 4128-31,A,4129.39,0.0324,7.51,other,confirmed,,"Si II 4130.9, Si II 4128.1"
He I 4144,A,4143.86,0.0569,6.73,other,confirmed,,He I 4143.8
Fe II 4233,A,4234.7,0.0146,7.48,other,confirmed,,Fe II 4233.2
C II 4267,A,4267.63,0.0191,4.63,other,confirmed,,"C II 4267.3, C II 4267.0"
Hγ  4340,A,4340.73,0.4833,12.26,Balmer,confirmed,,"H I 4340.4, H I 4340.5"
Mg II/Fe III 4382-85,A,4382.29,0.0085,3.4,other,confirmed,,"Mg II 4384.6, Fe III 4382.5"
He I 4388,A,4388.33,0.0725,6.64,other,confirmed,,He I 4387.9
,A,4398.49,0.0074,14.15,other,uncertain_discarded,confirm frac too low (0.34),
Fe III 4431,A,4431.1,0.0098,15.33,other,confirmed,,Fe III 4431.0
He I 4471,A,4471.62,0.1073,6.21,other,confirmed,,He I 4471.5
Mg II 4481,A,4481.48,0.0553,5.15,other,confirmed,,"Mg II 4481.1, Mg II 4481.3"
Si III 4553,A,4553.16,0.0115,8.78,other,confirmed,,Si III 4552.6
He I 4713,A,4713.42,0.0209,5.86,other,confirmed,,"He I 4713.1, He I 4713.2"
,A,4849.46,0.0056,8.83,other,uncertain_discarded,confirm frac too low (0.20),
,A,4851.2,0.0222,8.17,other,uncertain_discarded,confirm frac too low (0.15),
Hβ  4861,A,4861.3,0.4338,11.94,Balmer,confirmed,,"H I 4861.3, H I 4861.4"
,A,4871.84,0.0235,10.44,other,uncertain_discarded,confirm frac too low (0.00),
He I 4922,A,4922.3,0.0692,6.35,other,confirmed,,He I 4921.9
He I 5016,A,5016.13,0.0339,6.68,other,confirmed,,He I 5015.7
S II 5640,A,5643.28,0.0108,18.5,other,confirmed,,S II 5640.4
Si II 5867-68,A,5867.04,0.0058,4.45,other,confirmed,,"Si II 5868.4, Si II 5867.4"
He I 5876,A,5875.85,0.0622,5.75,other,confirmed,,He I 5875.6
,A,5892.26,0.0385,16.12,other,uncertain_discarded,confirm frac too low (0.20),
,A,5944.76,0.0187,6.25,other,uncertain_discarded,confirm frac too low (0.14),
Si II 5958,A,5958.35,0.0105,2.86,other,confirmed,,Si II 5957.6
Si II 5979,A,5979.2,0.0095,6.74,other,confirmed,,Si II 5978.9
,A,6123.27,0.0173,2.93,other,no_lines_in_window,,
,A,6168.5,0.0188,3.06,other,uncertain_discarded,confirm frac too low (0.01),
,A,6280.53,0.0502,11.08,other,uncertain_discarded,confirm frac too low (0.01),
Si II 6347,A,6347.3,0.035,5.58,other,confirmed,,Si II 6347.1
Si II 6371,A,6371.33,0.022,4.42,other,confirmed,,Si II 6371.4
,A,6446.05,0.0158,3.09,other,uncertain_discarded,confirm frac too low (0.03),
,A,6479.25,0.0131,13.84,other,uncertain_discarded,confirm frac too low (0.09),
,A,6517.04,0.02,5.45,other,uncertain_discarded,confirm frac too low (0.03),
Hα  6563,A,6562.83,0.3204,12.3,Balmer,confirmed,,"H I 6562.9, H I 6562.7"
He I 6678,A,6677.88,0.037,5.64,other,confirmed,,He I 6678.1
