wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3707.23,0.0916,11.56,Gaussian,single,,other
3721.45,0.176,5.33,Gaussian,single,,other
3733.76,0.2167,6.76,Gaussian,single,,other
3749.56,0.3281,7.62,Gaussian,single,,other
3770.3,0.4477,9.9,Gaussian,single,,other
3797.56,0.5526,12.61,Gaussian,single,,other
3834.98,0.6022,16.9,Voigt,deblended,H-9,Balmer
3876.1,0.0324,7.61,Gaussian,deblended,,other
3876.97,0.0196,7.21,Gaussian,deblended,,other
3888.79,0.6603,16.75,Voigt,deblended,H-8,Balmer
3901.91,0.0867,7.49,Gaussian,deblended,,other
3909.77,0.047,11.92,Gaussian,deblended,,other
3933.41,0.1836,5.36,Gaussian,deblended,,other
3959.05,0.0453,6.99,Gaussian,deblended,,other
3969.73,0.6927,17.63,Voigt,deblended,Heps,Balmer
3982.86,0.0444,10.16,Gaussian,deblended,,other
4084.62,0.0226,15.47,Gaussian,deblended,,other
4101.67,0.6737,20.52,Voigt,deblended,Hδ,Balmer
4176.15,0.0224,9.72,Gaussian,single,,other
4200.49,0.02,5.96,Gaussian,single,,other
4230.61,0.0114,15.96,Gaussian,single,,other
4301.3,0.0399,20.0,Gaussian,deblended,,other
4323.86,0.0496,17.5,Gaussian,deblended,,other
4340.66,0.6487,19.11,Voigt,deblended,Hγ,Balmer
4354.01,0.045,9.92,Gaussian,deblended,,other
4395.04,0.0037,6.91,Gaussian,deblended,,other
4416.61,0.0303,5.28,Gaussian,single,,other
4445.31,0.0153,12.31,Gaussian,single,,other
4468.65,0.0218,6.09,Gaussian,single,,other
4481.51,0.0695,5.1,Gaussian,deblended,,other
4489.74,0.0156,4.78,Gaussian,deblended,,other
4549.56,0.0205,3.79,Gaussian,deblended,,other
4554.97,0.0242,11.43,Gaussian,deblended,,other
4573.71,0.0122,6.57,Gaussian,deblended,,other
4583.49,0.0079,3.46,Gaussian,deblended,,other
4588.41,0.0264,14.19,Gaussian,deblended,,other
4612.66,0.0048,2.43,Gaussian,deblended,,other
4618.97,0.0218,7.78,Gaussian,deblended,,other
4628.11,0.0053,3.28,Gaussian,deblended,,other
4632.47,0.02,9.46,Gaussian,deblended,,other
4702.83,0.0145,7.08,Gaussian,single,,other
4845.41,0.0415,16.34,Gaussian,deblended,,other
4861.29,0.582,19.74,Voigt,deblended,Hβ,Balmer
4874.97,0.0221,7.86,Gaussian,deblended,,other
4881.4,0.0336,19.02,Gaussian,deblended,,other
4923.29,0.0128,8.7,Gaussian,deblended,,other
4957.59,0.0145,9.85,Gaussian,single,,other
5018.5,0.0293,5.41,Gaussian,single,,other
5055.43,0.0173,5.4,Gaussian,single,,other
5169.21,0.0449,7.38,Gaussian,single,,other
5231.97,0.0157,11.96,Gaussian,single,,other
5891.76,0.04,17.67,Gaussian,single,,other
5919.57,0.0199,9.15,Gaussian,single,,other
5945.09,0.026,10.55,Gaussian,single,,other
6156.21,0.0184,7.71,Gaussian,single,,other
6247.5,0.0155,6.55,Gaussian,single,,other
6278.89,0.0546,9.08,Gaussian,single,,other
6346.73,0.0232,5.18,Gaussian,single,,other
6371.46,0.0174,5.44,Gaussian,single,,other
6516.73,0.0267,5.28,Gaussian,deblended,,other
6541.71,0.0271,17.61,Gaussian,deblended,,other
6548.89,0.0147,7.41,Gaussian,deblended,,other
6562.46,0.423,22.92,Voigt,single,Hα,Balmer
6562.57,0.4361,19.79,Voigt,deblended,Hα,Balmer
6578.44,0.0187,9.61,Gaussian,deblended,,other
6590.1,0.0213,20.0,Gaussian,deblended,,other
6795.21,0.0228,4.18,Gaussian,single,,other
