wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3734.65,0.2248,6.48,Gaussian,single,,other
3750.14,0.3009,8.09,Gaussian,single,,other
3770.69,0.3703,9.37,Gaussian,single,,other
3797.88,0.4132,10.57,Gaussian,single,,other
3820.18,0.0673,7.91,Gaussian,deblended,,other
3835.38,0.4144,10.32,Gaussian,deblended,,other
3848.98,0.0153,19.76,Gaussian,deblended,,other
3881.64,0.043,19.67,Gaussian,deblended,,other
3889.34,0.4034,9.96,Gaussian,deblended,,other
3900.14,0.0376,9.23,Gaussian,deblended,,other
3930.81,0.0321,33.32,Voigt,deblended,Ca II K,Balmer
3970.15,0.447,11.23,Voigt,single,Ca II H,Balmer
4009.4,0.0412,6.9,Gaussian,single,,other
4026.38,0.0935,7.17,Gaussian,single,,other
4056.33,0.0061,20.0,Gaussian,deblended,,other
4082.3,0.015,20.0,Gaussian,deblended,,other
4094.22,0.0113,6.83,Gaussian,deblended,,other
4102.13,0.4488,11.69,Voigt,deblended,Hδ,Balmer
4120.66,0.009,4.57,Gaussian,deblended,,other
4128.4,0.0309,19.45,Gaussian,deblended,,other
4130.72,0.0183,4.83,Gaussian,deblended,,other
4144.43,0.0494,7.04,Gaussian,deblended,,other
4151.95,0.0067,3.78,Gaussian,deblended,,other
4340.79,0.4146,12.04,Voigt,single,Hγ,Balmer
4388.69,0.064,8.93,Gaussian,single,,other
4471.58,0.075,7.27,Gaussian,deblended,,other
4480.97,0.0497,7.8,Gaussian,deblended,,other
4488.86,0.0107,9.21,Gaussian,deblended,,other
4551.13,0.016,10.18,Gaussian,single,,other
4582.7,0.0107,15.52,Gaussian,single,,other
4634.86,0.0104,12.12,Gaussian,single,,other
4713.76,0.0194,8.82,Gaussian,single,,other
4861.22,0.3614,12.57,Voigt,single,Hβ,Balmer
4922.19,0.0489,7.56,Gaussian,single,,other
5016.34,0.0243,6.55,Gaussian,single,,other
5318.89,0.0089,9.1,Gaussian,single,,other
5642.9,0.0159,13.48,Gaussian,single,,other
5876.01,0.0446,9.58,Gaussian,deblended,,other
5892.65,0.0367,20.0,Gaussian,deblended,,other
5920.65,0.0201,12.68,Gaussian,deblended,,other
5945.41,0.0291,9.78,Gaussian,single,,other
6279.97,0.0561,9.12,Gaussian,single,,other
6347.54,0.0218,6.78,Gaussian,single,,other
6371.65,0.0162,6.5,Gaussian,single,,other
6516.34,0.0242,5.26,Gaussian,single,,other
6562.74,0.2547,14.42,Voigt,single,Hα,Balmer
6677.6,0.0241,9.13,Gaussian,single,,other
