wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3734.54,0.2444,6.81,Gaussian,single,,other
3750.11,0.3515,7.93,Gaussian,single,,other
3770.57,0.4121,9.34,Gaussian,single,,other
3797.82,0.4661,10.45,Gaussian,single,,other
3835.33,0.4846,10.76,Voigt,deblended,H-9,Balmer
3889.09,0.4968,11.47,Voigt,single,H-8,Balmer
3934.09,0.0233,5.64,Gaussian,single,,other
3970.15,0.5033,12.09,Voigt,single,Heps,Balmer
4026.49,0.0543,6.85,Gaussian,single,,other
4093.37,0.0079,8.26,Gaussian,deblended,,other
4102.09,0.5052,11.85,Voigt,deblended,Hδ,Balmer
4121.54,0.0083,4.41,Gaussian,deblended,,other
4130.06,0.0417,7.63,Gaussian,deblended,,other
4143.99,0.0149,6.1,Gaussian,deblended,,other
4177.57,0.0111,8.51,Gaussian,single,,other
4200.43,0.0101,4.22,Gaussian,single,,other
4330.43,0.0162,8.65,Gaussian,deblended,,other
4340.9,0.471,11.49,Voigt,deblended,Hγ,Balmer
4352.24,0.0214,7.65,Gaussian,deblended,,other
4388.27,0.0318,8.84,Gaussian,single,,other
4471.76,0.0381,7.0,Gaussian,deblended,,other
4481.73,0.0426,6.62,Gaussian,deblended,,other
4490.84,0.0098,5.94,Gaussian,deblended,,other
4520.22,0.012,12.54,Gaussian,single,,other
4552.93,0.0181,13.15,Gaussian,single,,other
4713.7,0.0096,6.32,Gaussian,single,,other
4850.31,0.023,10.26,Gaussian,deblended,,other
4851.85,0.007,6.44,Gaussian,deblended,,other
4861.45,0.4236,12.38,Voigt,deblended,Hβ,Balmer
4873.44,0.0169,11.37,Gaussian,deblended,,other
4922.84,0.0278,9.93,Gaussian,single,,other
4951.85,0.0091,10.04,Gaussian,single,,other
5017.9,0.0163,7.83,Gaussian,single,,other
5057.13,0.0154,6.26,Gaussian,single,,other
5097.25,0.0107,15.72,Gaussian,single,,other
5151.02,0.0105,13.09,Gaussian,single,,other
5168.8,0.0119,6.33,Gaussian,single,,other
5196.88,0.0105,9.98,Gaussian,single,,other
5277.09,0.0089,8.33,Gaussian,single,,other
5316.53,0.0098,5.29,Gaussian,single,,other
5781.07,0.0072,4.37,Gaussian,single,,other
5918.91,0.0118,9.58,Gaussian,single,,other
5944.58,0.0165,10.72,Gaussian,deblended,,other
5958.76,0.0156,8.43,Gaussian,deblended,,other
5977.45,0.0133,17.97,Gaussian,deblended,,other
5992.58,0.0083,6.72,Gaussian,deblended,,other
6154.43,0.0124,14.21,Gaussian,single,,other
6278.76,0.0524,7.86,Gaussian,deblended,,other
6293.67,0.0158,20.0,Gaussian,deblended,,other
6347.27,0.0294,7.29,Gaussian,single,,other
6372.62,0.0247,6.93,Gaussian,single,,other
6417.7,0.0071,7.96,Gaussian,single,,other
6433.54,0.0077,4.93,Gaussian,single,,other
6456.84,0.0118,18.84,Gaussian,deblended,,other
6516.34,0.0192,6.64,Gaussian,single,,other
6562.75,0.3002,14.64,Voigt,single,Hα,Balmer
6678.5,0.0087,9.15,Gaussian,single,,other
6720.09,0.0071,4.46,Gaussian,single,,other
6754.24,0.0097,8.82,Gaussian,single,,other
