H-10,A,3797.9
H-9,A,3835.4
H-8,A,3889.1
Ca II 3934,A,3933.7
H$\epsilon$,A,3970.1
He I 4026,A,4026.0
H$\delta$,A,4101.7
He I 4144,A,4144.0
Fe I 4236,A,4235.9
H$\gamma$,A,4340.5
He I 4388,A,4388.0
Mg II /He I 4471-81,A,4471.0
Fe II 4584,A,4584.0
Fe II 4629,A,4629.0
H$\beta$,A,4861.3
He I/Fe II 4922-24,A,4924.0
He I/Fe II 5016-18,A,5017.0
Fe I/Fe II 5168-69,A,5169.0
Fe I/Fe II 5230-34,A,5234.0
Fe I/Fe II 5278-80,A,5280.0
Fe I/Fe II 5317-20,A,5319.0
Fe I/Fe II 5362-65,A,5365.0
He I 5876,A,5876.0
O I 6157-58,A,6158.0
Si II 6347,A,6347.0
Si II 6371,A,6371.0
H$\alpha$,A,6563.0
